nprocesses, score
1, 188561483
1, 191496141
1, 186086420
2, 80120995
2, 78566871
2, 80891296
3, 43055375
3, 43557476
3, 44016358
4, 25267631
4, 25829588
4, 25881807
5, 30932415
5, 27872318
5, 27897979
6, 27998339
6, 29621566
6, 29384557
7, 27995640
7, 29456119
7, 28976629
8, 30510383
8, 31159070
8, 31738025
9, 29372097
9, 31026294
9, 29221526
10, 29995516
10, 30203161
10, 30831468
15, 34234216
15, 31807870
15, 33500260
20, 32670327
20, 30758633
20, 30484539
25, 34260010
25, 35221171
25, 33826579
50, 37736151
50, 39082715
50, 38497385
75, 41849529
75, 38027908
75, 38537985
100, 38127558
100, 39347111
100, 35952349
