**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 3687143
[1 6488461302691448296 6488461302691448296 1] 5343756
[1 6685923574978999215 6685923574978999215 1] 4501297
[1 7681445200113414176 7681445200113414176 1] 7851550
[1 7616638341155698441 7616638341155698441 2] 5840077
[1 5946276162731559111 5946276162731559111 2] 4147306
[1 9057165912191784911 9057165912191784911 1] 5546371
[1 1587860973498482729 1587860973498482729 1] 9141596
[1 9057165912191784911 9057165912191784911 1] 6670293
[1 6023283311097976846 6023283311097976846 3] 9617835
[1 5245439083908774251 5245439083908774251 2] 8585923
[1 1990676820339791773 1990676820339791773 1] 12968799
[1 6957445936109150678 6957445936109150678 1] 9881182
[1 6488461302691448296 6488461302691448296 1] 11740332
[1 2148517718796434096 2148517718796434096 1] 12910130
[1 1214256030844900062 1214256030844900062 1] 10505455
[1 8397693939726633757 8397693939726633757 3] 12113764
[1 9057165912191784911 9057165912191784911 1] 10655009
[1 7583167364354317389 7583167364354317389 1] 11914865
[1 252049887289774605 252049887289774605 1] 8634288
[1 1410469310589474675 1410469310589474675 1] 10821495
[1 2744697425919251717 2744697425919251717 2] 10972484
[1 5897693816321261925 5897693816321261925 1] 10941508
[1 9057165912191784911 9057165912191784911 1] 12659064
[1 3750374287645824302 3750374287645824302 2] 15732514
[1 741339643387758460 741339643387758460 1] 11109925
[1 3094488955166861915 3094488955166861915 1] 15111345
[1 4427489698557970739 4427489698557970739 1] 15444206
[1 5161718391645202190 5161718391645202190 1] 20284617
[1 1613346174718908726 1613346174718908726 1] 14237201
[1 6439500474696603189 6439500474696603189 1] 14515593
[1 6023283311097976846 6023283311097976846 1] 16740034
[1 4950749919375495834 4950749919375495834 2] 19391230
[1 4372686792761235256 4372686792761235256 1] 14986099
[1 3548854057181795740 3548854057181795740 1] 14634536
[1 8003898064877407765 8003898064877407765 1] 15303357
[1 4950749919375495834 4950749919375495834 1] 21054995
[1 3062903259356535742 3062903259356535742 1] 19392275
[1 3094488955166861915 3094488955166861915 1] 22038432
[1 8853005861790132521 8853005861790132521 1] 21794598
[1 4275078077508723083 4275078077508723083 1] 20049047
[1 5402260543088376015 5402260543088376015 1] 18618341
[1 3864748567228467764 3864748567228467764 1] 21003752
[1 2422630752754597585 2422630752754597585 1] 19864409
[1 4531492923819664620 4531492923819664620 1] 18909507
[1 252049887289774605 252049887289774605 2] 17539320
[1 1786196876115952481 1786196876115952481 1] 20158379
[1 5778657392964895214 5778657392964895214 1] 22293776
[1 1245987228388785965 1245987228388785965 1] 20729683
[1 2744697425919251717 2744697425919251717 1] 22376692
[1 8776694636489796844 8776694636489796844 1] 21801021
[1 1205320352397806369 1205320352397806369 2] 23014673
[1 4796064343467574261 4796064343467574261 1] 22309378
[1 7972247085080092905 7972247085080092905 1] 20314585
[1 3411313239124880777 3411313239124880777 1] 21961603
[1 8397693939726633757 8397693939726633757 1] 25210221
