**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 6488461302691448296 6488461302691448296 1] 4119105
[1 7681445200113414176 7681445200113414176 1] 8847461
[1 9057165912191784911 9057165912191784911 1] 10835482
[1 1990676820339791773 1990676820339791773 1] 16086771
[1 6685923574978999215 6685923574978999215 1] 18242187
[1 1587860973498482729 1587860973498482729 1] 21570850
[1 7616638341155698441 7616638341155698441 2] 23889636
[1 6023283311097976846 6023283311097976846 3] 28819410
[1 9057165912191784911 9057165912191784911 1] 31470606
[1 5946276162731559111 5946276162731559111 2] 31873516
[1 5245439083908774251 5245439083908774251 2] 34868697
[1 9057165912191784911 9057165912191784911 1] 36994810
[1 2148517718796434096 2148517718796434096 1] 42759536
[1 6488461302691448296 6488461302691448296 1] 46245580
[1 6957445936109150678 6957445936109150678 1] 49245694
[1 8397693939726633757 8397693939726633757 3] 53624935
[1 7583167364354317389 7583167364354317389 1] 56935008
[1 1214256030844900062 1214256030844900062 1] 60353025
[1 9057165912191784911 9057165912191784911 1] 62334017
[1 3750374287645824302 3750374287645824302 2] 66887494
[1 5161718391645202190 5161718391645202190 1] 72069772
[1 1410469310589474675 1410469310589474675 1] 73350419
[1 252049887289774605 252049887289774605 1] 73266475
[1 3094488955166861915 3094488955166861915 1] 77374134
[1 9057165912191784911 9057165912191784911 1] 79329832
[1 2744697425919251717 2744697425919251717 2] 81626191
[1 5897693816321261925 5897693816321261925 1] 83396297
[1 4427489698557970739 4427489698557970739 1] 86931739
[1 4950749919375495834 4950749919375495834 2] 92659839
[1 741339643387758460 741339643387758460 1] 92730740
[1 6023283311097976846 6023283311097976846 1] 97243287
[1 1613346174718908726 1613346174718908726 1] 98660255
[1 6439500474696603189 6439500474696603189 1] 101827840
[1 4950749919375495834 4950749919375495834 1] 107763636
[1 3094488955166861915 3094488955166861915 1] 111950795
[1 8853005861790132521 8853005861790132521 1] 116064227
[1 4372686792761235256 4372686792761235256 1] 117509077
[1 3062903259356535742 3062903259356535742 1] 121755848
[1 4275078077508723083 4275078077508723083 1] 125500709
[1 3548854057181795740 3548854057181795740 1] 125924369
[1 8003898064877407765 8003898064877407765 1] 126247494
[1 3864748567228467764 3864748567228467764 1] 130535374
[1 5402260543088376015 5402260543088376015 1] 131984590
[1 2422630752754597585 2422630752754597585 1] 134126937
[1 5778657392964895214 5778657392964895214 1] 136840836
[1 4531492923819664620 4531492923819664620 1] 138025381
[1 1786196876115952481 1786196876115952481 1] 140793867
[1 1245987228388785965 1245987228388785965 1] 143332457
[1 252049887289774605 252049887289774605 2] 143254438
[1 2744697425919251717 2744697425919251717 1] 145600319
[1 1205320352397806369 1205320352397806369 2] 150053188
[1 8776694636489796844 8776694636489796844 1] 153645372
[1 4796064343467574261 4796064343467574261 1] 157303028
[1 8794092972714353467 8794092972714353467 1] 161372547
[1 8397693939726633757 8397693939726633757 1] 165662883
[1 2530807118341480172 2530807118341480172 2] 169644539
