server, testtype, score
otfProc, con, 47173801
otfProc, con, 45043047
otfProc, con, 44702002
otfProc, delay, 85556835
otfProc, delay, 84381083
otfProc, delay, 85203665
otfProc, difficulty, 122257119
otfProc, difficulty, 118225857
otfProc, difficulty, 116035381
otfProc, total, 319219751
otfProc, total, 326003616
otfProc, total, 268975693
otfThread, con, 42561871
otfThread, con, 40474358
otfThread, con, 39917182
otfThread, delay, 80301760
otfThread, delay, 79995306
otfThread, delay, 79341398
otfThread, difficulty, 114659010
otfThread, difficulty, 115685505
otfThread, difficulty, 114012828
otfThread, total, 255410226
otfThread, total, 271998502
otfThread, total, 245075697
pooledProc, con, 27011513
pooledProc, con, 27443087
pooledProc, con, 26403755
pooledProc, delay, 56164068
pooledProc, delay, 56202862
pooledProc, delay, 55992912
pooledProc, difficulty, 85155720
pooledProc, difficulty, 89149367
pooledProc, difficulty, 84143247
pooledProc, total, 170202971
pooledProc, total, 183533603
pooledProc, total, 171802757
pooledThread, con, 26720492
pooledThread, con, 23930304
pooledThread, con, 23895626
pooledThread, delay, 54739794
pooledThread, delay, 54820040
pooledThread, delay, 55325754
pooledThread, difficulty, 80795521
pooledThread, difficulty, 79994670
pooledThread, difficulty, 80460931
pooledThread, total, 169137897
pooledThread, total, 176392593
pooledThread, total, 160826609
