**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 4614696
[1 6488461302691448296 6488461302691448296 1] 6050413
[1 5946276162731559111 5946276162731559111 2] 2549575
[1 6685923574978999215 6685923574978999215 1] 7303623
[1 7616638341155698441 7616638341155698441 2] 9618657
[1 9057165912191784911 9057165912191784911 1] 9409778
[1 7681445200113414176 7681445200113414176 1] 14103027
[1 252049887289774605 252049887289774605 1] 2737167
[1 1587860973498482729 1587860973498482729 1] 13861841
[1 9057165912191784911 9057165912191784911 1] 12115087
[1 5245439083908774251 5245439083908774251 2] 15575020
[1 741339643387758460 741339643387758460 1] 4711541
[1 1410469310589474675 1410469310589474675 1] 11839692
[1 1990676820339791773 1990676820339791773 1] 25968131
[1 9057165912191784911 9057165912191784911 1] 17083890
[1 6957445936109150678 6957445936109150678 1] 21997055
[1 6488461302691448296 6488461302691448296 1] 24113644
[1 6023283311097976846 6023283311097976846 3] 27792603
[1 9057165912191784911 9057165912191784911 1] 19318473
[1 8003898064877407765 8003898064877407765 1] 9714519
[1 3548854057181795740 3548854057181795740 1] 10433221
[1 252049887289774605 252049887289774605 2] 5421291
[1 5897693816321261925 5897693816321261925 1] 19811110
[1 1613346174718908726 1613346174718908726 1] 17500226
[1 7583167364354317389 7583167364354317389 1] 28405191
[1 1214256030844900062 1214256030844900062 1] 28196314
[1 2744697425919251717 2744697425919251717 2] 23531948
[1 4372686792761235256 4372686792761235256 1] 19336711
[1 439636775614895848 439636775614895848 1] 2867346
[1 5402260543088376015 5402260543088376015 1] 22206792
[1 8397693939726633757 8397693939726633757 3] 39034688
[1 7972247085080092905 7972247085080092905 1] 14058729
[1 4531492923819664620 4531492923819664620 1] 21996365
[1 2148517718796434096 2148517718796434096 1] 44981081
[1 7413522009544936641 7413522009544936641 2] 13766100
[1 2422630752754597585 2422630752754597585 1] 31151547
[1 3750374287645824302 3750374287645824302 2] 47115708
[1 2472728637842183483 2472728637842183483 1] 16212082
[1 3094488955166861915 3094488955166861915 1] 45297583
[1 2525138147698810278 2525138147698810278 1] 9474496
[1 4427489698557970739 4427489698557970739 1] 44963915
[1 6439500474696603189 6439500474696603189 1] 42267566
[1 3411313239124880777 3411313239124880777 1] 28817764
[1 2744697425919251717 2744697425919251717 1] 39587886
[1 1796970685549186370 1796970685549186370 1] 22449137
[1 1042749659358856801 1042749659358856801 1] 32099809
[1 5778657392964895214 5778657392964895214 1] 43931113
[1 4519195488421639568 4519195488421639568 1] 19380406
[1 1786196876115952481 1786196876115952481 1] 45392603
[1 1245987228388785965 1245987228388785965 1] 45478990
[1 5161718391645202190 5161718391645202190 1] 62739034
[1 904607674250785880 904607674250785880 1] 32524189
[1 7616638341155698441 7616638341155698441 1] 40982656
[1 3463916520425879317 3463916520425879317 2] 35883605
[1 4275078077508723083 4275078077508723083 1] 55111115
[1 8853005861790132521 8853005861790132521 1] 58338358
