**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 2610657
[1 8450407967963833808 8450407967963833808 1] 2958350
[1 721564148080595287 721564148080595287 2] 2050295
[1 5784510510427390044 5784510510427390044 1] 242415
[1 5321619225005942614 5321619225005942614 1] 1695076
[1 3046822243766327021 3046822243766327021 1] 5022083
[1 8029313043586665474 8029313043586665474 1] 9179477
[1 1450579245677056042 1450579245677056042 1] 10469778
[1 4730966302951168844 4730966302951168844 1] 17170646
[1 2547815149972623845 2547815149972623845 2] 17014059
[1 8450407967963833808 8450407967963833808 1] 17296464
[1 808369788346465354 808369788346465354 1] 17942786
[1 7653630665064253119 7653630665064253119 1] 19693966
[1 8450407967963833808 8450407967963833808 2] 22968918
[1 4003022495192092062 4003022495192092062 1] 24079145
[1 6215967033411041611 6215967033411041611 1] 32267919
[1 8100681940205857706 8100681940205857706 1] 30491546
[1 5142588962622644988 5142588962622644988 1] 37758219
[1 5287931004520922900 5287931004520922900 8] 44300430
[1 1118414874366739020 1118414874366739020 2] 41367449
[1 1118414874366739020 1118414874366739020 1] 41307246
[1 2889032688687768007 2889032688687768007 1] 39981268
[1 2922583494542665610 2922583494542665610 1] 47197888
[1 687416080485209988 687416080485209988 1] 49317265
[1 55384252974608570 55384252974608570 1] 43242710
[1 1663640511426390422 1663640511426390422 2] 53423245
[1 1394850415486416813 1394850415486416813 1] 51865987
[1 1394850415486416813 1394850415486416813 2] 50570404
[1 6327107451531181219 6327107451531181219 1] 50565324
[1 3312070181901919651 3312070181901919651 1] 57796257
[1 4851450802694101754 4851450802694101754 2] 62301994
[1 9033685357592327863 9033685357592327863 1] 59491804
[1 3698059312795779809 3698059312795779809 1] 63515165
[1 5122639946754095175 5122639946754095175 1] 55791836
[1 9033685357592327863 9033685357592327863 1] 59759168
[1 951586254236631086 951586254236631086 3] 62675337
[1 5992489245535112493 5992489245535112493 1] 61001476
[1 8821862535204312300 8821862535204312300 1] 63620289
[1 8278532257704844997 8278532257704844997 2] 58352517
[1 8821862535204312300 8821862535204312300 1] 64315570
[1 150346236973131253 150346236973131253 1] 66893029
[1 951586254236631086 951586254236631086 2] 64420163
[1 2783273353377496957 2783273353377496957 1] 62278226
[1 2713150456512491041 2713150456512491041 1] 68115713
[1 1026336552757573535 1026336552757573535 1] 65571846
[1 8821862535204312300 8821862535204312300 2] 68026717
[1 2062866308282685264 2062866308282685264 1] 73292967
[1 3006943460625193527 3006943460625193527 1] 70466966
[1 3006943460625193527 3006943460625193527 1] 71520536
[1 492733707351619402 492733707351619402 1] 72151665
[1 3006943460625193527 3006943460625193527 1] 71270039
[1 5382485966922274147 5382485966922274147 1] 73839813
[1 6251715587077906972 6251715587077906972 1] 72592683
[1 2062866308282685264 2062866308282685264 1] 75752429
[1 2742001999554151866 2742001999554151866 1] 76244231
[1 8379291955294826422 8379291955294826422 1] 76092434
[1 4403210617944963238 4403210617944963238 3] 82896833
