**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3891912525472319017 3891912525472319017 1] 353491
[1 3524944295492354525 3524944295492354525 1] 2468554
[1 6465365841824317134 6465365841824317134 1] 5442695
[1 3524944295492354525 3524944295492354525 1] 5346053
[1 5948993619004795236 5948993619004795236 2] 10886834
[1 6028263137173684739 6028263137173684739 1] 10686919
[1 3524944295492354525 3524944295492354525 2] 9670636
[1 9136702578193434504 9136702578193434504 2] 17920620
[1 7686640157670475335 7686640157670475335 1] 6444233
[1 2473666473174750345 2473666473174750345 1] 17875958
[1 6623483670943052193 6623483670943052193 1] 19661163
[1 7230154307701577625 7230154307701577625 1] 15623208
[1 7618895698711858468 7618895698711858468 1] 2109994
[1 5994124056994470692 5994124056994470692 1] 25763763
[1 8897930618967169584 8897930618967169584 2] 17321805
[1 3524944295492354525 3524944295492354525 1] 21115448
[1 5502909677952130479 5502909677952130479 1] 45385934
[1 3305412918947348215 3305412918947348215 1] 37360703
[1 866051710203306757 866051710203306757 1] 2008953
[1 8751121734910989182 8751121734910989182 2] 16459333
[1 4589168502877517079 4589168502877517079 3] 48195083
[1 5259391866149726936 5259391866149726936 1] 34530840
[1 1717463607729336300 1717463607729336300 1] 34609208
[1 6121147791370515209 6121147791370515209 1] 46622053
[1 3305412918947348215 3305412918947348215 2] 55806741
[1 5259391866149726936 5259391866149726936 5] 37225658
[1 5948993619004795236 5948993619004795236 1] 53426483
[1 4589168502877517079 4589168502877517079 1] 66017575
[1 7628049811414017422 7628049811414017422 3] 55752397
[1 1871270848413250141 1871270848413250141 1] 75728955
[1 8206614736999024242 8206614736999024242 1] 77784611
[1 2317079268237921964 2317079268237921964 2] 26682065
[1 3583927516565450811 3583927516565450811 1] 40275125
[1 7975978953324352923 7975978953324352923 1] 37351544
[1 859296714997048174 859296714997048174 2] 39635055
[1 5685768695680428377 5685768695680428377 2] 91269268
[1 306126023181094508 306126023181094508 1] 73444561
[1 688074034758609906 688074034758609906 1] 52896601
[1 7347835875698804174 7347835875698804174 1] 52741877
[1 4380451183062330894 4380451183062330894 1] 95379208
[1 4589168502877517079 4589168502877517079 1] 87039890
[1 5705692500215429947 5705692500215429947 1] 77408108
[1 2793781518004704453 2793781518004704453 1] 82804413
[1 9136702578193434504 9136702578193434504 1] 102577723
[1 6623483670943052193 6623483670943052193 1] 71605446
[1 8555152419105676635 8555152419105676635 1] 119935474
[1 1030041856088679904 1030041856088679904 1] 116073884
[1 4589168502877517079 4589168502877517079 1] 94009007
[1 1275007360331914680 1275007360331914680 1] 118188586
[1 220957617152666889 220957617152666889 1] 112276411
[1 4380451183062330894 4380451183062330894 1] 111458116
[1 700734140822267139 700734140822267139 1] 125347969
[1 5411393050635835008 5411393050635835008 1] 109189572
[1 6681809476221960301 6681809476221960301 1] 111302679
[1 4786789044354245594 4786789044354245594 2] 108091190
[1 6554819255695809775 6554819255695809775 1] 130512816
