**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 684292
[1 1608948501392221840 1608948501392221840 1] 2078877
[1 5618834902846399515 5618834902846399515 1] 185984
[1 60471825801899659 60471825801899659 9] 1434117
[1 5177818208114085241 5177818208114085241 2] 7325942
[1 37000534383455631 37000534383455631 12] 9845921
[1 3493812276559608261 3493812276559608261 1] 7407151
[1 5618834902846399515 5618834902846399515 4] 287462
[1 4173032647297130033 4173032647297130033 6] 8018769
[1 8104451448818176865 8104451448818176865 9] 14498138
[1 5618834902846399515 5618834902846399515 12] 415740
[1 7803753030518273401 7803753030518273401 3] 16198046
[1 2962813208079357693 2962813208079357693 4] 8039456
[1 7106295925757861572 7106295925757861572 1] 16235950
[1 5258959378889404534 5258959378889404534 3] 13999037
[1 1797403150532236909 1797403150532236909 9] 850826
[1 4958165866846552497 4958165866846552497 3] 13612782
[1 60471825801899659 60471825801899659 4] 3425114
[1 1322252853927517871 1322252853927517871 4] 9328363
[1 3021584220979256730 3021584220979256730 4] 17482961
[1 372354059906509972 372354059906509972 1] 16638715
[1 8094011088207712613 8094011088207712613 5] 14959591
[1 5447833490994371743 5447833490994371743 3] 6499202
[1 5412109951180343267 5412109951180343267 8] 12464559
[1 7728666063074132048 7728666063074132048 4] 19040127
[1 6692166669190932267 6692166669190932267 1] 9179531
[1 3400052239333568512 3400052239333568512 6] 14119093
[1 7245660931648353422 7245660931648353422 4] 24508345
[1 5854870836808415468 5854870836808415468 2] 9116171
[1 1675053098270206009 1675053098270206009 5] 2007279
[1 9126599491990958966 9126599491990958966 2] 2659153
[1 8104451448818176865 8104451448818176865 3] 31702581
[1 6894593078187142944 6894593078187142944 4] 19493214
[1 5618834902846399515 5618834902846399515 2] 797071
[1 4694417007418070850 4694417007418070850 5] 10615374
[1 8104451448818176865 8104451448818176865 5] 34372204
[1 5577396866130235607 5577396866130235607 4] 873227
[1 4626456623379277309 4626456623379277309 1] 35153116
[1 955075508257134001 955075508257134001 3] 6347665
[1 2721500822832558103 2721500822832558103 4] 23567423
[1 2416013057361978270 2416013057361978270 3] 3402527
[1 4552939449130578088 4552939449130578088 4] 7735883
[1 3755360830635635303 3755360830635635303 1] 13829839
[1 1783365564518310666 1783365564518310666 2] 12253949
[1 4941794663080118969 4941794663080118969 5] 22579333
[1 6130119897100878926 6130119897100878926 9] 24478537
[1 8608643741839602142 8608643741839602142 9] 28888222
[1 2313948965543090559 2313948965543090559 8] 42869541
