**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 8452831939068487505 8452831939068487505 1] 5460776
[1 3164354599415269570 3164354599415269570 1] 2492303
[1 8452831939068487505 8452831939068487505 1] 6972249
[1 8452831939068487505 8452831939068487505 2] 8097728
[1 8452831939068487505 8452831939068487505 1] 9719888
[1 8452831939068487505 8452831939068487505 1] 11436532
[1 6018484118070796590 6018484118070796590 2] 10748403
[1 8452831939068487505 8452831939068487505 1] 13820414
[1 8452831939068487505 8452831939068487505 1] 15333602
[1 8452831939068487505 8452831939068487505 2] 15568377
[1 8452831939068487505 8452831939068487505 2] 19600630
[1 2648671423490380152 2648671423490380152 4] 20537452
[1 8452831939068487505 8452831939068487505 2] 23856575
[1 8452831939068487505 8452831939068487505 1] 23519917
[1 6730605893706737486 6730605893706737486 2] 10855524
[1 8452831939068487505 8452831939068487505 1] 24758003
[1 6018484118070796590 6018484118070796590 1] 22641592
[1 8452831939068487505 8452831939068487505 3] 26840730
[1 6018484118070796590 6018484118070796590 2] 22815453
[1 2839377681581139099 2839377681581139099 1] 27743458
[1 8176449781432285355 8176449781432285355 1] 3725142
[1 8452831939068487505 8452831939068487505 1] 28759325
[1 3164354599415269570 3164354599415269570 1] 13097305
[1 6018484118070796590 6018484118070796590 1] 26783726
[1 8452831939068487505 8452831939068487505 1] 32198893
[1 2893678142209256634 2893678142209256634 1] 27035511
[1 2893678142209256634 2893678142209256634 1] 28238771
[1 8452831939068487505 8452831939068487505 2] 32438471
[1 2893678142209256634 2893678142209256634 1] 27692585
[1 8452831939068487505 8452831939068487505 1] 37024222
[1 1081989871227714263 1081989871227714263 1] 18473252
[1 6018484118070796590 6018484118070796590 1] 29591904
[1 2839377681581139099 2839377681581139099 1] 40796856
[1 8452831939068487505 8452831939068487505 1] 42756878
[1 1090966366113846360 1090966366113846360 1] 3120477
[1 925339878428457028 925339878428457028 1] 45801215
[1 8452831939068487505 8452831939068487505 1] 47018712
[1 6730605893706737486 6730605893706737486 1] 19406313
[1 8452831939068487505 8452831939068487505 1] 50248428
[1 8452831939068487505 8452831939068487505 4] 48721040
[1 8452831939068487505 8452831939068487505 1] 51134760
[1 8452831939068487505 8452831939068487505 1] 48697666
[1 8452831939068487505 8452831939068487505 1] 52688173
[1 2839377681581139099 2839377681581139099 1] 49608282
[1 6018484118070796590 6018484118070796590 1] 40212314
[1 6018484118070796590 6018484118070796590 1] 43994451
[1 2386770424116631308 2386770424116631308 1] 36852430
[1 8452831939068487505 8452831939068487505 1] 53641955
[1 2648671423490380152 2648671423490380152 1] 51970429
[1 4738926942490752286 4738926942490752286 1] 23886318
[1 925339878428457028 925339878428457028 1] 58259025
[1 8452831939068487505 8452831939068487505 2] 54270319
[1 252799525279960082 252799525279960082 1] 45143276
[1 8452831939068487505 8452831939068487505 1] 54860267
[1 8452831939068487505 8452831939068487505 1] 58658498
[1 7251461044673145193 7251461044673145193 1] 59845951
