**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 775798024421069700 775798024421069700 1] 1489159
[1 734592446513182065 734592446513182065 2] 7970926
[1 2534080848504833637 2534080848504833637 1] 8696031
[1 2793302479550237922 2793302479550237922 1] 7990752
[1 6481588027008507250 6481588027008507250 1] 119314
[1 7413609510133063015 7413609510133063015 1] 4868412
[1 144573006434803742 144573006434803742 1] 15336314
[1 2362446847867864768 2362446847867864768 1] 14855270
[1 4402948556259363451 4402948556259363451 1] 18257574
[1 1504946346371376639 1504946346371376639 2] 8075448
[1 7579227685816234595 7579227685816234595 3] 22526437
[1 734592446513182065 734592446513182065 2] 23704846
[1 734592446513182065 734592446513182065 1] 25949567
[1 1511323233739817806 1511323233739817806 1] 31652876
[1 194901708358462687 194901708358462687 1] 28091492
[1 8469120784247382523 8469120784247382523 2] 5449217
[1 4238356272867122178 4238356272867122178 1] 3776349
[1 4881638827078685502 4881638827078685502 2] 16539043
[1 6149652210555691411 6149652210555691411 1] 6796726
[1 1867263731343969693 1867263731343969693 1] 17430735
[1 2404287123253513670 2404287123253513670 1] 30776786
[1 3322115445419574041 3322115445419574041 1] 15409638
[1 4325101186680591916 4325101186680591916 1] 45216879
[1 2362446847867864768 2362446847867864768 1] 44629474
[1 6481617086072149703 6481617086072149703 1] 22717014
[1 2034601758941119156 2034601758941119156 1] 16675935
[1 2041583049155452133 2041583049155452133 1] 15494197
[1 5014386525507742238 5014386525507742238 1] 4531294
[1 5546712864438187884 5546712864438187884 2] 41274587
[1 6427445919344566720 6427445919344566720 1] 44348954
[1 3118897387058355560 3118897387058355560 2] 40977973
[1 299017200798257185 299017200798257185 1] 16857705
[1 543933806449348227 543933806449348227 3] 32608168
[1 4539981729959298355 4539981729959298355 1] 53296461
[1 2016187078435865310 2016187078435865310 1] 8587762
[1 7192606909766198139 7192606909766198139 2] 24071739
[1 4387800982861812278 4387800982861812278 1] 21105243
[1 2362446847867864768 2362446847867864768 1] 52140059
[1 4475106793237928676 4475106793237928676 1] 39633615
[1 6184224123268371659 6184224123268371659 5] 43736092
[1 5324807480767963583 5324807480767963583 1] 6767406
[1 6481588027008507250 6481588027008507250 1] 445404
[1 7056397236067230492 7056397236067230492 3] 52096481
[1 1755710550109762647 1755710550109762647 1] 46752310
[1 65281072076987413 65281072076987413 1] 65443095
[1 8412094805934371413 8412094805934371413 1] 42741072
[1 2041583049155452133 2041583049155452133 1] 18791587
[1 6621214734279361053 6621214734279361053 1] 12447282
[1 1636651290226904642 1636651290226904642 2] 17745903
[1 7333774302736409712 7333774302736409712 1] 3238153
[1 2423815736635418286 2423815736635418286 1] 69418617
[1 3152585022778420104 3152585022778420104 3] 55833750
[1 452426792638252267 452426792638252267 1] 10146809
[1 8813438948783652661 8813438948783652661 1] 71871071
[1 9063614686281648555 9063614686281648555 1] 65597979
[1 1644736183561893619 1644736183561893619 1] 11214259
[1 7332313593179142680 7332313593179142680 1] 23544805
