**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 4070623
[1 6488461302691448296 6488461302691448296 1] 5906372
[1 5946276162731559111 5946276162731559111 2] 2369437
[1 6685923574978999215 6685923574978999215 1] 5789275
[1 7616638341155698441 7616638341155698441 2] 8687593
[1 7681445200113414176 7681445200113414176 1] 11863372
[1 9057165912191784911 9057165912191784911 1] 9017954
[1 252049887289774605 252049887289774605 1] 2494070
[1 1587860973498482729 1587860973498482729 1] 13983764
[1 9057165912191784911 9057165912191784911 1] 10423022
[1 5245439083908774251 5245439083908774251 2] 15258060
[1 741339643387758460 741339643387758460 1] 4177582
[1 1990676820339791773 1990676820339791773 1] 20326383
[1 1410469310589474675 1410469310589474675 1] 10373691
[1 9057165912191784911 9057165912191784911 1] 15408040
[1 6957445936109150678 6957445936109150678 1] 19222292
[1 6023283311097976846 6023283311097976846 3] 23952776
[1 6488461302691448296 6488461302691448296 1] 21521643
[1 8003898064877407765 8003898064877407765 1] 7349680
[1 3548854057181795740 3548854057181795740 1] 8200657
[1 7583167364354317389 7583167364354317389 1] 22230697
[1 5897693816321261925 5897693816321261925 1] 16530095
[1 9057165912191784911 9057165912191784911 1] 18388095
[1 252049887289774605 252049887289774605 2] 4507323
[1 1613346174718908726 1613346174718908726 1] 15009396
[1 1214256030844900062 1214256030844900062 1] 24842380
[1 2744697425919251717 2744697425919251717 2] 20937067
[1 4372686792761235256 4372686792761235256 1] 17081406
[1 8397693939726633757 8397693939726633757 3] 33323211
[1 4531492923819664620 4531492923819664620 1] 16029594
[1 439636775614895848 439636775614895848 1] 2853762
[1 5402260543088376015 5402260543088376015 1] 20637538
[1 7972247085080092905 7972247085080092905 1] 11686344
[1 2148517718796434096 2148517718796434096 1] 40539691
[1 3750374287645824302 3750374287645824302 2] 39363960
[1 7413522009544936641 7413522009544936641 2] 12486050
[1 6439500474696603189 6439500474696603189 1] 34801627
[1 2422630752754597585 2422630752754597585 1] 28546721
[1 4427489698557970739 4427489698557970739 1] 38434653
[1 3411313239124880777 3411313239124880777 1] 22413001
[1 3094488955166861915 3094488955166861915 1] 42339503
[1 2472728637842183483 2472728637842183483 1] 14409807
[1 2525138147698810278 2525138147698810278 1] 8013626
[1 5161718391645202190 5161718391645202190 1] 51213387
[1 2744697425919251717 2744697425919251717 1] 33870577
[1 1042749659358856801 1042749659358856801 1] 27397744
[1 5778657392964895214 5778657392964895214 1] 39375601
[1 1786196876115952481 1786196876115952481 1] 38381994
[1 1245987228388785965 1245987228388785965 1] 38057573
[1 1796970685549186370 1796970685549186370 1] 19738523
[1 4519195488421639568 4519195488421639568 1] 18128578
[1 4275078077508723083 4275078077508723083 1] 47795687
[1 6023283311097976846 6023283311097976846 1] 54739923
[1 3094488955166861915 3094488955166861915 1] 52916298
[1 7616638341155698441 7616638341155698441 1] 38549347
[1 904607674250785880 904607674250785880 1] 30517970
