**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 775798024421069700 775798024421069700 1] 1390998
[1 2534080848504833637 2534080848504833637 1] 8697923
[1 734592446513182065 734592446513182065 2] 9090531
[1 2793302479550237922 2793302479550237922 1] 7345413
[1 6481588027008507250 6481588027008507250 1] 118269
[1 7413609510133063015 7413609510133063015 1] 5172810
[1 2362446847867864768 2362446847867864768 1] 15694813
[1 144573006434803742 144573006434803742 1] 16539234
[1 4402948556259363451 4402948556259363451 1] 17439357
[1 1504946346371376639 1504946346371376639 2] 7467841
[1 7579227685816234595 7579227685816234595 3] 21491572
[1 734592446513182065 734592446513182065 2] 20863976
[1 734592446513182065 734592446513182065 1] 23756890
[1 194901708358462687 194901708358462687 1] 25678922
[1 1511323233739817806 1511323233739817806 1] 31710969
[1 4881638827078685502 4881638827078685502 2] 14742698
[1 8469120784247382523 8469120784247382523 2] 5787219
[1 4238356272867122178 4238356272867122178 1] 3375759
[1 2362446847867864768 2362446847867864768 1] 35374658
[1 2404287123253513670 2404287123253513670 1] 26747781
[1 4325101186680591916 4325101186680591916 1] 40516743
[1 6149652210555691411 6149652210555691411 1] 6403083
[1 1867263731343969693 1867263731343969693 1] 16506095
[1 3322115445419574041 3322115445419574041 1] 13617338
[1 5546712864438187884 5546712864438187884 2] 34113223
[1 6481617086072149703 6481617086072149703 1] 20151204
[1 6427445919344566720 6427445919344566720 1] 38510090
[1 2041583049155452133 2041583049155452133 1] 14174684
[1 2034601758941119156 2034601758941119156 1] 16921683
[1 5014386525507742238 5014386525507742238 1] 3956067
[1 3118897387058355560 3118897387058355560 2] 39557965
[1 543933806449348227 543933806449348227 3] 29275366
[1 299017200798257185 299017200798257185 1] 15160464
[1 4539981729959298355 4539981729959298355 1] 50816371
[1 4475106793237928676 4475106793237928676 1] 35253743
[1 6184224123268371659 6184224123268371659 5] 39069256
[1 2016187078435865310 2016187078435865310 1] 7247052
[1 7192606909766198139 7192606909766198139 2] 21974617
[1 4387800982861812278 4387800982861812278 1] 19246255
[1 2362446847867864768 2362446847867864768 1] 53101039
[1 65281072076987413 65281072076987413 1] 60435144
[1 9063614686281648555 9063614686281648555 1] 54460675
[1 8412094805934371413 8412094805934371413 1] 37695261
[1 5324807480767963583 5324807480767963583 1] 7074260
[1 2423815736635418286 2423815736635418286 1] 61251738
[1 6481588027008507250 6481588027008507250 1] 438828
[1 1755710550109762647 1755710550109762647 1] 46458790
[1 2041583049155452133 2041583049155452133 1] 17368601
[1 5853151758892767402 5853151758892767402 2] 50154904
[1 7056397236067230492 7056397236067230492 3] 54460236
[1 6621214734279361053 6621214734279361053 1] 10716025
[1 1636651290226904642 1636651290226904642 2] 15750898
[1 8813438948783652661 8813438948783652661 1] 69176567
[1 7333774302736409712 7333774302736409712 1] 3220573
[1 7332313593179142680 7332313593179142680 1] 19687324
[1 452426792638252267 452426792638252267 1] 8343115
[1 3152585022778420104 3152585022778420104 3] 55154642
