**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1927399
[1 8450407967963833808 8450407967963833808 1] 3524737
[1 721564148080595287 721564148080595287 2] 2266411
[1 5784510510427390044 5784510510427390044 1] 248524
[1 5321619225005942614 5321619225005942614 1] 1612671
[1 3046822243766327021 3046822243766327021 1] 5234188
[1 8029313043586665474 8029313043586665474 1] 8704527
[1 8450407967963833808 8450407967963833808 1] 13706421
[1 4730966302951168844 4730966302951168844 1] 16053960
[1 1450579245677056042 1450579245677056042 1] 10486862
[1 2547815149972623845 2547815149972623845 2] 18447627
[1 808369788346465354 808369788346465354 1] 16331392
[1 7653630665064253119 7653630665064253119 1] 20086232
[1 4003022495192092062 4003022495192092062 1] 21961799
[1 8450407967963833808 8450407967963833808 2] 23332004
[1 6215967033411041611 6215967033411041611 1] 29446757
[1 8100681940205857706 8100681940205857706 1] 26460083
[1 5142588962622644988 5142588962622644988 1] 34421173
[1 687416080485209988 687416080485209988 1] 43848629
[1 55384252974608570 55384252974608570 1] 37858813
[1 1118414874366739020 1118414874366739020 2] 41291872
[1 2922583494542665610 2922583494542665610 1] 43659383
[1 5287931004520922900 5287931004520922900 8] 44998123
[1 1118414874366739020 1118414874366739020 1] 40810512
[1 2889032688687768007 2889032688687768007 1] 39357232
[1 1663640511426390422 1663640511426390422 2] 46217597
[1 1394850415486416813 1394850415486416813 1] 46389565
[1 1394850415486416813 1394850415486416813 2] 45235473
[1 3698059312795779809 3698059312795779809 1] 54617977
[1 4851450802694101754 4851450802694101754 2] 54281176
[1 5992489245535112493 5992489245535112493 1] 52072113
[1 3312070181901919651 3312070181901919651 1] 53495419
[1 8821862535204312300 8821862535204312300 1] 55792527
[1 6327107451531181219 6327107451531181219 1] 49426282
[1 951586254236631086 951586254236631086 2] 55566277
[1 5122639946754095175 5122639946754095175 1] 53004661
[1 951586254236631086 951586254236631086 3] 60385816
[1 9033685357592327863 9033685357592327863 1] 58752031
[1 9033685357592327863 9033685357592327863 1] 60274277
[1 8278532257704844997 8278532257704844997 2] 57259000
[1 8821862535204312300 8821862535204312300 1] 62875247
[1 2713150456512491041 2713150456512491041 1] 64080211
[1 150346236973131253 150346236973131253 1] 66310604
[1 1026336552757573535 1026336552757573535 1] 62011194
[1 8821862535204312300 8821862535204312300 2] 61848053
[1 2783273353377496957 2783273353377496957 1] 60705121
[1 5382485966922274147 5382485966922274147 1] 65696293
[1 2062866308282685264 2062866308282685264 1] 70944877
[1 3006943460625193527 3006943460625193527 1] 67440938
[1 4403210617944963238 4403210617944963238 3] 76140746
[1 3006943460625193527 3006943460625193527 1] 69335179
[1 3006943460625193527 3006943460625193527 1] 68072845
[1 3089568524625336599 3089568524625336599 1] 70930347
[1 4978410431728192639 4978410431728192639 1] 76821467
[1 2062866308282685264 2062866308282685264 1] 72579589
[1 2742001999554151866 2742001999554151866 1] 73205984
[1 492733707351619402 492733707351619402 1] 71394309
