**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3891912525472319017 3891912525472319017 1] 355971
[1 3524944295492354525 3524944295492354525 1] 2888847
[1 6465365841824317134 6465365841824317134 1] 5810646
[1 3524944295492354525 3524944295492354525 1] 6322632
[1 5948993619004795236 5948993619004795236 2] 9947542
[1 9136702578193434504 9136702578193434504 2] 14141247
[1 6028263137173684739 6028263137173684739 1] 10838130
[1 3524944295492354525 3524944295492354525 2] 9752344
[1 2473666473174750345 2473666473174750345 1] 16103231
[1 7686640157670475335 7686640157670475335 1] 6160957
[1 6623483670943052193 6623483670943052193 1] 18048101
[1 5994124056994470692 5994124056994470692 1] 22644126
[1 7230154307701577625 7230154307701577625 1] 14806362
[1 7618895698711858468 7618895698711858468 1] 2106648
[1 3305412918947348215 3305412918947348215 1] 30080484
[1 5502909677952130479 5502909677952130479 1] 38650709
[1 8897930618967169584 8897930618967169584 2] 18715359
[1 3524944295492354525 3524944295492354525 1] 22526456
[1 866051710203306757 866051710203306757 1] 1766213
[1 4589168502877517079 4589168502877517079 3] 43757426
[1 8751121734910989182 8751121734910989182 2] 16111734
[1 5259391866149726936 5259391866149726936 1] 28445805
[1 3305412918947348215 3305412918947348215 2] 50801027
[1 8206614736999024242 8206614736999024242 1] 68548940
[1 1717463607729336300 1717463607729336300 1] 36486486
[1 5259391866149726936 5259391866149726936 5] 37170934
[1 4589168502877517079 4589168502877517079 1] 61490310
[1 7628049811414017422 7628049811414017422 3] 50798793
[1 6121147791370515209 6121147791370515209 1] 48516308
[1 2317079268237921964 2317079268237921964 2] 25215286
[1 5948993619004795236 5948993619004795236 1] 57616616
[1 1871270848413250141 1871270848413250141 1] 76932768
[1 3583927516565450811 3583927516565450811 1] 40825624
[1 7975978953324352923 7975978953324352923 1] 33772659
[1 5685768695680428377 5685768695680428377 2] 84176872
[1 859296714997048174 859296714997048174 2] 38281405
[1 306126023181094508 306126023181094508 1] 68301866
[1 9136702578193434504 9136702578193434504 1] 90203849
[1 4380451183062330894 4380451183062330894 1] 89595155
[1 688074034758609906 688074034758609906 1] 54103837
[1 7347835875698804174 7347835875698804174 1] 48765918
[1 5705692500215429947 5705692500215429947 1] 71746136
[1 4589168502877517079 4589168502877517079 1] 83533012
[1 2793781518004704453 2793781518004704453 1] 82177993
[1 8555152419105676635 8555152419105676635 1] 109137139
[1 6623483670943052193 6623483670943052193 1] 69783104
[1 1030041856088679904 1030041856088679904 1] 104982150
[1 1275007360331914680 1275007360331914680 1] 108095883
[1 4380451183062330894 4380451183062330894 1] 102452744
[1 220957617152666889 220957617152666889 1] 104699532
[1 4589168502877517079 4589168502877517079 1] 89228844
[1 6681809476221960301 6681809476221960301 1] 101925760
[1 4786789044354245594 4786789044354245594 2] 98370490
[1 3022523710936213978 3022523710936213978 2] 114092737
[1 700734140822267139 700734140822267139 1] 125633504
[1 1030041856088679904 1030041856088679904 1] 117312679
