**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 652485
[1 1608948501392221840 1608948501392221840 1] 2353549
[1 5618834902846399515 5618834902846399515 1] 216005
[1 60471825801899659 60471825801899659 9] 1094500
[1 5177818208114085241 5177818208114085241 2] 6792140
[1 37000534383455631 37000534383455631 12] 7672914
[1 3493812276559608261 3493812276559608261 1] 5402070
[1 5618834902846399515 5618834902846399515 4] 287943
[1 7803753030518273401 7803753030518273401 3] 12581366
[1 4173032647297130033 4173032647297130033 6] 6874218
[1 8104451448818176865 8104451448818176865 9] 13490157
[1 7106295925757861572 7106295925757861572 1] 13251814
[1 2962813208079357693 2962813208079357693 4] 6928098
[1 5618834902846399515 5618834902846399515 12] 322309
[1 5258959378889404534 5258959378889404534 3] 11219875
[1 4958165866846552497 4958165866846552497 3] 11131208
[1 3021584220979256730 3021584220979256730 4] 14019453
[1 1797403150532236909 1797403150532236909 9] 692851
[1 372354059906509972 372354059906509972 1] 13337244
[1 1322252853927517871 1322252853927517871 4] 7214288
[1 8094011088207712613 8094011088207712613 5] 12617049
[1 60471825801899659 60471825801899659 4] 2713130
[1 5447833490994371743 5447833490994371743 3] 4830157
[1 5412109951180343267 5412109951180343267 8] 9562023
[1 7728666063074132048 7728666063074132048 4] 14543842
[1 8104451448818176865 8104451448818176865 3] 23095607
[1 7245660931648353422 7245660931648353422 4] 20829904
[1 3400052239333568512 3400052239333568512 6] 11708568
[1 6692166669190932267 6692166669190932267 1] 8472312
[1 5854870836808415468 5854870836808415468 2] 8177497
[1 8104451448818176865 8104451448818176865 5] 26473069
[1 6894593078187142944 6894593078187142944 4] 14644074
[1 1675053098270206009 1675053098270206009 5] 1617783
[1 4626456623379277309 4626456623379277309 1] 27740675
[1 9126599491990958966 9126599491990958966 2] 2238654
[1 4694417007418070850 4694417007418070850 5] 8573850
[1 5618834902846399515 5618834902846399515 2] 631379
[1 2721500822832558103 2721500822832558103 4] 21246554
[1 955075508257134001 955075508257134001 3] 5316445
[1 5577396866130235607 5577396866130235607 4] 741207
[1 3755360830635635303 3755360830635635303 1] 11157397
[1 2416013057361978270 2416013057361978270 3] 2945910
[1 4552939449130578088 4552939449130578088 4] 6407242
[1 4941794663080118969 4941794663080118969 5] 19828428
[1 1783365564518310666 1783365564518310666 2] 10407949
[1 584020274336891132 584020274336891132 5] 37994122
[1 6130119897100878926 6130119897100878926 9] 21056665
[1 2313948965543090559 2313948965543090559 8] 35206866
