**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3164354599415269570 3164354599415269570 1] 2444586
[1 8452831939068487505 8452831939068487505 1] 5729328
[1 8452831939068487505 8452831939068487505 1] 6084929
[1 8452831939068487505 8452831939068487505 2] 8035680
[1 8452831939068487505 8452831939068487505 1] 8118677
[1 8452831939068487505 8452831939068487505 1] 9375161
[1 6018484118070796590 6018484118070796590 2] 8848232
[1 8452831939068487505 8452831939068487505 1] 13176778
[1 8452831939068487505 8452831939068487505 1] 14828069
[1 8452831939068487505 8452831939068487505 2] 15317879
[1 8452831939068487505 8452831939068487505 2] 16654165
[1 2648671423490380152 2648671423490380152 4] 18417843
[1 8452831939068487505 8452831939068487505 2] 21481562
[1 8452831939068487505 8452831939068487505 1] 22142115
[1 6730605893706737486 6730605893706737486 2] 10448636
[1 8452831939068487505 8452831939068487505 1] 23866255
[1 6018484118070796590 6018484118070796590 1] 20252768
[1 8452831939068487505 8452831939068487505 3] 24537348
[1 6018484118070796590 6018484118070796590 2] 20746306
[1 8452831939068487505 8452831939068487505 1] 26294783
[1 2839377681581139099 2839377681581139099 1] 27250384
[1 8176449781432285355 8176449781432285355 1] 3423820
[1 3164354599415269570 3164354599415269570 1] 10777344
[1 6018484118070796590 6018484118070796590 1] 23042045
[1 8452831939068487505 8452831939068487505 1] 29173202
[1 2893678142209256634 2893678142209256634 1] 25239907
[1 8452831939068487505 8452831939068487505 2] 30414832
[1 8452831939068487505 8452831939068487505 1] 30843292
[1 2893678142209256634 2893678142209256634 1] 25641672
[1 2893678142209256634 2893678142209256634 1] 27032061
[1 2839377681581139099 2839377681581139099 1] 36050811
[1 1081989871227714263 1081989871227714263 1] 18704669
[1 6018484118070796590 6018484118070796590 1] 31284043
[1 8452831939068487505 8452831939068487505 1] 38364465
[1 925339878428457028 925339878428457028 1] 42983574
[1 1090966366113846360 1090966366113846360 1] 3155776
[1 8452831939068487505 8452831939068487505 1] 42275569
[1 8452831939068487505 8452831939068487505 1] 46597696
[1 8452831939068487505 8452831939068487505 1] 47857757
[1 8452831939068487505 8452831939068487505 4] 46267259
[1 6730605893706737486 6730605893706737486 1] 19084966
[1 8452831939068487505 8452831939068487505 1] 47613678
[1 6018484118070796590 6018484118070796590 1] 42159711
[1 2839377681581139099 2839377681581139099 1] 50861307
[1 8452831939068487505 8452831939068487505 1] 52424707
[1 7251461044673145193 7251461044673145193 1] 50414287
[1 6018484118070796590 6018484118070796590 1] 41567957
[1 8452831939068487505 8452831939068487505 1] 51022912
[1 4738926942490752286 4738926942490752286 1] 21336742
[1 2648671423490380152 2648671423490380152 1] 50014483
[1 2386770424116631308 2386770424116631308 1] 38887456
[1 8452831939068487505 8452831939068487505 1] 54833270
[1 8452831939068487505 8452831939068487505 2] 52583431
[1 8452831939068487505 8452831939068487505 1] 52892396
[1 252799525279960082 252799525279960082 1] 44500721
[1 2401628121101174705 2401628121101174705 1] 51337502
