**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2795089
[1 6488461302691448296 6488461302691448296 1] 4186346
[1 7681445200113414176 7681445200113414176 1] 5931357
[1 6685923574978999215 6685923574978999215 1] 4897188
[1 1990676820339791773 1990676820339791773 1] 6682686
[1 1587860973498482729 1587860973498482729 1] 5807513
[1 7616638341155698441 7616638341155698441 2] 6034654
[1 5946276162731559111 5946276162731559111 2] 4361144
[1 9057165912191784911 9057165912191784911 1] 6568836
[1 9057165912191784911 9057165912191784911 1] 6097721
[1 6023283311097976846 6023283311097976846 3] 9066149
[1 5245439083908774251 5245439083908774251 2] 7657137
[1 6957445936109150678 6957445936109150678 1] 8725741
[1 6488461302691448296 6488461302691448296 1] 9344240
[1 2148517718796434096 2148517718796434096 1] 10977552
[1 8397693939726633757 8397693939726633757 3] 10043828
[1 9057165912191784911 9057165912191784911 1] 10175199
[1 7583167364354317389 7583167364354317389 1] 11658791
[1 1214256030844900062 1214256030844900062 1] 11226512
[1 252049887289774605 252049887289774605 1] 8763247
[1 1410469310589474675 1410469310589474675 1] 10780537
[1 3750374287645824302 3750374287645824302 2] 13154130
[1 9057165912191784911 9057165912191784911 1] 12069852
[1 3094488955166861915 3094488955166861915 1] 13732467
[1 5161718391645202190 5161718391645202190 1] 15632710
[1 2744697425919251717 2744697425919251717 2] 13156814
[1 741339643387758460 741339643387758460 1] 11642653
[1 5897693816321261925 5897693816321261925 1] 13879779
[1 1613346174718908726 1613346174718908726 1] 13157966
[1 4427489698557970739 4427489698557970739 1] 16103268
[1 6023283311097976846 6023283311097976846 1] 16734822
[1 4950749919375495834 4950749919375495834 2] 18088068
[1 6439500474696603189 6439500474696603189 1] 16626101
[1 4372686792761235256 4372686792761235256 1] 16465244
[1 4950749919375495834 4950749919375495834 1] 19238452
[1 3094488955166861915 3094488955166861915 1] 19350276
[1 8853005861790132521 8853005861790132521 1] 18876004
[1 3548854057181795740 3548854057181795740 1] 17431156
[1 8003898064877407765 8003898064877407765 1] 16836833
[1 5402260543088376015 5402260543088376015 1] 17907687
[1 3062903259356535742 3062903259356535742 1] 21076463
[1 4275078077508723083 4275078077508723083 1] 20834485
[1 4531492923819664620 4531492923819664620 1] 18587227
[1 3864748567228467764 3864748567228467764 1] 21461208
[1 2422630752754597585 2422630752754597585 1] 20345992
[1 252049887289774605 252049887289774605 2] 17901900
[1 5778657392964895214 5778657392964895214 1] 20569750
[1 1786196876115952481 1786196876115952481 1] 21534119
[1 1245987228388785965 1245987228388785965 1] 21202105
[1 2744697425919251717 2744697425919251717 1] 20473634
[1 1205320352397806369 1205320352397806369 2] 22340934
[1 8776694636489796844 8776694636489796844 1] 22803089
[1 4796064343467574261 4796064343467574261 1] 22613829
[1 8794092972714353467 8794092972714353467 1] 22974128
[1 3411313239124880777 3411313239124880777 1] 22405121
[1 7972247085080092905 7972247085080092905 1] 22374624
