**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1081881
[1 8450407967963833808 8450407967963833808 1] 1063212
[1 3698059312795779809 3698059312795779809 1] 4530641
[1 150346236973131253 150346236973131253 1] 4747805
[1 4403210617944963238 4403210617944963238 3] 5615124
[1 4730966302951168844 4730966302951168844 1] 5757526
[1 1822089775280894195 1822089775280894195 1] 6333341
[1 4851450802694101754 4851450802694101754 2] 8746747
[1 4858364911245529076 4858364911245529076 1] 10727314
[1 4835695806979482836 4835695806979482836 1] 10929354
[1 3250854464569619465 3250854464569619465 2] 12425100
[1 3217969341489499266 3217969341489499266 1] 13839845
[1 4978410431728192639 4978410431728192639 1] 14901409
[1 2197744667374574532 2197744667374574532 1] 16912476
[1 4903203917271735144 4903203917271735144 2] 17017979
[1 3046822243766327021 3046822243766327021 1] 17053176
[1 6649611678475825109 6649611678475825109 1] 19505565
[1 8821862535204312300 8821862535204312300 1] 20069119
[1 8450407967963833808 8450407967963833808 1] 20703472
[1 6344401509648144738 6344401509648144738 2] 22034203
[1 2547815149972623845 2547815149972623845 2] 22316262
[1 8522117110820751872 8522117110820751872 2] 23994081
[1 8821862535204312300 8821862535204312300 1] 23947441
[1 4450190829065881268 4450190829065881268 1] 25013108
[1 951586254236631086 951586254236631086 3] 25222620
[1 2713150456512491041 2713150456512491041 1] 26904602
[1 687416080485209988 687416080485209988 1] 27056796
[1 8623889621384620406 8623889621384620406 1] 28002286
[1 721564148080595287 721564148080595287 2] 27610817
[1 6752878145220998165 6752878145220998165 1] 29351857
[1 5287931004520922900 5287931004520922900 8] 29620751
[1 8029313043586665474 8029313043586665474 1] 29952572
[1 5897962221956995512 5897962221956995512 1] 31391326
[1 1663640511426390422 1663640511426390422 2] 32343759
[1 2214184573454476602 2214184573454476602 3] 33634296
[1 5321619225005942614 5321619225005942614 1] 32869414
[1 3312070181901919651 3312070181901919651 1] 33469301
[1 3217969341489499266 3217969341489499266 1] 33967176
[1 951586254236631086 951586254236631086 2] 35815918
[1 9033685357592327863 9033685357592327863 1] 35827552
[1 919017376376659804 919017376376659804 4] 37619943
[1 4586400317966310758 4586400317966310758 1] 37498857
[1 2922583494542665610 2922583494542665610 1] 37688795
[1 5992489245535112493 5992489245535112493 1] 38341765
[1 2062866308282685264 2062866308282685264 1] 40593576
[1 8709797118651319570 8709797118651319570 1] 41998047
[1 5036946906818305099 5036946906818305099 1] 42217811
[1 6215967033411041611 6215967033411041611 1] 43169984
[1 5784510510427390044 5784510510427390044 1] 43087072
[1 3250854464569619465 3250854464569619465 1] 44729182
[1 808369788346465354 808369788346465354 1] 44889636
[1 6230166267992281283 6230166267992281283 1] 46027491
[1 1683779944783161779 1683779944783161779 1] 46030516
[1 9033685357592327863 9033685357592327863 1] 45751457
[1 1026336552757573535 1026336552757573535 1] 48051652
[1 2663504857693781241 2663504857693781241 1] 49558501
[1 9079148035812006600 9079148035812006600 1] 50404093
