**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3891912525472319017 3891912525472319017 1] 353121
[1 3524944295492354525 3524944295492354525 1] 2266688
[1 6465365841824317134 6465365841824317134 1] 4877601
[1 9136702578193434504 9136702578193434504 2] 7078672
[1 5948993619004795236 5948993619004795236 2] 4854196
[1 5502909677952130479 5502909677952130479 1] 8507420
[1 2473666473174750345 2473666473174750345 1] 7764487
[1 3524944295492354525 3524944295492354525 1] 7668328
[1 8206614736999024242 8206614736999024242 1] 10435991
[1 6028263137173684739 6028263137173684739 1] 9404422
[1 6623483670943052193 6623483670943052193 1] 11090143
[1 1871270848413250141 1871270848413250141 1] 13726079
[1 3524944295492354525 3524944295492354525 2] 11495921
[1 4589168502877517079 4589168502877517079 3] 14447821
[1 8555152419105676635 8555152419105676635 1] 17809175
[1 5994124056994470692 5994124056994470692 1] 15673311
[1 5685768695680428377 5685768695680428377 2] 17987255
[1 3305412918947348215 3305412918947348215 1] 17285320
[1 5254669020296825119 5254669020296825119 1] 22388723
[1 1030041856088679904 1030041856088679904 1] 23918122
[1 7254539414218470546 7254539414218470546 1] 25252228
[1 4589168502877517079 4589168502877517079 1] 23775555
[1 8046042694701344701 8046042694701344701 1] 28470577
[1 9136702578193434504 9136702578193434504 1] 29515033
[1 7686640157670475335 7686640157670475335 1] 28703234
[1 2010568517865674772 2010568517865674772 1] 35524781
[1 7516372754632857436 7516372754632857436 1] 34598078
[1 700734140822267139 700734140822267139 1] 34652611
[1 4380451183062330894 4380451183062330894 1] 34573185
[1 3305412918947348215 3305412918947348215 2] 35993870
[1 7230154307701577625 7230154307701577625 1] 35369405
[1 700734140822267139 700734140822267139 2] 40252825
[1 6554819255695809775 6554819255695809775 1] 40801001
[1 3524944295492354525 3524944295492354525 1] 39347535
[1 532236067607757851 532236067607757851 1] 43293332
[1 8897930618967169584 8897930618967169584 2] 40809430
[1 5948993619004795236 5948993619004795236 1] 43709218
[1 1275007360331914680 1275007360331914680 1] 45538786
[1 1674204358114357946 1674204358114357946 1] 47052138
[1 1030041856088679904 1030041856088679904 1] 46280319
[1 7628049811414017422 7628049811414017422 3] 46741256
[1 4589168502877517079 4589168502877517079 1] 47621062
[1 6121147791370515209 6121147791370515209 1] 47199598
[1 1030041856088679904 1030041856088679904 1] 50404317
[1 220957617152666889 220957617152666889 1] 52856971
[1 6559584327919863800 6559584327919863800 1] 54726294
[1 3022523710936213978 3022523710936213978 2] 53712555
[1 4380451183062330894 4380451183062330894 1] 57815083
[1 5181958362948808516 5181958362948808516 1] 59821151
[1 5259391866149726936 5259391866149726936 1] 58681884
[1 306126023181094508 306126023181094508 1] 60855091
[1 4998857766867648190 4998857766867648190 3] 63358642
[1 2667979663506019336 2667979663506019336 1] 63009597
[1 7618895698711858468 7618895698711858468 1] 59573139
[1 2793781518004704453 2793781518004704453 1] 63798127
[1 6873916741629642802 6873916741629642802 1] 67374936
