**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 658805
[1 1608948501392221840 1608948501392221840 1] 1790065
[1 5177818208114085241 5177818208114085241 2] 5497283
[1 37000534383455631 37000534383455631 12] 5900053
[1 7803753030518273401 7803753030518273401 3] 6494795
[1 60471825801899659 60471825801899659 9] 4163365
[1 5618834902846399515 5618834902846399515 1] 3639997
[1 8104451448818176865 8104451448818176865 9] 7016379
[1 3493812276559608261 3493812276559608261 1] 5993820
[1 7106295925757861572 7106295925757861572 1] 6920927
[1 4173032647297130033 4173032647297130033 6] 5263771
[1 3021584220979256730 3021584220979256730 4] 8229213
[1 5258959378889404534 5258959378889404534 3] 7880811
[1 372354059906509972 372354059906509972 1] 7860384
[1 4958165866846552497 4958165866846552497 3] 8204987
[1 2962813208079357693 2962813208079357693 4] 6949952
[1 8094011088207712613 8094011088207712613 5] 8739113
[1 5618834902846399515 5618834902846399515 4] 5807696
[1 8104451448818176865 8104451448818176865 3] 10595409
[1 7245660931648353422 7245660931648353422 4] 9415651
[1 8104451448818176865 8104451448818176865 5] 11405373
[1 4626456623379277309 4626456623379277309 1] 11438478
[1 1322252853927517871 1322252853927517871 4] 9970029
[1 7728666063074132048 7728666063074132048 4] 11070345
[1 5412109951180343267 5412109951180343267 8] 10498170
[1 584020274336891132 584020274336891132 5] 13430795
[1 5618834902846399515 5618834902846399515 12] 9292357
[1 7341520517183750168 7341520517183750168 5] 14084573
[1 5447833490994371743 5447833490994371743 3] 11645246
[1 60471825801899659 60471825801899659 4] 11668467
[1 1797403150532236909 1797403150532236909 9] 11209339
[1 2313948965543090559 2313948965543090559 8] 14666302
[1 7341520517183750168 7341520517183750168 15] 15274163
[1 4867268416495133867 4867268416495133867 7] 15536417
[1 3400052239333568512 3400052239333568512 6] 13405881
[1 8104451448818176865 8104451448818176865 9] 15398544
[1 6920440385081447047 6920440385081447047 1] 16281537
[1 7803753030518273401 7803753030518273401 1] 16903085
[1 6894593078187142944 6894593078187142944 4] 15421901
[1 2721500822832558103 2721500822832558103 4] 16368172
[1 6692166669190932267 6692166669190932267 1] 15857623
[1 2802821781736258657 2802821781736258657 5] 18546873
[1 8656076444750920409 8656076444750920409 1] 20119301
[1 1026064423824749505 1026064423824749505 4] 18819695
[1 8608643741839602142 8608643741839602142 9] 18644263
[1 5854870836808415468 5854870836808415468 2] 16909634
[1 2905926692694372953 2905926692694372953 6] 20683745
[1 7511834424677954020 7511834424677954020 3] 22870548
