**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 8452831939068487505 8452831939068487505 1] 4299842
[1 8452831939068487505 8452831939068487505 1] 4309673
[1 8452831939068487505 8452831939068487505 2] 4274765
[1 3164354599415269570 3164354599415269570 1] 3048584
[1 8452831939068487505 8452831939068487505 1] 4407026
[1 8452831939068487505 8452831939068487505 1] 6206936
[1 8452831939068487505 8452831939068487505 1] 6028591
[1 8452831939068487505 8452831939068487505 1] 6119363
[1 8452831939068487505 8452831939068487505 2] 5690412
[1 6018484118070796590 6018484118070796590 2] 6454812
[1 8452831939068487505 8452831939068487505 2] 7922878
[1 2648671423490380152 2648671423490380152 4] 7710642
[1 8452831939068487505 8452831939068487505 2] 7559718
[1 8452831939068487505 8452831939068487505 1] 8327004
[1 8452831939068487505 8452831939068487505 1] 9679646
[1 8452831939068487505 8452831939068487505 3] 9412810
[1 2839377681581139099 2839377681581139099 1] 9386638
[1 8452831939068487505 8452831939068487505 1] 10195423
[1 8452831939068487505 8452831939068487505 1] 11314021
[1 8452831939068487505 8452831939068487505 2] 11071614
[1 8452831939068487505 8452831939068487505 1] 11134849
[1 6018484118070796590 6018484118070796590 1] 10830837
[1 6018484118070796590 6018484118070796590 2] 11528046
[1 2839377681581139099 2839377681581139099 1] 12993951
[1 2893678142209256634 2893678142209256634 1] 11487859
[1 925339878428457028 925339878428457028 1] 13448042
[1 6018484118070796590 6018484118070796590 1] 12608944
[1 2893678142209256634 2893678142209256634 1] 13024252
[1 8452831939068487505 8452831939068487505 1] 13861682
[1 2893678142209256634 2893678142209256634 1] 13582304
[1 8452831939068487505 8452831939068487505 1] 14371271
[1 8452831939068487505 8452831939068487505 1] 14737853
[1 6730605893706737486 6730605893706737486 2] 13509907
[1 8452831939068487505 8452831939068487505 1] 15675430
[1 8452831939068487505 8452831939068487505 1] 15294276
[1 8452831939068487505 8452831939068487505 4] 16025896
[1 6018484118070796590 6018484118070796590 1] 15857840
[1 8452831939068487505 8452831939068487505 1] 16891019
[1 925339878428457028 925339878428457028 1] 17113709
[1 2839377681581139099 2839377681581139099 1] 17201736
[1 925339878428457028 925339878428457028 1] 18159654
[1 7251461044673145193 7251461044673145193 1] 18709038
[1 8452831939068487505 8452831939068487505 1] 18784308
[1 8452831939068487505 8452831939068487505 1] 18867199
[1 3164354599415269570 3164354599415269570 1] 17535786
[1 2648671423490380152 2648671423490380152 1] 20294633
[1 5517005557862574638 5517005557862574638 1] 21197446
[1 8452831939068487505 8452831939068487505 2] 20505313
[1 8452831939068487505 8452831939068487505 1] 20401021
[1 8452831939068487505 8452831939068487505 1] 22034516
[1 8452831939068487505 8452831939068487505 1] 21709244
[1 8452831939068487505 8452831939068487505 2] 22207539
[1 2401628121101174705 2401628121101174705 1] 21758597
[1 1081989871227714263 1081989871227714263 1] 20831669
[1 8176449781432285355 8176449781432285355 1] 19324145
[1 6018484118070796590 6018484118070796590 1] 22673561
