**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 5331094
[1 734592446513182065 734592446513182065 2] 4968876
[1 144573006434803742 144573006434803742 1] 6222446
[1 2362446847867864768 2362446847867864768 1] 5638160
[1 2793302479550237922 2793302479550237922 1] 5892527
[1 7579227685816234595 7579227685816234595 3] 7776542
[1 4402948556259363451 4402948556259363451 1] 8510892
[1 734592446513182065 734592446513182065 2] 8189616
[1 1511323233739817806 1511323233739817806 1] 9186119
[1 775798024421069700 775798024421069700 1] 6842485
[1 734592446513182065 734592446513182065 1] 10059031
[1 4325101186680591916 4325101186680591916 1] 12599626
[1 2362446847867864768 2362446847867864768 1] 12172188
[1 7413609510133063015 7413609510133063015 1] 11057324
[1 4539981729959298355 4539981729959298355 1] 12270336
[1 194901708358462687 194901708358462687 1] 11859796
[1 2362446847867864768 2362446847867864768 1] 14196844
[1 8813438948783652661 8813438948783652661 1] 16612911
[1 6481588027008507250 6481588027008507250 1] 13632931
[1 2423815736635418286 2423815736635418286 1] 15562142
[1 65281072076987413 65281072076987413 1] 16297522
[1 6427445919344566720 6427445919344566720 1] 17735640
[1 5546712864438187884 5546712864438187884 2] 16076281
[1 1504946346371376639 1504946346371376639 2] 16007735
[1 3826047074646187463 3826047074646187463 1] 19152659
[1 2423815736635418286 2423815736635418286 1] 18585174
[1 3118897387058355560 3118897387058355560 2] 18778418
[1 9063614686281648555 9063614686281648555 1] 19746747
[1 7457640055946008668 7457640055946008668 1] 21134892
[1 6224901217148171972 6224901217148171972 1] 21080226
[1 2404287123253513670 2404287123253513670 1] 21435397
[1 2534080848504833637 2534080848504833637 3] 22210336
[1 7120628415427462898 7120628415427462898 1] 23252820
[1 6184224123268371659 6184224123268371659 5] 23898905
[1 65281072076987413 65281072076987413 1] 24758891
[1 7056397236067230492 7056397236067230492 3] 23656127
[1 4881638827078685502 4881638827078685502 2] 23665685
[1 5082294164254468326 5082294164254468326 1] 26300431
[1 4475106793237928676 4475106793237928676 1] 25075019
[1 3604631005327317358 3604631005327317358 1] 26662594
[1 3152585022778420104 3152585022778420104 3] 26448178
[1 8813438948783652661 8813438948783652661 1] 28475929
[1 5853151758892767402 5853151758892767402 2] 27356148
[1 2024667237626825566 2024667237626825566 1] 28273669
[1 1755710550109762647 1755710550109762647 1] 28140920
[1 543933806449348227 543933806449348227 3] 27705292
[1 2362446847867864768 2362446847867864768 1] 29759664
[1 6481617086072149703 6481617086072149703 1] 27638299
[1 1867263731343969693 1867263731343969693 1] 28304797
[1 6224901217148171972 6224901217148171972 1] 31531468
[1 8469120784247382523 8469120784247382523 2] 28171969
[1 194901708358462687 194901708358462687 1] 30673399
[1 3826047074646187463 3826047074646187463 1] 32464036
[1 8412094805934371413 8412094805934371413 1] 29794909
[1 4238356272867122178 4238356272867122178 1] 28922902
[1 3990301012644747093 3990301012644747093 1] 31408075
[1 3322115445419574041 3322115445419574041 1] 29468984
