**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2783585
[1 6488461302691448296 6488461302691448296 1] 4170011
[1 7681445200113414176 7681445200113414176 1] 5834600
[1 6685923574978999215 6685923574978999215 1] 4698261
[1 1990676820339791773 1990676820339791773 1] 6391905
[1 1587860973498482729 1587860973498482729 1] 5627023
[1 7616638341155698441 7616638341155698441 2] 6032634
[1 5946276162731559111 5946276162731559111 2] 4299462
[1 9057165912191784911 9057165912191784911 1] 6260649
[1 9057165912191784911 9057165912191784911 1] 5943783
[1 6023283311097976846 6023283311097976846 3] 8680848
[1 5245439083908774251 5245439083908774251 2] 7505593
[1 6957445936109150678 6957445936109150678 1] 8611576
[1 6488461302691448296 6488461302691448296 1] 9328699
[1 2148517718796434096 2148517718796434096 1] 10854848
[1 8397693939726633757 8397693939726633757 3] 10282183
[1 9057165912191784911 9057165912191784911 1] 10208691
[1 7583167364354317389 7583167364354317389 1] 11652604
[1 1214256030844900062 1214256030844900062 1] 11344395
[1 252049887289774605 252049887289774605 1] 9008424
[1 1410469310589474675 1410469310589474675 1] 10936122
[1 3750374287645824302 3750374287645824302 2] 13609948
[1 9057165912191784911 9057165912191784911 1] 12029212
[1 3094488955166861915 3094488955166861915 1] 13767396
[1 5161718391645202190 5161718391645202190 1] 15629418
[1 2744697425919251717 2744697425919251717 2] 13365675
[1 5897693816321261925 5897693816321261925 1] 13504607
[1 741339643387758460 741339643387758460 1] 11708039
[1 1613346174718908726 1613346174718908726 1] 12742636
[1 4427489698557970739 4427489698557970739 1] 15791330
[1 4950749919375495834 4950749919375495834 2] 17678611
[1 6023283311097976846 6023283311097976846 1] 16643239
[1 6439500474696603189 6439500474696603189 1] 16147361
[1 4372686792761235256 4372686792761235256 1] 15891621
[1 4950749919375495834 4950749919375495834 1] 18859204
[1 3094488955166861915 3094488955166861915 1] 19125258
[1 8853005861790132521 8853005861790132521 1] 18644404
[1 3548854057181795740 3548854057181795740 1] 17221516
[1 8003898064877407765 8003898064877407765 1] 16644849
[1 3062903259356535742 3062903259356535742 1] 20770962
[1 5402260543088376015 5402260543088376015 1] 17775271
[1 4275078077508723083 4275078077508723083 1] 20706591
[1 4531492923819664620 4531492923819664620 1] 18514186
[1 2422630752754597585 2422630752754597585 1] 20269458
[1 3864748567228467764 3864748567228467764 1] 21606502
[1 5778657392964895214 5778657392964895214 1] 20361049
[1 252049887289774605 252049887289774605 2] 17968848
[1 1786196876115952481 1786196876115952481 1] 21606942
[1 1245987228388785965 1245987228388785965 1] 21334586
[1 2744697425919251717 2744697425919251717 1] 20546180
[1 1205320352397806369 1205320352397806369 2] 22075263
[1 8776694636489796844 8776694636489796844 1] 22889954
[1 4796064343467574261 4796064343467574261 1] 22839859
[1 8794092972714353467 8794092972714353467 1] 22998231
[1 3411313239124880777 3411313239124880777 1] 22679486
[1 8397693939726633757 8397693939726633757 1] 24866423
