**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1073996
[1 8450407967963833808 8450407967963833808 1] 919786
[1 3698059312795779809 3698059312795779809 1] 4099655
[1 150346236973131253 150346236973131253 1] 4620219
[1 4403210617944963238 4403210617944963238 3] 5026694
[1 4730966302951168844 4730966302951168844 1] 5257422
[1 1822089775280894195 1822089775280894195 1] 6124061
[1 4851450802694101754 4851450802694101754 2] 8606246
[1 4858364911245529076 4858364911245529076 1] 10053717
[1 4835695806979482836 4835695806979482836 1] 10828585
[1 3250854464569619465 3250854464569619465 2] 11772182
[1 3217969341489499266 3217969341489499266 1] 13822758
[1 4978410431728192639 4978410431728192639 1] 14920517
[1 2197744667374574532 2197744667374574532 1] 15650445
[1 4903203917271735144 4903203917271735144 2] 15878996
[1 3046822243766327021 3046822243766327021 1] 15667588
[1 8821862535204312300 8821862535204312300 1] 18572759
[1 6649611678475825109 6649611678475825109 1] 18886284
[1 8450407967963833808 8450407967963833808 1] 19217739
[1 6344401509648144738 6344401509648144738 2] 21446650
[1 8522117110820751872 8522117110820751872 2] 21904783
[1 2547815149972623845 2547815149972623845 2] 21688058
[1 8821862535204312300 8821862535204312300 1] 22316944
[1 4450190829065881268 4450190829065881268 1] 24114150
[1 951586254236631086 951586254236631086 3] 24414839
[1 2713150456512491041 2713150456512491041 1] 25366872
[1 8623889621384620406 8623889621384620406 1] 26087872
[1 687416080485209988 687416080485209988 1] 26254811
[1 721564148080595287 721564148080595287 2] 26153729
[1 6752878145220998165 6752878145220998165 1] 28464507
[1 5287931004520922900 5287931004520922900 8] 28025188
[1 8029313043586665474 8029313043586665474 1] 28305072
[1 5897962221956995512 5897962221956995512 1] 30060358
[1 1663640511426390422 1663640511426390422 2] 30677210
[1 2214184573454476602 2214184573454476602 3] 32017117
[1 5321619225005942614 5321619225005942614 1] 31242646
[1 3312070181901919651 3312070181901919651 1] 32269457
[1 3217969341489499266 3217969341489499266 1] 32989587
[1 951586254236631086 951586254236631086 2] 34230754
[1 9033685357592327863 9033685357592327863 1] 34761400
[1 919017376376659804 919017376376659804 4] 35811370
[1 4586400317966310758 4586400317966310758 1] 36559104
[1 2922583494542665610 2922583494542665610 1] 36571176
[1 5992489245535112493 5992489245535112493 1] 36730715
[1 2062866308282685264 2062866308282685264 1] 38697322
[1 8709797118651319570 8709797118651319570 1] 40951121
[1 5036946906818305099 5036946906818305099 1] 41230731
[1 6215967033411041611 6215967033411041611 1] 42518122
[1 5784510510427390044 5784510510427390044 1] 42435107
[1 3250854464569619465 3250854464569619465 1] 43459805
[1 808369788346465354 808369788346465354 1] 43697813
[1 6230166267992281283 6230166267992281283 1] 44329010
[1 1683779944783161779 1683779944783161779 1] 45383619
[1 9033685357592327863 9033685357592327863 1] 45203825
[1 1026336552757573535 1026336552757573535 1] 46881880
[1 2663504857693781241 2663504857693781241 1] 47684457
[1 9079148035812006600 9079148035812006600 1] 49689691
