**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3891912525472319017 3891912525472319017 1] 360199
[1 3524944295492354525 3524944295492354525 1] 2072960
[1 6465365841824317134 6465365841824317134 1] 4667488
[1 9136702578193434504 9136702578193434504 2] 6724640
[1 5948993619004795236 5948993619004795236 2] 4664945
[1 5502909677952130479 5502909677952130479 1] 8410345
[1 2473666473174750345 2473666473174750345 1] 7624394
[1 3524944295492354525 3524944295492354525 1] 7497810
[1 8206614736999024242 8206614736999024242 1] 10144594
[1 6028263137173684739 6028263137173684739 1] 8620305
[1 1871270848413250141 1871270848413250141 1] 12382379
[1 6623483670943052193 6623483670943052193 1] 10238646
[1 3524944295492354525 3524944295492354525 2] 10237557
[1 4589168502877517079 4589168502877517079 3] 13247841
[1 8555152419105676635 8555152419105676635 1] 16503751
[1 5994124056994470692 5994124056994470692 1] 14244083
[1 5685768695680428377 5685768695680428377 2] 16247338
[1 3305412918947348215 3305412918947348215 1] 15718648
[1 5254669020296825119 5254669020296825119 1] 20718954
[1 1030041856088679904 1030041856088679904 1] 21796918
[1 7254539414218470546 7254539414218470546 1] 23427161
[1 4589168502877517079 4589168502877517079 1] 21960103
[1 8046042694701344701 8046042694701344701 1] 26373007
[1 9136702578193434504 9136702578193434504 1] 27054694
[1 7686640157670475335 7686640157670475335 1] 26321630
[1 2010568517865674772 2010568517865674772 1] 32536404
[1 7516372754632857436 7516372754632857436 1] 32172735
[1 700734140822267139 700734140822267139 1] 31803460
[1 4380451183062330894 4380451183062330894 1] 32237098
[1 3305412918947348215 3305412918947348215 2] 33046262
[1 7230154307701577625 7230154307701577625 1] 32327946
[1 700734140822267139 700734140822267139 2] 37752137
[1 6554819255695809775 6554819255695809775 1] 38360864
[1 3524944295492354525 3524944295492354525 1] 36808524
[1 532236067607757851 532236067607757851 1] 40208724
[1 8897930618967169584 8897930618967169584 2] 37693417
[1 5948993619004795236 5948993619004795236 1] 40605257
[1 1674204358114357946 1674204358114357946 1] 44055483
[1 1275007360331914680 1275007360331914680 1] 43174913
[1 1030041856088679904 1030041856088679904 1] 43827803
[1 7628049811414017422 7628049811414017422 3] 43521342
[1 4589168502877517079 4589168502877517079 1] 44893686
[1 6121147791370515209 6121147791370515209 1] 43989728
[1 1030041856088679904 1030041856088679904 1] 47821552
[1 220957617152666889 220957617152666889 1] 49381382
[1 3022523710936213978 3022523710936213978 2] 50643942
[1 6559584327919863800 6559584327919863800 1] 52109191
[1 4380451183062330894 4380451183062330894 1] 54706874
[1 5181958362948808516 5181958362948808516 1] 57318188
[1 5259391866149726936 5259391866149726936 1] 56287017
[1 306126023181094508 306126023181094508 1] 57825004
[1 4998857766867648190 4998857766867648190 3] 59915626
[1 2667979663506019336 2667979663506019336 1] 60415646
[1 7618895698711858468 7618895698711858468 1] 56988755
[1 2793781518004704453 2793781518004704453 1] 60661945
[1 6873916741629642802 6873916741629642802 1] 65304457
