**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 630568
[1 1608948501392221840 1608948501392221840 1] 1839101
[1 5177818208114085241 5177818208114085241 2] 5585586
[1 37000534383455631 37000534383455631 12] 6147780
[1 7803753030518273401 7803753030518273401 3] 6989823
[1 60471825801899659 60471825801899659 9] 4584182
[1 5618834902846399515 5618834902846399515 1] 4046596
[1 3493812276559608261 3493812276559608261 1] 6335227
[1 8104451448818176865 8104451448818176865 9] 7597502
[1 7106295925757861572 7106295925757861572 1] 7416492
[1 4173032647297130033 4173032647297130033 6] 5667575
[1 3021584220979256730 3021584220979256730 4] 8227350
[1 5258959378889404534 5258959378889404534 3] 7865963
[1 372354059906509972 372354059906509972 1] 7790763
[1 4958165866846552497 4958165866846552497 3] 8370895
[1 2962813208079357693 2962813208079357693 4] 6768483
[1 8094011088207712613 8094011088207712613 5] 8646704
[1 5618834902846399515 5618834902846399515 4] 5716949
[1 8104451448818176865 8104451448818176865 3] 10515110
[1 7245660931648353422 7245660931648353422 4] 9408447
[1 8104451448818176865 8104451448818176865 5] 11673805
[1 4626456623379277309 4626456623379277309 1] 11196347
[1 1322252853927517871 1322252853927517871 4] 9911720
[1 7728666063074132048 7728666063074132048 4] 11540088
[1 5412109951180343267 5412109951180343267 8] 10371787
[1 584020274336891132 584020274336891132 5] 13237908
[1 5618834902846399515 5618834902846399515 12] 9106245
[1 7341520517183750168 7341520517183750168 5] 13828803
[1 5447833490994371743 5447833490994371743 3] 11374516
[1 60471825801899659 60471825801899659 4] 11437087
[1 1797403150532236909 1797403150532236909 9] 10983831
[1 2313948965543090559 2313948965543090559 8] 14631471
[1 7341520517183750168 7341520517183750168 15] 15862920
[1 4867268416495133867 4867268416495133867 7] 15262914
[1 3400052239333568512 3400052239333568512 6] 13423673
[1 7803753030518273401 7803753030518273401 1] 17152552
[1 6920440385081447047 6920440385081447047 1] 16725048
[1 8104451448818176865 8104451448818176865 9] 16480244
[1 6894593078187142944 6894593078187142944 4] 15391658
[1 2721500822832558103 2721500822832558103 4] 16749469
[1 6692166669190932267 6692166669190932267 1] 16213107
[1 2802821781736258657 2802821781736258657 5] 19246527
[1 1026064423824749505 1026064423824749505 4] 18678453
[1 8656076444750920409 8656076444750920409 1] 20643940
[1 5854870836808415468 5854870836808415468 2] 16954551
[1 8608643741839602142 8608643741839602142 9] 18896615
[1 2905926692694372953 2905926692694372953 6] 21167569
[1 5177818208114085241 5177818208114085241 16] 21143077
