**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 8452831939068487505 8452831939068487505 1] 4169482
[1 8452831939068487505 8452831939068487505 1] 4200859
[1 8452831939068487505 8452831939068487505 2] 4092753
[1 3164354599415269570 3164354599415269570 1] 2890672
[1 8452831939068487505 8452831939068487505 1] 4132832
[1 8452831939068487505 8452831939068487505 1] 5943665
[1 8452831939068487505 8452831939068487505 1] 5726500
[1 8452831939068487505 8452831939068487505 1] 5731121
[1 8452831939068487505 8452831939068487505 2] 5250706
[1 6018484118070796590 6018484118070796590 2] 5949412
[1 8452831939068487505 8452831939068487505 2] 7355773
[1 2648671423490380152 2648671423490380152 4] 7247046
[1 8452831939068487505 8452831939068487505 2] 7055684
[1 8452831939068487505 8452831939068487505 1] 7714288
[1 8452831939068487505 8452831939068487505 1] 9114985
[1 8452831939068487505 8452831939068487505 3] 9085674
[1 2839377681581139099 2839377681581139099 1] 8933684
[1 8452831939068487505 8452831939068487505 1] 9683702
[1 8452831939068487505 8452831939068487505 1] 10812059
[1 8452831939068487505 8452831939068487505 2] 10816113
[1 8452831939068487505 8452831939068487505 1] 10680310
[1 6018484118070796590 6018484118070796590 1] 10303798
[1 6018484118070796590 6018484118070796590 2] 11387206
[1 2839377681581139099 2839377681581139099 1] 12539163
[1 2893678142209256634 2893678142209256634 1] 11093519
[1 925339878428457028 925339878428457028 1] 13024353
[1 6018484118070796590 6018484118070796590 1] 12498463
[1 2893678142209256634 2893678142209256634 1] 12554552
[1 8452831939068487505 8452831939068487505 1] 13469230
[1 2893678142209256634 2893678142209256634 1] 13108786
[1 8452831939068487505 8452831939068487505 1] 14165195
[1 8452831939068487505 8452831939068487505 1] 14181837
[1 6730605893706737486 6730605893706737486 2] 12962221
[1 8452831939068487505 8452831939068487505 1] 15239055
[1 8452831939068487505 8452831939068487505 1] 14783199
[1 8452831939068487505 8452831939068487505 4] 15775457
[1 6018484118070796590 6018484118070796590 1] 15232682
[1 8452831939068487505 8452831939068487505 1] 16362023
[1 925339878428457028 925339878428457028 1] 16448108
[1 2839377681581139099 2839377681581139099 1] 16800358
[1 925339878428457028 925339878428457028 1] 17490455
[1 7251461044673145193 7251461044673145193 1] 18208048
[1 8452831939068487505 8452831939068487505 1] 18129936
[1 8452831939068487505 8452831939068487505 1] 18494209
[1 3164354599415269570 3164354599415269570 1] 16861061
[1 2648671423490380152 2648671423490380152 1] 19859147
[1 5517005557862574638 5517005557862574638 1] 20629986
[1 8452831939068487505 8452831939068487505 2] 20228662
[1 8452831939068487505 8452831939068487505 1] 19849063
[1 8452831939068487505 8452831939068487505 1] 21612233
[1 8452831939068487505 8452831939068487505 1] 21101806
[1 2401628121101174705 2401628121101174705 1] 21144069
[1 8452831939068487505 8452831939068487505 2] 21911602
[1 1081989871227714263 1081989871227714263 1] 20235272
[1 8176449781432285355 8176449781432285355 1] 18718139
[1 6018484118070796590 6018484118070796590 1] 22225917
