**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 5093797
[1 734592446513182065 734592446513182065 2] 4731802
[1 144573006434803742 144573006434803742 1] 5872187
[1 2362446847867864768 2362446847867864768 1] 5407823
[1 2793302479550237922 2793302479550237922 1] 5504949
[1 7579227685816234595 7579227685816234595 3] 7337914
[1 4402948556259363451 4402948556259363451 1] 7858671
[1 734592446513182065 734592446513182065 2] 7517701
[1 775798024421069700 775798024421069700 1] 6122907
[1 1511323233739817806 1511323233739817806 1] 8644232
[1 734592446513182065 734592446513182065 1] 9425946
[1 4325101186680591916 4325101186680591916 1] 11268140
[1 2362446847867864768 2362446847867864768 1] 10621874
[1 7413609510133063015 7413609510133063015 1] 9477232
[1 194901708358462687 194901708358462687 1] 10440288
[1 4539981729959298355 4539981729959298355 1] 11096831
[1 8813438948783652661 8813438948783652661 1] 14632154
[1 2362446847867864768 2362446847867864768 1] 12919116
[1 6481588027008507250 6481588027008507250 1] 11745037
[1 65281072076987413 65281072076987413 1] 14507420
[1 2423815736635418286 2423815736635418286 1] 14268318
[1 6427445919344566720 6427445919344566720 1] 16466991
[1 5546712864438187884 5546712864438187884 2] 14531196
[1 1504946346371376639 1504946346371376639 2] 14729907
[1 3826047074646187463 3826047074646187463 1] 17308779
[1 2423815736635418286 2423815736635418286 1] 17041343
[1 3118897387058355560 3118897387058355560 2] 17072456
[1 9063614686281648555 9063614686281648555 1] 18448802
[1 7457640055946008668 7457640055946008668 1] 19244058
[1 6224901217148171972 6224901217148171972 1] 19573546
[1 2404287123253513670 2404287123253513670 1] 19541548
[1 7120628415427462898 7120628415427462898 1] 21313240
[1 2534080848504833637 2534080848504833637 3] 20920842
[1 6184224123268371659 6184224123268371659 5] 21981871
[1 65281072076987413 65281072076987413 1] 23381555
[1 7056397236067230492 7056397236067230492 3] 21791999
[1 4881638827078685502 4881638827078685502 2] 21840947
[1 5082294164254468326 5082294164254468326 1] 24990618
[1 4475106793237928676 4475106793237928676 1] 23148392
[1 3604631005327317358 3604631005327317358 1] 25360916
[1 3152585022778420104 3152585022778420104 3] 25154531
[1 8813438948783652661 8813438948783652661 1] 26460720
[1 2024667237626825566 2024667237626825566 1] 26396288
[1 5853151758892767402 5853151758892767402 2] 26131438
[1 1755710550109762647 1755710550109762647 1] 26086667
[1 543933806449348227 543933806449348227 3] 26186979
[1 2362446847867864768 2362446847867864768 1] 28641369
[1 6481617086072149703 6481617086072149703 1] 26527177
[1 1867263731343969693 1867263731343969693 1] 27166430
[1 6224901217148171972 6224901217148171972 1] 30268542
[1 8469120784247382523 8469120784247382523 2] 27067469
[1 194901708358462687 194901708358462687 1] 29061096
[1 3826047074646187463 3826047074646187463 1] 30310349
[1 8412094805934371413 8412094805934371413 1] 28182217
[1 4238356272867122178 4238356272867122178 1] 27290617
[1 3322115445419574041 3322115445419574041 1] 27819568
[1 3990301012644747093 3990301012644747093 1] 30337521
