**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2809187
[1 6488461302691448296 6488461302691448296 1] 4339559
[1 9057165912191784911 9057165912191784911 1] 472
[1 7681445200113414176 7681445200113414176 1] 5716436
[1 9057165912191784911 9057165912191784911 1] 509
[1 6685923574978999215 6685923574978999215 1] 4540363
[1 6488461302691448296 6488461302691448296 1] 621
[1 1990676820339791773 1990676820339791773 1] 6270230
[1 1587860973498482729 1587860973498482729 1] 5604850
[1 5946276162731559111 5946276162731559111 2] 3593659
[1 7616638341155698441 7616638341155698441 2] 5613525
[1 9057165912191784911 9057165912191784911 1] 542
[1 5245439083908774251 5245439083908774251 2] 6118549
[1 6023283311097976846 6023283311097976846 3] 7950391
[1 6957445936109150678 6957445936109150678 1] 4317150
[1 9057165912191784911 9057165912191784911 1] 633
[1 2148517718796434096 2148517718796434096 1] 7772659
[1 7583167364354317389 7583167364354317389 1] 6386415
[1 1214256030844900062 1214256030844900062 1] 6538584
[1 8397693939726633757 8397693939726633757 3] 8179655
[1 252049887289774605 252049887289774605 1] 4495065
[1 6023283311097976846 6023283311097976846 1] 1062
[1 1410469310589474675 1410469310589474675 1] 6046634
[1 3750374287645824302 3750374287645824302 2] 8697348
[1 2744697425919251717 2744697425919251717 2] 6628973
[1 5161718391645202190 5161718391645202190 1] 9880901
[1 5897693816321261925 5897693816321261925 1] 6976792
[1 3094488955166861915 3094488955166861915 1] 8867277
[1 741339643387758460 741339643387758460 1] 5860576
[1 1613346174718908726 1613346174718908726 1] 6110684
[1 4427489698557970739 4427489698557970739 1] 9585122
[1 6439500474696603189 6439500474696603189 1] 7869233
[1 4950749919375495834 4950749919375495834 2] 11514500
[1 252049887289774605 252049887289774605 2] 625
[1 2744697425919251717 2744697425919251717 1] 624
[1 4372686792761235256 4372686792761235256 1] 8750368
[1 3094488955166861915 3094488955166861915 1] 10134648
[1 4950749919375495834 4950749919375495834 1] 11468946
[1 8853005861790132521 8853005861790132521 1] 10778663
[1 3548854057181795740 3548854057181795740 1] 8908768
[1 8397693939726633757 8397693939726633757 1] 510
[1 8003898064877407765 8003898064877407765 1] 8698597
[1 5402260543088376015 5402260543088376015 1] 9542992
[1 4275078077508723083 4275078077508723083 1] 12048815
[1 3062903259356535742 3062903259356535742 1] 13079973
[1 7616638341155698441 7616638341155698441 1] 627
[1 4531492923819664620 4531492923819664620 1] 10087647
[1 3864748567228467764 3864748567228467764 1] 12669415
[1 2422630752754597585 2422630752754597585 1] 11665724
[1 5778657392964895214 5778657392964895214 1] 11715046
[1 1786196876115952481 1786196876115952481 1] 12865690
[1 1245987228388785965 1245987228388785965 1] 12309604
[1 9057165912191784911 9057165912191784911 1] 523
[1 8853005861790132521 8853005861790132521 1] 622
[1 8776694636489796844 8776694636489796844 1] 11665927
[1 1205320352397806369 1205320352397806369 2] 12487670
[1 3411313239124880777 3411313239124880777 1] 10952418
