**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1043160
[1 8450407967963833808 8450407967963833808 1] 935444
[1 8450407967963833808 8450407967963833808 1] 526
[1 3698059312795779809 3698059312795779809 1] 4113101
[1 150346236973131253 150346236973131253 1] 4530173
[1 4403210617944963238 4403210617944963238 3] 5038424
[1 4730966302951168844 4730966302951168844 1] 5286855
[1 1822089775280894195 1822089775280894195 1] 6002914
[1 4851450802694101754 4851450802694101754 2] 8190220
[1 8450407967963833808 8450407967963833808 2] 2377
[1 4858364911245529076 4858364911245529076 1] 9753296
[1 4835695806979482836 4835695806979482836 1] 10421838
[1 3250854464569619465 3250854464569619465 2] 11492824
[1 3217969341489499266 3217969341489499266 1] 13014785
[1 4978410431728192639 4978410431728192639 1] 14335476
[1 2197744667374574532 2197744667374574532 1] 15262093
[1 4903203917271735144 4903203917271735144 2] 15501999
[1 3046822243766327021 3046822243766327021 1] 15262022
[1 6649611678475825109 6649611678475825109 1] 17858426
[1 8821862535204312300 8821862535204312300 1] 18105189
[1 6344401509648144738 6344401509648144738 2] 20547276
[1 8821862535204312300 8821862535204312300 1] 20712535
[1 2547815149972623845 2547815149972623845 2] 20744896
[1 8522117110820751872 8522117110820751872 2] 21314716
[1 4450190829065881268 4450190829065881268 1] 23093736
[1 951586254236631086 951586254236631086 3] 23438081
[1 2713150456512491041 2713150456512491041 1] 23865876
[1 8623889621384620406 8623889621384620406 1] 25035093
[1 687416080485209988 687416080485209988 1] 25201515
[1 721564148080595287 721564148080595287 2] 25092228
[1 6752878145220998165 6752878145220998165 1] 27243555
[1 5287931004520922900 5287931004520922900 8] 26913839
[1 8029313043586665474 8029313043586665474 1] 27189071
[1 5897962221956995512 5897962221956995512 1] 28849698
[1 1663640511426390422 1663640511426390422 2] 29396687
[1 2214184573454476602 2214184573454476602 3] 30053777
[1 5321619225005942614 5321619225005942614 1] 29291528
[1 3312070181901919651 3312070181901919651 1] 30887751
[1 3217969341489499266 3217969341489499266 1] 31702518
[1 951586254236631086 951586254236631086 2] 32095488
[1 9033685357592327863 9033685357592327863 1] 33193596
[1 919017376376659804 919017376376659804 4] 34340545
[1 5992489245535112493 5992489245535112493 1] 34403152
[1 4586400317966310758 4586400317966310758 1] 35104108
[1 2922583494542665610 2922583494542665610 1] 34910239
[1 2062866308282685264 2062866308282685264 1] 37397569
[1 5036946906818305099 5036946906818305099 1] 39226675
[1 8709797118651319570 8709797118651319570 1] 39337393
[1 6215967033411041611 6215967033411041611 1] 40370471
[1 5784510510427390044 5784510510427390044 1] 40286661
[1 3250854464569619465 3250854464569619465 1] 41387185
[1 808369788346465354 808369788346465354 1] 41563040
[1 6230166267992281283 6230166267992281283 1] 42476304
[1 1683779944783161779 1683779944783161779 1] 42996984
[1 9033685357592327863 9033685357592327863 1] 42879096
[1 1026336552757573535 1026336552757573535 1] 44685727
[1 2663504857693781241 2663504857693781241 1] 45750534
