**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 8452831939068487505 8452831939068487505 1] 4028937
[1 8452831939068487505 8452831939068487505 1] 627
[1 8452831939068487505 8452831939068487505 1] 4037504
[1 8452831939068487505 8452831939068487505 2] 498
[1 8452831939068487505 8452831939068487505 2] 4056762
[1 3164354599415269570 3164354599415269570 1] 2714105
[1 8452831939068487505 8452831939068487505 1] 4023011
[1 8452831939068487505 8452831939068487505 2] 678
[1 8452831939068487505 8452831939068487505 2] 616
[1 8452831939068487505 8452831939068487505 1] 459
[1 8452831939068487505 8452831939068487505 1] 5676227
[1 8452831939068487505 8452831939068487505 1] 651
[1 6018484118070796590 6018484118070796590 2] 3144897
[1 8452831939068487505 8452831939068487505 3] 686
[1 8452831939068487505 8452831939068487505 1] 5637286
[1 8452831939068487505 8452831939068487505 1] 661
[1 2648671423490380152 2648671423490380152 4] 3849502
[1 8452831939068487505 8452831939068487505 1] 705
[1 8452831939068487505 8452831939068487505 2] 778
[1 8452831939068487505 8452831939068487505 1] 737
[1 6018484118070796590 6018484118070796590 1] 782
[1 2839377681581139099 2839377681581139099 1] 3900485
[1 6018484118070796590 6018484118070796590 2] 696
[1 6018484118070796590 6018484118070796590 1] 455
[1 8452831939068487505 8452831939068487505 1] 584
[1 2839377681581139099 2839377681581139099 1] 4012866
[1 8452831939068487505 8452831939068487505 1] 618
[1 2893678142209256634 2893678142209256634 1] 3090596
[1 8452831939068487505 8452831939068487505 1] 621
[1 925339878428457028 925339878428457028 1] 4781122
[1 8452831939068487505 8452831939068487505 1] 667
[1 2893678142209256634 2893678142209256634 1] 3155295
[1 8452831939068487505 8452831939068487505 1] 598
[1 2893678142209256634 2893678142209256634 1] 2965852
[1 8452831939068487505 8452831939068487505 4] 742
[1 6018484118070796590 6018484118070796590 1] 718
[1 6730605893706737486 6730605893706737486 2] 1138199
[1 8452831939068487505 8452831939068487505 1] 813
[1 925339878428457028 925339878428457028 1] 714
[1 2839377681581139099 2839377681581139099 1] 808
[1 925339878428457028 925339878428457028 1] 771
[1 8452831939068487505 8452831939068487505 1] 770
[1 8452831939068487505 8452831939068487505 1] 803
[1 2648671423490380152 2648671423490380152 1] 730
[1 3164354599415269570 3164354599415269570 1] 722
[1 8452831939068487505 8452831939068487505 2] 687
[1 7251461044673145193 7251461044673145193 1] 3916017
[1 8452831939068487505 8452831939068487505 1] 723
[1 8452831939068487505 8452831939068487505 1] 711
[1 8452831939068487505 8452831939068487505 1] 753
[1 8452831939068487505 8452831939068487505 2] 731
[1 5517005557862574638 5517005557862574638 1] 5231480
[1 6018484118070796590 6018484118070796590 1] 700
[1 8452831939068487505 8452831939068487505 1] 683
[1 6018484118070796590 6018484118070796590 1] 1403
[1 1081989871227714263 1081989871227714263 1] 1415093
[1 8176449781432285355 8176449781432285355 1] 303585
[1 2401628121101174705 2401628121101174705 1] 3502749
[1 8452831939068487505 8452831939068487505 1] 635
