**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4813570
[1 734592446513182065 734592446513182065 2] 4393939
[1 734592446513182065 734592446513182065 1] 557
[1 144573006434803742 144573006434803742 1] 5429530
[1 2362446847867864768 2362446847867864768 1] 5203449
[1 2362446847867864768 2362446847867864768 1] 616
[1 2793302479550237922 2793302479550237922 1] 5294066
[1 7579227685816234595 7579227685816234595 3] 6900834
[1 4402948556259363451 4402948556259363451 1] 7292663
[1 775798024421069700 775798024421069700 1] 4693234
[1 2362446847867864768 2362446847867864768 1] 470
[1 734592446513182065 734592446513182065 2] 7405714
[1 1511323233739817806 1511323233739817806 1] 8330374
[1 7413609510133063015 7413609510133063015 1] 4682725
[1 4325101186680591916 4325101186680591916 1] 9523695
[1 194901708358462687 194901708358462687 1] 7846392
[1 4539981729959298355 4539981729959298355 1] 9170596
[1 2534080848504833637 2534080848504833637 3] 1047
[1 8813438948783652661 8813438948783652661 1] 10389405
[1 6481588027008507250 6481588027008507250 1] 7404909
[1 6427445919344566720 6427445919344566720 1] 9049840
[1 65281072076987413 65281072076987413 1] 11263596
[1 2423815736635418286 2423815736635418286 1] 11455760
[1 8813438948783652661 8813438948783652661 1] 766
[1 1504946346371376639 1504946346371376639 2] 8534551
[1 5546712864438187884 5546712864438187884 2] 10801143
[1 3826047074646187463 3826047074646187463 1] 12547448
[1 2362446847867864768 2362446847867864768 1] 628
[1 2423815736635418286 2423815736635418286 1] 13084834
[1 3118897387058355560 3118897387058355560 2] 11612495
[1 3826047074646187463 3826047074646187463 1] 633
[1 194901708358462687 194901708358462687 1] 1021
[1 9063614686281648555 9063614686281648555 1] 13621804
[1 7457640055946008668 7457640055946008668 1] 14116146
[1 2404287123253513670 2404287123253513670 1] 13176696
[1 6224901217148171972 6224901217148171972 1] 15190752
[1 7120628415427462898 7120628415427462898 1] 15598347
[1 6184224123268371659 6184224123268371659 5] 15475326
[1 5546712864438187884 5546712864438187884 1] 495
[1 65281072076987413 65281072076987413 1] 17160231
[1 4881638827078685502 4881638827078685502 2] 15189730
[1 7056397236067230492 7056397236067230492 3] 15882901
[1 5082294164254468326 5082294164254468326 1] 17984630
[1 4475106793237928676 4475106793237928676 1] 16330009
[1 3152585022778420104 3152585022778420104 3] 16738748
[1 3604631005327317358 3604631005327317358 1] 19005296
[1 2024667237626825566 2024667237626825566 1] 18049288
[1 5853151758892767402 5853151758892767402 2] 18124289
[1 1755710550109762647 1755710550109762647 1] 17499081
[1 6481617086072149703 6481617086072149703 1] 15373404
[1 543933806449348227 543933806449348227 3] 17305991
[1 1867263731343969693 1867263731343969693 1] 15096670
[1 8469120784247382523 8469120784247382523 2] 14629644
[1 6224901217148171972 6224901217148171972 1] 20085732
[1 8412094805934371413 8412094805934371413 1] 15483863
[1 4238356272867122178 4238356272867122178 1] 14572569
[1 3322115445419574041 3322115445419574041 1] 15025527
