server, testtype, score
noCache, con, 22909972
noCache, con, 22842520
noCache, con, 23533423
noCache, delay, 52880203
noCache, delay, 51874597
noCache, delay, 53335111
noCache, rep, 28882488
noCache, rep, 27200540
noCache, rep, 27165007
noCache, total, 79912479
noCache, total, 77689058
noCache, total, 80813303
Cache, con, 12712543
Cache, con, 13075440
Cache, con, 12812766
Cache, delay, 50477383
Cache, delay, 50603076
Cache, delay, 49877537
Cache, rep, 1139775
Cache, rep, 1146098
Cache, rep, 1129454
Cache, total, 31423146
Cache, total, 30633574
Cache, total, 30816289
