**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2719862
[1 6488461302691448296 6488461302691448296 1] 4290211
[1 7681445200113414176 7681445200113414176 1] 5647188
[1 6685923574978999215 6685923574978999215 1] 4312694
[1 1990676820339791773 1990676820339791773 1] 6186359
[1 1587860973498482729 1587860973498482729 1] 5492596
[1 7616638341155698441 7616638341155698441 2] 5680249
[1 5946276162731559111 5946276162731559111 2] 4101438
[1 9057165912191784911 9057165912191784911 1] 5815559
[1 6023283311097976846 6023283311097976846 3] 7751164
[1 9057165912191784911 9057165912191784911 1] 5605951
[1 5245439083908774251 5245439083908774251 2] 6861364
[1 6957445936109150678 6957445936109150678 1] 7425251
[1 6488461302691448296 6488461302691448296 1] 8192584
[1 2148517718796434096 2148517718796434096 1] 9528886
[1 8397693939726633757 8397693939726633757 3] 8919288
[1 9057165912191784911 9057165912191784911 1] 8563674
[1 7583167364354317389 7583167364354317389 1] 10198927
[1 1214256030844900062 1214256030844900062 1] 9771143
[1 252049887289774605 252049887289774605 1] 7320092
[1 1410469310589474675 1410469310589474675 1] 9236947
[1 3750374287645824302 3750374287645824302 2] 11840060
[1 9057165912191784911 9057165912191784911 1] 10064392
[1 5161718391645202190 5161718391645202190 1] 13325031
[1 3094488955166861915 3094488955166861915 1] 11567958
[1 2744697425919251717 2744697425919251717 2] 11197499
[1 741339643387758460 741339643387758460 1] 9449684
[1 5897693816321261925 5897693816321261925 1] 11387190
[1 1613346174718908726 1613346174718908726 1] 10446607
[1 4427489698557970739 4427489698557970739 1] 13286911
[1 4950749919375495834 4950749919375495834 2] 14917683
[1 6023283311097976846 6023283311097976846 1] 14069670
[1 6439500474696603189 6439500474696603189 1] 13679349
[1 4372686792761235256 4372686792761235256 1] 13397097
[1 4950749919375495834 4950749919375495834 1] 16257335
[1 3094488955166861915 3094488955166861915 1] 16135097
[1 8853005861790132521 8853005861790132521 1] 15938863
[1 3548854057181795740 3548854057181795740 1] 14143880
[1 8003898064877407765 8003898064877407765 1] 13906607
[1 5402260543088376015 5402260543088376015 1] 14801610
[1 3062903259356535742 3062903259356535742 1] 17869280
[1 4275078077508723083 4275078077508723083 1] 17642259
[1 4531492923819664620 4531492923819664620 1] 15225787
[1 3864748567228467764 3864748567228467764 1] 17760347
[1 2422630752754597585 2422630752754597585 1] 16897548
[1 252049887289774605 252049887289774605 2] 14432631
[1 5778657392964895214 5778657392964895214 1] 17016358
[1 1245987228388785965 1245987228388785965 1] 17323740
[1 1786196876115952481 1786196876115952481 1] 18073165
[1 2744697425919251717 2744697425919251717 1] 16855097
[1 1205320352397806369 1205320352397806369 2] 18658061
[1 8776694636489796844 8776694636489796844 1] 19127555
[1 4796064343467574261 4796064343467574261 1] 18856821
[1 8794092972714353467 8794092972714353467 1] 19286743
[1 3411313239124880777 3411313239124880777 1] 18647930
[1 7972247085080092905 7972247085080092905 1] 18511726
