**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1077465
[1 8450407967963833808 8450407967963833808 1] 977293
[1 3698059312795779809 3698059312795779809 1] 4138454
[1 150346236973131253 150346236973131253 1] 4450022
[1 4403210617944963238 4403210617944963238 3] 4960564
[1 1822089775280894195 1822089775280894195 1] 5787063
[1 4730966302951168844 4730966302951168844 1] 5323288
[1 4851450802694101754 4851450802694101754 2] 8025209
[1 4858364911245529076 4858364911245529076 1] 9656456
[1 4835695806979482836 4835695806979482836 1] 10379765
[1 3250854464569619465 3250854464569619465 2] 11359739
[1 3217969341489499266 3217969341489499266 1] 12937037
[1 4978410431728192639 4978410431728192639 1] 14356697
[1 2197744667374574532 2197744667374574532 1] 15195239
[1 4903203917271735144 4903203917271735144 2] 15409297
[1 3046822243766327021 3046822243766327021 1] 15255436
[1 6649611678475825109 6649611678475825109 1] 18042425
[1 8821862535204312300 8821862535204312300 1] 18108286
[1 8450407967963833808 8450407967963833808 1] 18679229
[1 6344401509648144738 6344401509648144738 2] 20949097
[1 8522117110820751872 8522117110820751872 2] 21522174
[1 2547815149972623845 2547815149972623845 2] 21190482
[1 8821862535204312300 8821862535204312300 1] 21609138
[1 4450190829065881268 4450190829065881268 1] 23368843
[1 951586254236631086 951586254236631086 3] 23951528
[1 2713150456512491041 2713150456512491041 1] 24439954
[1 8623889621384620406 8623889621384620406 1] 25602426
[1 687416080485209988 687416080485209988 1] 25819365
[1 721564148080595287 721564148080595287 2] 25726252
[1 6752878145220998165 6752878145220998165 1] 27702085
[1 5287931004520922900 5287931004520922900 8] 27588847
[1 8029313043586665474 8029313043586665474 1] 27909745
[1 5897962221956995512 5897962221956995512 1] 29576301
[1 2214184573454476602 2214184573454476602 3] 30782356
[1 1663640511426390422 1663640511426390422 2] 30180548
[1 5321619225005942614 5321619225005942614 1] 30004597
[1 3312070181901919651 3312070181901919651 1] 31664471
[1 3217969341489499266 3217969341489499266 1] 32281799
[1 951586254236631086 951586254236631086 2] 32750389
[1 9033685357592327863 9033685357592327863 1] 34046122
[1 919017376376659804 919017376376659804 4] 35037278
[1 5992489245535112493 5992489245535112493 1] 35044693
[1 4586400317966310758 4586400317966310758 1] 35850621
[1 2922583494542665610 2922583494542665610 1] 35890729
[1 2062866308282685264 2062866308282685264 1] 37944257
[1 5036946906818305099 5036946906818305099 1] 39800105
[1 8709797118651319570 8709797118651319570 1] 40014714
[1 6215967033411041611 6215967033411041611 1] 41063234
[1 5784510510427390044 5784510510427390044 1] 40978910
[1 3250854464569619465 3250854464569619465 1] 42328125
[1 6230166267992281283 6230166267992281283 1] 42897249
[1 808369788346465354 808369788346465354 1] 42490238
[1 1683779944783161779 1683779944783161779 1] 43548349
[1 9033685357592327863 9033685357592327863 1] 43696282
[1 1026336552757573535 1026336552757573535 1] 45331445
[1 2663504857693781241 2663504857693781241 1] 46324925
[1 9079148035812006600 9079148035812006600 1] 47570846
