**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 80
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 8452831939068487505 8452831939068487505 1] 4122424
[1 8452831939068487505 8452831939068487505 1] 4174169
[1 8452831939068487505 8452831939068487505 2] 4276985
[1 3164354599415269570 3164354599415269570 1] 2966025
[1 8452831939068487505 8452831939068487505 1] 4398634
[1 8452831939068487505 8452831939068487505 1] 6080753
[1 8452831939068487505 8452831939068487505 1] 6165060
[1 8452831939068487505 8452831939068487505 1] 5967446
[1 8452831939068487505 8452831939068487505 2] 5687653
[1 6018484118070796590 6018484118070796590 2] 6034503
[1 8452831939068487505 8452831939068487505 2] 8046876
[1 2648671423490380152 2648671423490380152 4] 7725814
[1 8452831939068487505 8452831939068487505 2] 7662452
[1 8452831939068487505 8452831939068487505 1] 8149043
[1 8452831939068487505 8452831939068487505 1] 9926881
[1 8452831939068487505 8452831939068487505 3] 9564001
[1 2839377681581139099 2839377681581139099 1] 9520579
[1 8452831939068487505 8452831939068487505 1] 9991889
[1 8452831939068487505 8452831939068487505 1] 11572416
[1 8452831939068487505 8452831939068487505 2] 11123193
[1 8452831939068487505 8452831939068487505 1] 11142728
[1 6018484118070796590 6018484118070796590 1] 10557766
[1 6018484118070796590 6018484118070796590 2] 11580056
[1 2893678142209256634 2893678142209256634 1] 11264965
[1 2839377681581139099 2839377681581139099 1] 13254279
[1 925339878428457028 925339878428457028 1] 13442434
[1 6018484118070796590 6018484118070796590 1] 12614523
[1 2893678142209256634 2893678142209256634 1] 13132216
[1 8452831939068487505 8452831939068487505 1] 13704994
[1 2893678142209256634 2893678142209256634 1] 13414690
[1 8452831939068487505 8452831939068487505 1] 14216204
[1 8452831939068487505 8452831939068487505 1] 14821716
[1 8452831939068487505 8452831939068487505 1] 15352461
[1 6730605893706737486 6730605893706737486 2] 13649360
[1 8452831939068487505 8452831939068487505 1] 15097838
[1 8452831939068487505 8452831939068487505 4] 15954900
[1 6018484118070796590 6018484118070796590 1] 16009120
[1 8452831939068487505 8452831939068487505 1] 16736941
[1 925339878428457028 925339878428457028 1] 16934472
[1 2839377681581139099 2839377681581139099 1] 16992474
[1 925339878428457028 925339878428457028 1] 18255800
[1 7251461044673145193 7251461044673145193 1] 18630971
[1 8452831939068487505 8452831939068487505 1] 18633148
[1 8452831939068487505 8452831939068487505 1] 18630234
[1 3164354599415269570 3164354599415269570 1] 17324414
[1 2648671423490380152 2648671423490380152 1] 20200103
[1 5517005557862574638 5517005557862574638 1] 21329401
[1 8452831939068487505 8452831939068487505 2] 20255515
[1 8452831939068487505 8452831939068487505 1] 20295037
[1 8452831939068487505 8452831939068487505 1] 22003078
[1 8452831939068487505 8452831939068487505 1] 21837958
[1 8452831939068487505 8452831939068487505 2] 21885111
[1 2401628121101174705 2401628121101174705 1] 21597676
[1 1081989871227714263 1081989871227714263 1] 20953276
[1 8176449781432285355 8176449781432285355 1] 19459288
[1 6018484118070796590 6018484118070796590 1] 22604206
