**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4815919
[1 734592446513182065 734592446513182065 2] 4404919
[1 144573006434803742 144573006434803742 1] 5497777
[1 2362446847867864768 2362446847867864768 1] 5332062
[1 2793302479550237922 2793302479550237922 1] 5281274
[1 7579227685816234595 7579227685816234595 3] 6943956
[1 4402948556259363451 4402948556259363451 1] 7285257
[1 734592446513182065 734592446513182065 2] 7217062
[1 775798024421069700 775798024421069700 1] 5815957
[1 1511323233739817806 1511323233739817806 1] 8364007
[1 734592446513182065 734592446513182065 1] 8876996
[1 4325101186680591916 4325101186680591916 1] 10607840
[1 2362446847867864768 2362446847867864768 1] 10533893
[1 7413609510133063015 7413609510133063015 1] 8821100
[1 194901708358462687 194901708358462687 1] 10101552
[1 4539981729959298355 4539981729959298355 1] 10827646
[1 65281072076987413 65281072076987413 1] 13495252
[1 2362446847867864768 2362446847867864768 1] 12466065
[1 6481588027008507250 6481588027008507250 1] 11284638
[1 8813438948783652661 8813438948783652661 1] 14492482
[1 2423815736635418286 2423815736635418286 1] 13653042
[1 6427445919344566720 6427445919344566720 1] 15726431
[1 5546712864438187884 5546712864438187884 2] 13778697
[1 1504946346371376639 1504946346371376639 2] 13948426
[1 3826047074646187463 3826047074646187463 1] 16608510
[1 2423815736635418286 2423815736635418286 1] 16247848
[1 3118897387058355560 3118897387058355560 2] 16328922
[1 9063614686281648555 9063614686281648555 1] 17399557
[1 7457640055946008668 7457640055946008668 1] 18263476
[1 6224901217148171972 6224901217148171972 1] 18484206
[1 2404287123253513670 2404287123253513670 1] 18523048
[1 2534080848504833637 2534080848504833637 3] 19701307
[1 7120628415427462898 7120628415427462898 1] 20305608
[1 6184224123268371659 6184224123268371659 5] 20884006
[1 65281072076987413 65281072076987413 1] 22101372
[1 7056397236067230492 7056397236067230492 3] 20481711
[1 4881638827078685502 4881638827078685502 2] 20622752
[1 5082294164254468326 5082294164254468326 1] 23636590
[1 4475106793237928676 4475106793237928676 1] 21834328
[1 3604631005327317358 3604631005327317358 1] 23847242
[1 3152585022778420104 3152585022778420104 3] 23694323
[1 8813438948783652661 8813438948783652661 1] 25001637
[1 2024667237626825566 2024667237626825566 1] 25031126
[1 5853151758892767402 5853151758892767402 2] 24559132
[1 1755710550109762647 1755710550109762647 1] 24513399
[1 543933806449348227 543933806449348227 3] 24579594
[1 2362446847867864768 2362446847867864768 1] 27095491
[1 6481617086072149703 6481617086072149703 1] 25016624
[1 1867263731343969693 1867263731343969693 1] 25684714
[1 6224901217148171972 6224901217148171972 1] 28820531
[1 8469120784247382523 8469120784247382523 2] 25545306
[1 194901708358462687 194901708358462687 1] 27422060
[1 3826047074646187463 3826047074646187463 1] 28660143
[1 8412094805934371413 8412094805934371413 1] 26469709
[1 4238356272867122178 4238356272867122178 1] 25597440
[1 3322115445419574041 3322115445419574041 1] 26095206
[1 3990301012644747093 3990301012644747093 1] 28694017
