**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 1569772
[1 734592446513182065 734592446513182065 2] 2207091
[1 144573006434803742 144573006434803742 1] 2226196
[1 2362446847867864768 2362446847867864768 1] 1801695
[1 734592446513182065 734592446513182065 2] 544
[1 2793302479550237922 2793302479550237922 1] 2458159
[1 734592446513182065 734592446513182065 1] 1031
[1 7579227685816234595 7579227685816234595 3] 3484055
[1 2362446847867864768 2362446847867864768 1] 1020
[1 4402948556259363451 4402948556259363451 1] 3880144
[1 1511323233739817806 1511323233739817806 1] 3812703
[1 4325101186680591916 4325101186680591916 1] 2734935
[1 775798024421069700 775798024421069700 1] 2535009
[1 4539981729959298355 4539981729959298355 1] 2158638
[1 194901708358462687 194901708358462687 1] 2263097
[1 2362446847867864768 2362446847867864768 1] 490
[1 7413609510133063015 7413609510133063015 1] 2878284
[1 8813438948783652661 8813438948783652661 1] 3641163
[1 65281072076987413 65281072076987413 1] 4167734
[1 2423815736635418286 2423815736635418286 1] 4613677
[1 6427445919344566720 6427445919344566720 1] 4271311
[1 6481588027008507250 6481588027008507250 1] 3689622
[1 3826047074646187463 3826047074646187463 1] 4002442
[1 2423815736635418286 2423815736635418286 1] 4490137
[1 2534080848504833637 2534080848504833637 3] 497
[1 5546712864438187884 5546712864438187884 2] 4387309
[1 65281072076987413 65281072076987413 1] 630
[1 1504946346371376639 1504946346371376639 2] 5021393
[1 3118897387058355560 3118897387058355560 2] 4874699
[1 9063614686281648555 9063614686281648555 1] 5737496
[1 7457640055946008668 7457640055946008668 1] 5480808
[1 6224901217148171972 6224901217148171972 1] 5865290
[1 8813438948783652661 8813438948783652661 1] 624
[1 7120628415427462898 7120628415427462898 1] 6725594
[1 2404287123253513670 2404287123253513670 1] 6459314
[1 6184224123268371659 6184224123268371659 5] 5447093
[1 2362446847867864768 2362446847867864768 1] 600
[1 5082294164254468326 5082294164254468326 1] 6396901
[1 6224901217148171972 6224901217148171972 1] 1064
[1 7056397236067230492 7056397236067230492 3] 6298775
[1 3826047074646187463 3826047074646187463 1] 642
[1 194901708358462687 194901708358462687 1] 523
[1 4881638827078685502 4881638827078685502 2] 7235899
[1 3604631005327317358 3604631005327317358 1] 8140247
[1 4475106793237928676 4475106793237928676 1] 8211595
[1 3152585022778420104 3152585022778420104 3] 8007336
[1 2024667237626825566 2024667237626825566 1] 8407401
[1 5853151758892767402 5853151758892767402 2] 8177074
[1 1755710550109762647 1755710550109762647 1] 8505139
[1 543933806449348227 543933806449348227 3] 8014610
[1 5546712864438187884 5546712864438187884 1] 565
[1 6481617086072149703 6481617086072149703 1] 7742407
[1 1867263731343969693 1867263731343969693 1] 8359886
[1 8469120784247382523 8469120784247382523 2] 8217323
[1 4568262719152854072 4568262719152854072 1] 8202444
[1 3990301012644747093 3990301012644747093 1] 8641755
[1 8412094805934371413 8412094805934371413 1] 8995461
[1 6677788738934613478 6677788738934613478 1] 9307258
