**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 6488461302691448296 6488461302691448296 1] 893784
[1 7681445200113414176 7681445200113414176 1] 855984
[1 9057165912191784911 9057165912191784911 1] 1281945
[1 1990676820339791773 1990676820339791773 1] 1803492
[1 6685923574978999215 6685923574978999215 1] 2382596
[1 9057165912191784911 9057165912191784911 1] 446
[1 1587860973498482729 1587860973498482729 1] 2594100
[1 9057165912191784911 9057165912191784911 1] 4040
[1 7616638341155698441 7616638341155698441 2] 3312434
[1 6023283311097976846 6023283311097976846 3] 3091729
[1 6488461302691448296 6488461302691448296 1] 548
[1 5946276162731559111 5946276162731559111 2] 2870054
[1 5245439083908774251 5245439083908774251 2] 2559314
[1 2148517718796434096 2148517718796434096 1] 2552138
[1 6957445936109150678 6957445936109150678 1] 1651203
[1 8397693939726633757 8397693939726633757 3] 1181860
[1 7583167364354317389 7583167364354317389 1] 1141225
[1 9057165912191784911 9057165912191784911 1] 1053
[1 1214256030844900062 1214256030844900062 1] 1350891
[1 3750374287645824302 3750374287645824302 2] 417898
[1 5161718391645202190 5161718391645202190 1] 997739
[1 1410469310589474675 1410469310589474675 1] 725167
[1 252049887289774605 252049887289774605 1] 659099
[1 9057165912191784911 9057165912191784911 1] 633
[1 3094488955166861915 3094488955166861915 1] 1637053
[1 2744697425919251717 2744697425919251717 2] 1768284
[1 5897693816321261925 5897693816321261925 1] 1979498
[1 6023283311097976846 6023283311097976846 1] 461
[1 4427489698557970739 4427489698557970739 1] 2310228
[1 4950749919375495834 4950749919375495834 2] 3327004
[1 3094488955166861915 3094488955166861915 1] 1010
[1 741339643387758460 741339643387758460 1] 3388574
[1 1613346174718908726 1613346174718908726 1] 2676090
[1 6439500474696603189 6439500474696603189 1] 2669841
[1 4950749919375495834 4950749919375495834 1] 3691797
[1 8853005861790132521 8853005861790132521 1] 4009993
[1 4372686792761235256 4372686792761235256 1] 3868834
[1 3062903259356535742 3062903259356535742 1] 3334960
[1 4275078077508723083 4275078077508723083 1] 3847070
[1 3548854057181795740 3548854057181795740 1] 4325007
[1 8003898064877407765 8003898064877407765 1] 4706148
[1 3864748567228467764 3864748567228467764 1] 4144320
[1 252049887289774605 252049887289774605 2] 556
[1 5402260543088376015 5402260543088376015 1] 4049168
[1 2744697425919251717 2744697425919251717 1] 441
[1 2422630752754597585 2422630752754597585 1] 4676034
[1 5778657392964895214 5778657392964895214 1] 4157970
[1 4531492923819664620 4531492923819664620 1] 3734467
[1 1786196876115952481 1786196876115952481 1] 3315659
[1 8397693939726633757 8397693939726633757 1] 486
[1 1245987228388785965 1245987228388785965 1] 4302142
[1 1205320352397806369 1205320352397806369 2] 2726598
[1 8776694636489796844 8776694636489796844 1] 3205821
[1 4796064343467574261 4796064343467574261 1] 3666387
[1 7616638341155698441 7616638341155698441 1] 1012
[1 8794092972714353467 8794092972714353467 1] 4584743
[1 2530807118341480172 2530807118341480172 2] 4867876
