**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1166718
[1 1822089775280894195 1822089775280894195 1] 1991508
[1 4403210617944963238 4403210617944963238 3] 1894816
[1 8450407967963833808 8450407967963833808 1] 2760910
[1 150346236973131253 150346236973131253 1] 3090708
[1 3698059312795779809 3698059312795779809 1] 3028551
[1 4730966302951168844 4730966302951168844 1] 4216605
[1 4835695806979482836 4835695806979482836 1] 5426267
[1 4858364911245529076 4858364911245529076 1] 5765717
[1 3250854464569619465 3250854464569619465 2] 7247419
[1 8450407967963833808 8450407967963833808 2] 490
[1 4851450802694101754 4851450802694101754 2] 8602006
[1 3217969341489499266 3217969341489499266 1] 8586453
[1 2197744667374574532 2197744667374574532 1] 9568613
[1 4978410431728192639 4978410431728192639 1] 10696216
[1 4903203917271735144 4903203917271735144 2] 11890068
[1 6649611678475825109 6649611678475825109 1] 12187122
[1 6344401509648144738 6344401509648144738 2] 13666467
[1 3046822243766327021 3046822243766327021 1] 14091547
[1 8821862535204312300 8821862535204312300 1] 15431265
[1 8522117110820751872 8522117110820751872 2] 16808314
[1 4450190829065881268 4450190829065881268 1] 17446822
[1 8450407967963833808 8450407967963833808 1] 18235465
[1 8821862535204312300 8821862535204312300 1] 19584141
[1 2547815149972623845 2547815149972623845 2] 20393821
[1 951586254236631086 951586254236631086 3] 21531647
[1 8623889621384620406 8623889621384620406 1] 22557025
[1 2713150456512491041 2713150456512491041 1] 24103090
[1 6752878145220998165 6752878145220998165 1] 25605012
[1 687416080485209988 687416080485209988 1] 26156438
[1 2214184573454476602 2214184573454476602 3] 27902009
[1 5897962221956995512 5897962221956995512 1] 28846384
[1 721564148080595287 721564148080595287 2] 28939092
[1 5287931004520922900 5287931004520922900 8] 29158996
[1 3217969341489499266 3217969341489499266 1] 29154311
[1 8029313043586665474 8029313043586665474 1] 29561051
[1 1663640511426390422 1663640511426390422 2] 30158505
[1 3312070181901919651 3312070181901919651 1] 31042884
[1 919017376376659804 919017376376659804 4] 31156520
[1 5321619225005942614 5321619225005942614 1] 31183119
[1 951586254236631086 951586254236631086 2] 32307868
[1 9033685357592327863 9033685357592327863 1] 33312834
[1 4586400317966310758 4586400317966310758 1] 34114847
[1 5992489245535112493 5992489245535112493 1] 35065675
[1 2922583494542665610 2922583494542665610 1] 35339359
[1 2062866308282685264 2062866308282685264 1] 35512298
[1 5036946906818305099 5036946906818305099 1] 35412771
[1 8709797118651319570 8709797118651319570 1] 36497337
[1 3250854464569619465 3250854464569619465 1] 38116100
[1 6230166267992281283 6230166267992281283 1] 38529192
[1 1683779944783161779 1683779944783161779 1] 39301283
[1 6215967033411041611 6215967033411041611 1] 40646216
[1 5784510510427390044 5784510510427390044 1] 40562767
[1 9033685357592327863 9033685357592327863 1] 41603180
[1 808369788346465354 808369788346465354 1] 42276272
[1 1026336552757573535 1026336552757573535 1] 43562438
[1 2663504857693781241 2663504857693781241 1] 44107335
