**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 6465365841824317134 6465365841824317134 1] 1286695
[1 3891912525472319017 3891912525472319017 1] 1014011
[1 9136702578193434504 9136702578193434504 2] 3429230
[1 3524944295492354525 3524944295492354525 1] 4925264
[1 5502909677952130479 5502909677952130479 1] 5723734
[1 8206614736999024242 8206614736999024242 1] 7575916
[1 5948993619004795236 5948993619004795236 2] 7163974
[1 1871270848413250141 1871270848413250141 1] 8270715
[1 2473666473174750345 2473666473174750345 1] 8422469
[1 3524944295492354525 3524944295492354525 1] 9802834
[1 8555152419105676635 8555152419105676635 1] 9269927
[1 6623483670943052193 6623483670943052193 1] 9119322
[1 6028263137173684739 6028263137173684739 1] 11002997
[1 4589168502877517079 4589168502877517079 3] 12168480
[1 3524944295492354525 3524944295492354525 2] 13500729
[1 5254669020296825119 5254669020296825119 1] 15306802
[1 5685768695680428377 5685768695680428377 2] 15208806
[1 5994124056994470692 5994124056994470692 1] 14662055
[1 3305412918947348215 3305412918947348215 1] 14754058
[1 7254539414218470546 7254539414218470546 1] 14457314
[1 1030041856088679904 1030041856088679904 1] 14964748
[1 8046042694701344701 8046042694701344701 1] 16601659
[1 4589168502877517079 4589168502877517079 1] 17816077
[1 2010568517865674772 2010568517865674772 1] 19361041
[1 9136702578193434504 9136702578193434504 1] 21777322
[1 7516372754632857436 7516372754632857436 1] 22650129
[1 700734140822267139 700734140822267139 1] 23782495
[1 7686640157670475335 7686640157670475335 1] 24206147
[1 4380451183062330894 4380451183062330894 1] 26525442
[1 3305412918947348215 3305412918947348215 2] 26611861
[1 700734140822267139 700734140822267139 2] 27734182
[1 532236067607757851 532236067607757851 1] 28529367
[1 6554819255695809775 6554819255695809775 1] 29787649
[1 7230154307701577625 7230154307701577625 1] 30770436
[1 1674204358114357946 1674204358114357946 1] 32220070
[1 3524944295492354525 3524944295492354525 1] 33552435
[1 1275007360331914680 1275007360331914680 1] 33460460
[1 1030041856088679904 1030041856088679904 1] 34038034
[1 8897930618967169584 8897930618967169584 2] 34963089
[1 5948993619004795236 5948993619004795236 1] 34520571
[1 7628049811414017422 7628049811414017422 3] 34141425
[1 1030041856088679904 1030041856088679904 1] 34785283
[1 4589168502877517079 4589168502877517079 1] 36049075
[1 6559584327919863800 6559584327919863800 1] 37071949
[1 6121147791370515209 6121147791370515209 1] 39209832
[1 3022523710936213978 3022523710936213978 2] 39564897
[1 220957617152666889 220957617152666889 1] 38964568
[1 5181958362948808516 5181958362948808516 1] 41187047
[1 4998857766867648190 4998857766867648190 3] 42184955
[1 4380451183062330894 4380451183062330894 1] 44599781
[1 2667979663506019336 2667979663506019336 1] 46143587
[1 306126023181094508 306126023181094508 1] 46462619
[1 5259391866149726936 5259391866149726936 1] 47762426
[1 6873916741629642802 6873916741629642802 1] 50041217
[1 2793781518004704453 2793781518004704453 1] 50787160
[1 3265170934346171580 3265170934346171580 1] 50358922
