**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 1659974
[1 734592446513182065 734592446513182065 2] 2173036
[1 144573006434803742 144573006434803742 1] 2222510
[1 2362446847867864768 2362446847867864768 1] 1816317
[1 734592446513182065 734592446513182065 2] 944
[1 2793302479550237922 2793302479550237922 1] 2500177
[1 734592446513182065 734592446513182065 1] 1080
[1 7579227685816234595 7579227685816234595 3] 3550310
[1 2362446847867864768 2362446847867864768 1] 1015
[1 4402948556259363451 4402948556259363451 1] 3936253
[1 1511323233739817806 1511323233739817806 1] 3859847
[1 4325101186680591916 4325101186680591916 1] 2930206
[1 775798024421069700 775798024421069700 1] 2794174
[1 4539981729959298355 4539981729959298355 1] 2476085
[1 194901708358462687 194901708358462687 1] 2647670
[1 2362446847867864768 2362446847867864768 1] 561
[1 7413609510133063015 7413609510133063015 1] 3258243
[1 8813438948783652661 8813438948783652661 1] 3996577
[1 65281072076987413 65281072076987413 1] 4488405
[1 2423815736635418286 2423815736635418286 1] 4877927
[1 6427445919344566720 6427445919344566720 1] 4544969
[1 6481588027008507250 6481588027008507250 1] 3963552
[1 3826047074646187463 3826047074646187463 1] 4236718
[1 2423815736635418286 2423815736635418286 1] 4643671
[1 2534080848504833637 2534080848504833637 3] 618
[1 5546712864438187884 5546712864438187884 2] 4570634
[1 65281072076987413 65281072076987413 1] 635
[1 1504946346371376639 1504946346371376639 2] 5255559
[1 3118897387058355560 3118897387058355560 2] 5138892
[1 9063614686281648555 9063614686281648555 1] 6044287
[1 7457640055946008668 7457640055946008668 1] 5785450
[1 8813438948783652661 8813438948783652661 1] 577
[1 6224901217148171972 6224901217148171972 1] 6147957
[1 7120628415427462898 7120628415427462898 1] 7000024
[1 2404287123253513670 2404287123253513670 1] 6745715
[1 6184224123268371659 6184224123268371659 5] 5729221
[1 2362446847867864768 2362446847867864768 1] 506
[1 5082294164254468326 5082294164254468326 1] 6597654
[1 6224901217148171972 6224901217148171972 1] 446
[1 7056397236067230492 7056397236067230492 3] 6547535
[1 3826047074646187463 3826047074646187463 1] 648
[1 194901708358462687 194901708358462687 1] 503
[1 4881638827078685502 4881638827078685502 2] 7453965
[1 3604631005327317358 3604631005327317358 1] 8365020
[1 4475106793237928676 4475106793237928676 1] 8438088
[1 3152585022778420104 3152585022778420104 3] 8249493
[1 2024667237626825566 2024667237626825566 1] 8801516
[1 5853151758892767402 5853151758892767402 2] 8562522
[1 1755710550109762647 1755710550109762647 1] 8881491
[1 543933806449348227 543933806449348227 3] 8385434
[1 5546712864438187884 5546712864438187884 1] 589
[1 6481617086072149703 6481617086072149703 1] 8033846
[1 1867263731343969693 1867263731343969693 1] 8611814
[1 8469120784247382523 8469120784247382523 2] 8486827
[1 4568262719152854072 4568262719152854072 1] 8488957
[1 3990301012644747093 3990301012644747093 1] 8919682
[1 8412094805934371413 8412094805934371413 1] 9240067
[1 6677788738934613478 6677788738934613478 1] 9561893
