server, testtype, score
noSplit, con, 13623449
noSplit, con, 12315327
noSplit, con, 12767210
noSplit, delay, 50799143
noSplit, delay, 51349503
noSplit, delay, 50274450
noSplit, difficulty, 73422605 
noSplit, difficulty, 71436176
noSplit, difficulty, 71911148
noSplit, total, 33908205
noSplit, total, 30114917
noSplit, total, 32031647
Split, con, 6126233
Split, con, 7104115
Split, con, 6092595
Split, delay, 46878457
Split, delay, 46401132
Split, delay, 49028556
Split, difficulty, 65380225
Split, difficulty, 62704677
Split, difficulty, 64140971
Split, total, 33616971
Split, total, 32776160
Split, total, 34765490
