**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 1000
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4751602
[1 734592446513182065 734592446513182065 2] 4348986
[1 734592446513182065 734592446513182065 1] 599
[1 144573006434803742 144573006434803742 1] 5545331
[1 2362446847867864768 2362446847867864768 1] 5266041
[1 2362446847867864768 2362446847867864768 1] 605
[1 2793302479550237922 2793302479550237922 1] 5215715
[1 7579227685816234595 7579227685816234595 3] 6881165
[1 4402948556259363451 4402948556259363451 1] 7399100
[1 775798024421069700 775798024421069700 1] 4802071
[1 2362446847867864768 2362446847867864768 1] 469
[1 734592446513182065 734592446513182065 2] 7243473
[1 1511323233739817806 1511323233739817806 1] 8475220
[1 7413609510133063015 7413609510133063015 1] 4869152
[1 4325101186680591916 4325101186680591916 1] 9655107
[1 194901708358462687 194901708358462687 1] 7767918
[1 4539981729959298355 4539981729959298355 1] 9401547
[1 2534080848504833637 2534080848504833637 3] 671
[1 8813438948783652661 8813438948783652661 1] 10652183
[1 6481588027008507250 6481588027008507250 1] 7667124
[1 6427445919344566720 6427445919344566720 1] 9294008
[1 65281072076987413 65281072076987413 1] 11395480
[1 2423815736635418286 2423815736635418286 1] 11330511
[1 1504946346371376639 1504946346371376639 2] 8386748
[1 8813438948783652661 8813438948783652661 1] 624
[1 5546712864438187884 5546712864438187884 2] 10968575
[1 3826047074646187463 3826047074646187463 1] 13118784
[1 2362446847867864768 2362446847867864768 1] 501
[1 3118897387058355560 3118897387058355560 2] 11536489
[1 2423815736635418286 2423815736635418286 1] 13419558
[1 3826047074646187463 3826047074646187463 1] 591
[1 194901708358462687 194901708358462687 1] 1095
[1 9063614686281648555 9063614686281648555 1] 13944214
[1 7457640055946008668 7457640055946008668 1] 14765239
[1 2404287123253513670 2404287123253513670 1] 13526430
[1 6224901217148171972 6224901217148171972 1] 15755957
[1 7120628415427462898 7120628415427462898 1] 15587059
[1 6184224123268371659 6184224123268371659 5] 15782758
[1 5546712864438187884 5546712864438187884 1] 554
[1 7056397236067230492 7056397236067230492 3] 15746416
[1 65281072076987413 65281072076987413 1] 17843324
[1 4881638827078685502 4881638827078685502 2] 15489215
[1 5082294164254468326 5082294164254468326 1] 18607370
[1 4475106793237928676 4475106793237928676 1] 16633374
[1 3152585022778420104 3152585022778420104 3] 16778207
[1 3604631005327317358 3604631005327317358 1] 19339913
[1 2024667237626825566 2024667237626825566 1] 18673073
[1 5853151758892767402 5853151758892767402 2] 18493520
[1 1755710550109762647 1755710550109762647 1] 17444582
[1 1867263731343969693 1867263731343969693 1] 15110927
[1 6481617086072149703 6481617086072149703 1] 15878524
[1 8469120784247382523 8469120784247382523 2] 14977287
[1 543933806449348227 543933806449348227 3] 18046965
[1 6224901217148171972 6224901217148171972 1] 20345500
[1 8412094805934371413 8412094805934371413 1] 15794920
[1 4238356272867122178 4238356272867122178 1] 14890915
[1 3322115445419574041 3322115445419574041 1] 15342367
