**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2831495
[1 6488461302691448296 6488461302691448296 1] 4371416
[1 9057165912191784911 9057165912191784911 1] 510
[1 7681445200113414176 7681445200113414176 1] 5845892
[1 9057165912191784911 9057165912191784911 1] 430
[1 6685923574978999215 6685923574978999215 1] 4569719
[1 6488461302691448296 6488461302691448296 1] 470
[1 1990676820339791773 1990676820339791773 1] 6429594
[1 1587860973498482729 1587860973498482729 1] 5735659
[1 5946276162731559111 5946276162731559111 2] 3850352
[1 7616638341155698441 7616638341155698441 2] 5912398
[1 9057165912191784911 9057165912191784911 1] 696
[1 6023283311097976846 6023283311097976846 3] 8223652
[1 5245439083908774251 5245439083908774251 2] 6480248
[1 6957445936109150678 6957445936109150678 1] 4836039
[1 9057165912191784911 9057165912191784911 1] 1075
[1 2148517718796434096 2148517718796434096 1] 8447425
[1 7583167364354317389 7583167364354317389 1] 6832671
[1 1214256030844900062 1214256030844900062 1] 7183160
[1 8397693939726633757 8397693939726633757 3] 8548143
[1 6023283311097976846 6023283311097976846 1] 620
[1 252049887289774605 252049887289774605 1] 4874720
[1 1410469310589474675 1410469310589474675 1] 6672096
[1 3750374287645824302 3750374287645824302 2] 9442166
[1 2744697425919251717 2744697425919251717 2] 7226337
[1 5161718391645202190 5161718391645202190 1] 10411041
[1 3094488955166861915 3094488955166861915 1] 9040529
[1 5897693816321261925 5897693816321261925 1] 7660023
[1 741339643387758460 741339643387758460 1] 6116185
[1 1613346174718908726 1613346174718908726 1] 6809112
[1 4427489698557970739 4427489698557970739 1] 10234129
[1 6439500474696603189 6439500474696603189 1] 8196092
[1 252049887289774605 252049887289774605 2] 508
[1 4950749919375495834 4950749919375495834 2] 12404015
[1 2744697425919251717 2744697425919251717 1] 626
[1 4372686792761235256 4372686792761235256 1] 9821803
[1 3094488955166861915 3094488955166861915 1] 11036295
[1 4950749919375495834 4950749919375495834 1] 12363256
[1 8853005861790132521 8853005861790132521 1] 11339559
[1 8397693939726633757 8397693939726633757 1] 535
[1 3548854057181795740 3548854057181795740 1] 9809296
[1 8003898064877407765 8003898064877407765 1] 9283278
[1 5402260543088376015 5402260543088376015 1] 10232941
[1 4275078077508723083 4275078077508723083 1] 13112752
[1 7616638341155698441 7616638341155698441 1] 578
[1 3062903259356535742 3062903259356535742 1] 14415082
[1 2422630752754597585 2422630752754597585 1] 12424641
[1 3864748567228467764 3864748567228467764 1] 13650268
[1 4531492923819664620 4531492923819664620 1] 11438764
[1 5778657392964895214 5778657392964895214 1] 12903280
[1 9057165912191784911 9057165912191784911 1] 698
[1 8853005861790132521 8853005861790132521 1] 633
[1 1245987228388785965 1245987228388785965 1] 13242044
[1 1786196876115952481 1786196876115952481 1] 14077760
[1 8776694636489796844 8776694636489796844 1] 12844461
[1 1205320352397806369 1205320352397806369 2] 13622209
[1 4796064343467574261 4796064343467574261 1] 14514521
