**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1052157
[1 8450407967963833808 8450407967963833808 1] 965497
[1 8450407967963833808 8450407967963833808 1] 490
[1 3698059312795779809 3698059312795779809 1] 4212294
[1 150346236973131253 150346236973131253 1] 4609742
[1 4403210617944963238 4403210617944963238 3] 5086372
[1 4730966302951168844 4730966302951168844 1] 5405652
[1 1822089775280894195 1822089775280894195 1] 5936113
[1 4851450802694101754 4851450802694101754 2] 8159540
[1 8450407967963833808 8450407967963833808 2] 1027
[1 4858364911245529076 4858364911245529076 1] 9774333
[1 4835695806979482836 4835695806979482836 1] 10557996
[1 3250854464569619465 3250854464569619465 2] 11683493
[1 3217969341489499266 3217969341489499266 1] 13075287
[1 4978410431728192639 4978410431728192639 1] 14566523
[1 2197744667374574532 2197744667374574532 1] 15371111
[1 3046822243766327021 3046822243766327021 1] 15375505
[1 4903203917271735144 4903203917271735144 2] 15881234
[1 6649611678475825109 6649611678475825109 1] 18006373
[1 8821862535204312300 8821862535204312300 1] 18282367
[1 6344401509648144738 6344401509648144738 2] 21010281
[1 8821862535204312300 8821862535204312300 1] 20973275
[1 2547815149972623845 2547815149972623845 2] 21273872
[1 8522117110820751872 8522117110820751872 2] 21951821
[1 4450190829065881268 4450190829065881268 1] 23340430
[1 951586254236631086 951586254236631086 3] 23644792
[1 2713150456512491041 2713150456512491041 1] 24597219
[1 8623889621384620406 8623889621384620406 1] 25687239
[1 687416080485209988 687416080485209988 1] 25416664
[1 721564148080595287 721564148080595287 2] 25307399
[1 6752878145220998165 6752878145220998165 1] 27479335
[1 5287931004520922900 5287931004520922900 8] 27114870
[1 8029313043586665474 8029313043586665474 1] 27394267
[1 5897962221956995512 5897962221956995512 1] 29538874
[1 1663640511426390422 1663640511426390422 2] 29566472
[1 2214184573454476602 2214184573454476602 3] 30890654
[1 5321619225005942614 5321619225005942614 1] 30103945
[1 3312070181901919651 3312070181901919651 1] 31524460
[1 3217969341489499266 3217969341489499266 1] 31861088
[1 951586254236631086 951586254236631086 2] 32866458
[1 9033685357592327863 9033685357592327863 1] 33831958
[1 919017376376659804 919017376376659804 4] 34488378
[1 4586400317966310758 4586400317966310758 1] 35193490
[1 5992489245535112493 5992489245535112493 1] 35282031
[1 2922583494542665610 2922583494542665610 1] 35571721
[1 2062866308282685264 2062866308282685264 1] 37328778
[1 8709797118651319570 8709797118651319570 1] 39446229
[1 5036946906818305099 5036946906818305099 1] 39752556
[1 6215967033411041611 6215967033411041611 1] 40641078
[1 5784510510427390044 5784510510427390044 1] 40556849
[1 3250854464569619465 3250854464569619465 1] 41853039
[1 6230166267992281283 6230166267992281283 1] 42450688
[1 808369788346465354 808369788346465354 1] 42007718
[1 1683779944783161779 1683779944783161779 1] 43278158
[1 9033685357592327863 9033685357592327863 1] 43099090
[1 1026336552757573535 1026336552757573535 1] 44954035
[1 2663504857693781241 2663504857693781241 1] 45826231
