**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 60000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 3891912525472319017 3891912525472319017 1] 320174
[1 3524944295492354525 3524944295492354525 1] 2108757
[1 6465365841824317134 6465365841824317134 1] 4495337
[1 9136702578193434504 9136702578193434504 2] 6336570
[1 5948993619004795236 5948993619004795236 2] 4312883
[1 5502909677952130479 5502909677952130479 1] 7815216
[1 2473666473174750345 2473666473174750345 1] 7041310
[1 3524944295492354525 3524944295492354525 1] 6716193
[1 8206614736999024242 8206614736999024242 1] 9806430
[1 6028263137173684739 6028263137173684739 1] 8102588
[1 1871270848413250141 1871270848413250141 1] 11292902
[1 6623483670943052193 6623483670943052193 1] 9182939
[1 3524944295492354525 3524944295492354525 2] 9008134
[1 4589168502877517079 4589168502877517079 3] 12617550
[1 8555152419105676635 8555152419105676635 1] 15628185
[1 5994124056994470692 5994124056994470692 1] 13559343
[1 5685768695680428377 5685768695680428377 2] 14540002
[1 3305412918947348215 3305412918947348215 1] 14665893
[1 5254669020296825119 5254669020296825119 1] 18460504
[1 1030041856088679904 1030041856088679904 1] 19435673
[1 4589168502877517079 4589168502877517079 1] 19162502
[1 7254539414218470546 7254539414218470546 1] 22284539
[1 8046042694701344701 8046042694701344701 1] 24856864
[1 9136702578193434504 9136702578193434504 1] 24196144
[1 7686640157670475335 7686640157670475335 1] 23294666
[1 2010568517865674772 2010568517865674772 1] 29117228
[1 7516372754632857436 7516372754632857436 1] 29824874
[1 4380451183062330894 4380451183062330894 1] 28684031
[1 700734140822267139 700734140822267139 1] 29931031
[1 3305412918947348215 3305412918947348215 2] 29263067
[1 7230154307701577625 7230154307701577625 1] 28496436
[1 700734140822267139 700734140822267139 2] 35072419
[1 6554819255695809775 6554819255695809775 1] 34654475
[1 3524944295492354525 3524944295492354525 1] 34095385
[1 532236067607757851 532236067607757851 1] 37687208
[1 8897930618967169584 8897930618967169584 2] 35055589
[1 1674204358114357946 1674204358114357946 1] 39230419
[1 1275007360331914680 1275007360331914680 1] 39118799
[1 5948993619004795236 5948993619004795236 1] 37773411
[1 1030041856088679904 1030041856088679904 1] 40568264
[1 7628049811414017422 7628049811414017422 3] 39011599
[1 6121147791370515209 6121147791370515209 1] 39308576
[1 4589168502877517079 4589168502877517079 1] 40897866
[1 1030041856088679904 1030041856088679904 1] 43810757
[1 220957617152666889 220957617152666889 1] 44652167
[1 3022523710936213978 3022523710936213978 2] 45883041
[1 6559584327919863800 6559584327919863800 1] 48311721
[1 4380451183062330894 4380451183062330894 1] 49516317
[1 5181958362948808516 5181958362948808516 1] 52666273
[1 5259391866149726936 5259391866149726936 1] 51456642
[1 306126023181094508 306126023181094508 1] 52277983
[1 4998857766867648190 4998857766867648190 3] 54148386
[1 2667979663506019336 2667979663506019336 1] 55826501
[1 7618895698711858468 7618895698711858468 1] 52384026
[1 2793781518004704453 2793781518004704453 1] 54854397
[1 6873916741629642802 6873916741629642802 1] 59979962
