**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4879415
[1 734592446513182065 734592446513182065 2] 4431945
[1 734592446513182065 734592446513182065 1] 1063
[1 144573006434803742 144573006434803742 1] 5483687
[1 2362446847867864768 2362446847867864768 1] 5083620
[1 2362446847867864768 2362446847867864768 1] 497
[1 2793302479550237922 2793302479550237922 1] 5304613
[1 7579227685816234595 7579227685816234595 3] 6924965
[1 4402948556259363451 4402948556259363451 1] 7319153
[1 775798024421069700 775798024421069700 1] 4731822
[1 2362446847867864768 2362446847867864768 1] 621
[1 734592446513182065 734592446513182065 2] 7346273
[1 1511323233739817806 1511323233739817806 1] 8098819
[1 7413609510133063015 7413609510133063015 1] 4455249
[1 4325101186680591916 4325101186680591916 1] 9570407
[1 194901708358462687 194901708358462687 1] 7838300
[1 4539981729959298355 4539981729959298355 1] 9223785
[1 2534080848504833637 2534080848504833637 3] 626
[1 8813438948783652661 8813438948783652661 1] 10076205
[1 6481588027008507250 6481588027008507250 1] 7092658
[1 6427445919344566720 6427445919344566720 1] 9212661
[1 65281072076987413 65281072076987413 1] 11536741
[1 2423815736635418286 2423815736635418286 1] 11783626
[1 8813438948783652661 8813438948783652661 1] 507
[1 1504946346371376639 1504946346371376639 2] 8879944
[1 3826047074646187463 3826047074646187463 1] 12399740
[1 5546712864438187884 5546712864438187884 2] 11214792
[1 2362446847867864768 2362446847867864768 1] 1188
[1 2423815736635418286 2423815736635418286 1] 13484913
[1 3118897387058355560 3118897387058355560 2] 12237801
[1 3826047074646187463 3826047074646187463 1] 494
[1 194901708358462687 194901708358462687 1] 602
[1 9063614686281648555 9063614686281648555 1] 14200967
[1 7457640055946008668 7457640055946008668 1] 14176337
[1 2404287123253513670 2404287123253513670 1] 13727962
[1 6224901217148171972 6224901217148171972 1] 15820011
[1 7120628415427462898 7120628415427462898 1] 16462073
[1 6184224123268371659 6184224123268371659 5] 16020079
[1 5546712864438187884 5546712864438187884 1] 1058
[1 65281072076987413 65281072076987413 1] 17262252
[1 4881638827078685502 4881638827078685502 2] 15742273
[1 7056397236067230492 7056397236067230492 3] 16682943
[1 5082294164254468326 5082294164254468326 1] 18683883
[1 4475106793237928676 4475106793237928676 1] 16925795
[1 3604631005327317358 3604631005327317358 1] 19086645
[1 3152585022778420104 3152585022778420104 3] 17523915
[1 2024667237626825566 2024667237626825566 1] 19066066
[1 5853151758892767402 5853151758892767402 2] 19049989
[1 1755710550109762647 1755710550109762647 1] 18481950
[1 6481617086072149703 6481617086072149703 1] 16543115
[1 1867263731343969693 1867263731343969693 1] 16178725
[1 543933806449348227 543933806449348227 3] 18666555
[1 8469120784247382523 8469120784247382523 2] 15803037
[1 6224901217148171972 6224901217148171972 1] 20894692
[1 8412094805934371413 8412094805934371413 1] 16594015
[1 4238356272867122178 4238356272867122178 1] 15680620
[1 3322115445419574041 3322115445419574041 1] 16170450
