**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2844851
[1 6488461302691448296 6488461302691448296 1] 4402577
[1 9057165912191784911 9057165912191784911 1] 607
[1 7681445200113414176 7681445200113414176 1] 5824275
[1 9057165912191784911 9057165912191784911 1] 595
[1 6685923574978999215 6685923574978999215 1] 4493152
[1 6488461302691448296 6488461302691448296 1] 1031
[1 1990676820339791773 1990676820339791773 1] 6327497
[1 1587860973498482729 1587860973498482729 1] 5527873
[1 5946276162731559111 5946276162731559111 2] 3662362
[1 7616638341155698441 7616638341155698441 2] 5863148
[1 9057165912191784911 9057165912191784911 1] 617
[1 5245439083908774251 5245439083908774251 2] 6083135
[1 6023283311097976846 6023283311097976846 3] 8066347
[1 6957445936109150678 6957445936109150678 1] 4713763
[1 9057165912191784911 9057165912191784911 1] 631
[1 2148517718796434096 2148517718796434096 1] 7972368
[1 7583167364354317389 7583167364354317389 1] 6483406
[1 8397693939726633757 8397693939726633757 3] 8098007
[1 1214256030844900062 1214256030844900062 1] 6906356
[1 252049887289774605 252049887289774605 1] 4469132
[1 6023283311097976846 6023283311097976846 1] 477
[1 1410469310589474675 1410469310589474675 1] 6510096
[1 3750374287645824302 3750374287645824302 2] 8967186
[1 5161718391645202190 5161718391645202190 1] 9970044
[1 2744697425919251717 2744697425919251717 2] 7045355
[1 3094488955166861915 3094488955166861915 1] 8796410
[1 5897693816321261925 5897693816321261925 1] 7170360
[1 741339643387758460 741339643387758460 1] 5884116
[1 1613346174718908726 1613346174718908726 1] 6284261
[1 4427489698557970739 4427489698557970739 1] 10013253
[1 6439500474696603189 6439500474696603189 1] 8049243
[1 4950749919375495834 4950749919375495834 2] 11897446
[1 252049887289774605 252049887289774605 2] 574
[1 2744697425919251717 2744697425919251717 1] 1082
[1 4372686792761235256 4372686792761235256 1] 9137213
[1 3094488955166861915 3094488955166861915 1] 10706341
[1 4950749919375495834 4950749919375495834 1] 11605795
[1 8853005861790132521 8853005861790132521 1] 11053118
[1 8397693939726633757 8397693939726633757 1] 613
[1 3548854057181795740 3548854057181795740 1] 9075887
[1 8003898064877407765 8003898064877407765 1] 8989682
[1 5402260543088376015 5402260543088376015 1] 9903118
[1 4275078077508723083 4275078077508723083 1] 12705022
[1 3062903259356535742 3062903259356535742 1] 13483750
[1 7616638341155698441 7616638341155698441 1] 627
[1 3864748567228467764 3864748567228467764 1] 12789077
[1 4531492923819664620 4531492923819664620 1] 10543490
[1 2422630752754597585 2422630752754597585 1] 12132025
[1 5778657392964895214 5778657392964895214 1] 12467041
[1 1245987228388785965 1245987228388785965 1] 12501630
[1 9057165912191784911 9057165912191784911 1] 518
[1 1786196876115952481 1786196876115952481 1] 13222913
[1 8853005861790132521 8853005861790132521 1] 633
[1 8776694636489796844 8776694636489796844 1] 12424711
[1 1205320352397806369 1205320352397806369 2] 13143615
[1 4796064343467574261 4796064343467574261 1] 13782568
