**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1025990
[1 8450407967963833808 8450407967963833808 1] 980339
[1 8450407967963833808 8450407967963833808 1] 477
[1 3698059312795779809 3698059312795779809 1] 4107918
[1 150346236973131253 150346236973131253 1] 4469941
[1 4403210617944963238 4403210617944963238 3] 5176355
[1 4730966302951168844 4730966302951168844 1] 5292599
[1 1822089775280894195 1822089775280894195 1] 6058120
[1 4851450802694101754 4851450802694101754 2] 8242925
[1 8450407967963833808 8450407967963833808 2] 542
[1 4858364911245529076 4858364911245529076 1] 10105942
[1 4835695806979482836 4835695806979482836 1] 10523919
[1 3250854464569619465 3250854464569619465 2] 11596241
[1 3217969341489499266 3217969341489499266 1] 13146326
[1 4978410431728192639 4978410431728192639 1] 14438527
[1 2197744667374574532 2197744667374574532 1] 15767550
[1 4903203917271735144 4903203917271735144 2] 15694566
[1 3046822243766327021 3046822243766327021 1] 15771430
[1 6649611678475825109 6649611678475825109 1] 18045453
[1 8821862535204312300 8821862535204312300 1] 18414049
[1 6344401509648144738 6344401509648144738 2] 20840434
[1 8821862535204312300 8821862535204312300 1] 21130911
[1 2547815149972623845 2547815149972623845 2] 21050758
[1 8522117110820751872 8522117110820751872 2] 22246027
[1 4450190829065881268 4450190829065881268 1] 23266809
[1 951586254236631086 951586254236631086 3] 23739304
[1 2713150456512491041 2713150456512491041 1] 24851717
[1 8623889621384620406 8623889621384620406 1] 25244760
[1 687416080485209988 687416080485209988 1] 25567381
[1 721564148080595287 721564148080595287 2] 25463205
[1 6752878145220998165 6752878145220998165 1] 27401618
[1 5287931004520922900 5287931004520922900 8] 27261866
[1 8029313043586665474 8029313043586665474 1] 27557762
[1 5897962221956995512 5897962221956995512 1] 29124750
[1 1663640511426390422 1663640511426390422 2] 29788662
[1 2214184573454476602 2214184573454476602 3] 31370945
[1 5321619225005942614 5321619225005942614 1] 30592071
[1 3312070181901919651 3312070181901919651 1] 31237734
[1 3217969341489499266 3217969341489499266 1] 31849254
[1 951586254236631086 951586254236631086 2] 33380778
[1 9033685357592327863 9033685357592327863 1] 33466800
[1 919017376376659804 919017376376659804 4] 34650609
[1 4586400317966310758 4586400317966310758 1] 35166864
[1 2922583494542665610 2922583494542665610 1] 35171610
[1 5992489245535112493 5992489245535112493 1] 35690494
[1 2062866308282685264 2062866308282685264 1] 37495836
[1 8709797118651319570 8709797118651319570 1] 39392053
[1 5036946906818305099 5036946906818305099 1] 39785573
[1 6215967033411041611 6215967033411041611 1] 40691429
[1 5784510510427390044 5784510510427390044 1] 40607020
[1 3250854464569619465 3250854464569619465 1] 41864143
[1 6230166267992281283 6230166267992281283 1] 42515972
[1 808369788346465354 808369788346465354 1] 42034658
[1 1683779944783161779 1683779944783161779 1] 43374724
[1 9033685357592327863 9033685357592327863 1] 43298254
[1 1026336552757573535 1026336552757573535 1] 45016500
[1 2663504857693781241 2663504857693781241 1] 45907305
