**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4895090
[1 734592446513182065 734592446513182065 2] 4437117
[1 734592446513182065 734592446513182065 1] 1017
[1 144573006434803742 144573006434803742 1] 5685438
[1 2362446847867864768 2362446847867864768 1] 5223958
[1 2362446847867864768 2362446847867864768 1] 497
[1 2793302479550237922 2793302479550237922 1] 5386128
[1 7579227685816234595 7579227685816234595 3] 6987315
[1 4402948556259363451 4402948556259363451 1] 7536698
[1 2362446847867864768 2362446847867864768 1] 627
[1 775798024421069700 775798024421069700 1] 4940967
[1 734592446513182065 734592446513182065 2] 7378622
[1 1511323233739817806 1511323233739817806 1] 8277043
[1 7413609510133063015 7413609510133063015 1] 4656809
[1 4325101186680591916 4325101186680591916 1] 9595264
[1 194901708358462687 194901708358462687 1] 7809750
[1 4539981729959298355 4539981729959298355 1] 9437792
[1 2534080848504833637 2534080848504833637 3] 478
[1 8813438948783652661 8813438948783652661 1] 10247406
[1 6481588027008507250 6481588027008507250 1] 7262992
[1 6427445919344566720 6427445919344566720 1] 9341367
[1 65281072076987413 65281072076987413 1] 11465718
[1 2423815736635418286 2423815736635418286 1] 11439077
[1 8813438948783652661 8813438948783652661 1] 527
[1 1504946346371376639 1504946346371376639 2] 8491562
[1 5546712864438187884 5546712864438187884 2] 11004554
[1 3826047074646187463 3826047074646187463 1] 12361515
[1 2362446847867864768 2362446847867864768 1] 895
[1 2423815736635418286 2423815736635418286 1] 13363130
[1 3118897387058355560 3118897387058355560 2] 11633447
[1 3826047074646187463 3826047074646187463 1] 621
[1 194901708358462687 194901708358462687 1] 1037
[1 9063614686281648555 9063614686281648555 1] 13983141
[1 7457640055946008668 7457640055946008668 1] 14038043
[1 2404287123253513670 2404287123253513670 1] 13558319
[1 6224901217148171972 6224901217148171972 1] 15666346
[1 7120628415427462898 7120628415427462898 1] 15742828
[1 6184224123268371659 6184224123268371659 5] 15885824
[1 5546712864438187884 5546712864438187884 1] 562
[1 65281072076987413 65281072076987413 1] 17087954
[1 7056397236067230492 7056397236067230492 3] 16048910
[1 4881638827078685502 4881638827078685502 2] 15595054
[1 5082294164254468326 5082294164254468326 1] 18458908
[1 4475106793237928676 4475106793237928676 1] 16630311
[1 3152585022778420104 3152585022778420104 3] 16892159
[1 3604631005327317358 3604631005327317358 1] 18848541
[1 2024667237626825566 2024667237626825566 1] 18561723
[1 5853151758892767402 5853151758892767402 2] 18554638
[1 1755710550109762647 1755710550109762647 1] 17640882
[1 6481617086072149703 6481617086072149703 1] 15822577
[1 1867263731343969693 1867263731343969693 1] 15259276
[1 543933806449348227 543933806449348227 3] 17909524
[1 8469120784247382523 8469120784247382523 2] 15100329
[1 6224901217148171972 6224901217148171972 1] 20008433
[1 8412094805934371413 8412094805934371413 1] 15899081
[1 4238356272867122178 4238356272867122178 1] 14993617
[1 3322115445419574041 3322115445419574041 1] 15441734
