**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 3463357
[1 9057165912191784911 9057165912191784911 1] 420
[1 6488461302691448296 6488461302691448296 1] 4840423
[1 9057165912191784911 9057165912191784911 1] 662
[1 7681445200113414176 7681445200113414176 1] 6800560
[1 6488461302691448296 6488461302691448296 1] 604
[1 6685923574978999215 6685923574978999215 1] 6515412
[1 1587860973498482729 1587860973498482729 1] 7065997
[1 1990676820339791773 1990676820339791773 1] 8581154
[1 9057165912191784911 9057165912191784911 1] 628
[1 5946276162731559111 5946276162731559111 2] 5759701
[1 7616638341155698441 7616638341155698441 2] 7856114
[1 9057165912191784911 9057165912191784911 1] 654
[1 5245439083908774251 5245439083908774251 2] 9083350
[1 6957445936109150678 6957445936109150678 1] 7198894
[1 6023283311097976846 6023283311097976846 3] 11416249
[1 6023283311097976846 6023283311097976846 1] 5934
[1 2148517718796434096 2148517718796434096 1] 11670569
[1 1214256030844900062 1214256030844900062 1] 10222354
[1 7583167364354317389 7583167364354317389 1] 10923063
[1 8397693939726633757 8397693939726633757 3] 12379750
[1 252049887289774605 252049887289774605 1] 8826009
[1 1410469310589474675 1410469310589474675 1] 10235464
[1 3750374287645824302 3750374287645824302 2] 14272682
[1 2744697425919251717 2744697425919251717 2] 11874624
[1 5161718391645202190 5161718391645202190 1] 15934882
[1 3094488955166861915 3094488955166861915 1] 14302198
[1 252049887289774605 252049887289774605 2] 565
[1 5897693816321261925 5897693816321261925 1] 13367087
[1 741339643387758460 741339643387758460 1] 11644720
[1 2744697425919251717 2744697425919251717 1] 4982
[1 1613346174718908726 1613346174718908726 1] 12821143
[1 4427489698557970739 4427489698557970739 1] 15697778
[1 8397693939726633757 8397693939726633757 1] 628
[1 6439500474696603189 6439500474696603189 1] 14681338
[1 7616638341155698441 7616638341155698441 1] 643
[1 4950749919375495834 4950749919375495834 2] 19555921
[1 3094488955166861915 3094488955166861915 1] 17535094
[1 4372686792761235256 4372686792761235256 1] 17387333
[1 4950749919375495834 4950749919375495834 1] 19785490
[1 8853005861790132521 8853005861790132521 1] 18798854
[1 3548854057181795740 3548854057181795740 1] 17312579
[1 9057165912191784911 9057165912191784911 1] 518
[1 8003898064877407765 8003898064877407765 1] 16896113
[1 8853005861790132521 8853005861790132521 1] 600
[1 5402260543088376015 5402260543088376015 1] 18466897
[1 3062903259356535742 3062903259356535742 1] 21864794
[1 4275078077508723083 4275078077508723083 1] 22641996
[1 3864748567228467764 3864748567228467764 1] 21758658
[1 2422630752754597585 2422630752754597585 1] 21478343
[1 4531492923819664620 4531492923819664620 1] 20643890
[1 6957445936109150678 6957445936109150678 1] 586
[1 5778657392964895214 5778657392964895214 1] 21962310
[1 1786196876115952481 1786196876115952481 1] 23480464
[1 1245987228388785965 1245987228388785965 1] 22939905
[1 8776694636489796844 8776694636489796844 1] 22859322
[1 9057165912191784911 9057165912191784911 2] 13131
