**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1130462
[1 8450407967963833808 8450407967963833808 1] 1234753
[1 8450407967963833808 8450407967963833808 1] 620
[1 3698059312795779809 3698059312795779809 1] 4985500
[1 150346236973131253 150346236973131253 1] 5249566
[1 4403210617944963238 4403210617944963238 3] 6663084
[1 4730966302951168844 4730966302951168844 1] 6628087
[1 1822089775280894195 1822089775280894195 1] 7320194
[1 8450407967963833808 8450407967963833808 2] 2717
[1 4851450802694101754 4851450802694101754 2] 10637323
[1 4835695806979482836 4835695806979482836 1] 12491133
[1 4858364911245529076 4858364911245529076 1] 12722484
[1 3250854464569619465 3250854464569619465 2] 14546474
[1 3217969341489499266 3217969341489499266 1] 16641093
[1 4978410431728192639 4978410431728192639 1] 18291778
[1 2197744667374574532 2197744667374574532 1] 19228165
[1 3046822243766327021 3046822243766327021 1] 19416760
[1 4903203917271735144 4903203917271735144 2] 20001240
[1 6649611678475825109 6649611678475825109 1] 23433133
[1 8821862535204312300 8821862535204312300 1] 23302186
[1 6344401509648144738 6344401509648144738 2] 26701046
[1 8821862535204312300 8821862535204312300 1] 26486494
[1 8522117110820751872 8522117110820751872 2] 27487613
[1 2547815149972623845 2547815149972623845 2] 27179259
[1 4450190829065881268 4450190829065881268 1] 29800321
[1 951586254236631086 951586254236631086 3] 29988381
[1 2713150456512491041 2713150456512491041 1] 31639041
[1 8623889621384620406 8623889621384620406 1] 32451292
[1 687416080485209988 687416080485209988 1] 32566404
[1 721564148080595287 721564148080595287 2] 32562708
[1 5287931004520922900 5287931004520922900 8] 35020258
[1 6752878145220998165 6752878145220998165 1] 35692344
[1 8029313043586665474 8029313043586665474 1] 35651289
[1 5897962221956995512 5897962221956995512 1] 37427079
[1 1663640511426390422 1663640511426390422 2] 38577472
[1 2214184573454476602 2214184573454476602 3] 39609609
[1 5321619225005942614 5321619225005942614 1] 38872229
[1 3312070181901919651 3312070181901919651 1] 40459082
[1 3217969341489499266 3217969341489499266 1] 41217513
[1 951586254236631086 951586254236631086 2] 42694816
[1 9033685357592327863 9033685357592327863 1] 43838541
[1 919017376376659804 919017376376659804 4] 44922843
[1 5992489245535112493 5992489245535112493 1] 45575049
[1 4586400317966310758 4586400317966310758 1] 45708007
[1 2922583494542665610 2922583494542665610 1] 46082069
[1 2062866308282685264 2062866308282685264 1] 48421929
[1 8709797118651319570 8709797118651319570 1] 50430006
[1 5036946906818305099 5036946906818305099 1] 51604593
[1 6215967033411041611 6215967033411041611 1] 53034105
[1 5784510510427390044 5784510510427390044 1] 52942133
[1 3250854464569619465 3250854464569619465 1] 53827973
[1 808369788346465354 808369788346465354 1] 54221709
[1 6230166267992281283 6230166267992281283 1] 55215828
[1 1683779944783161779 1683779944783161779 1] 55483002
[1 9033685357592327863 9033685357592327863 1] 56929634
[1 1026336552757573535 1026336552757573535 1] 58022909
[1 2663504857693781241 2663504857693781241 1] 59077486
