**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 5748320
[1 734592446513182065 734592446513182065 2] 5184608
[1 144573006434803742 144573006434803742 1] 7115666
[1 2362446847867864768 2362446847867864768 1] 7050163
[1 2793302479550237922 2793302479550237922 1] 6917009
[1 2362446847867864768 2362446847867864768 1] 508
[1 7579227685816234595 7579227685816234595 3] 9553541
[1 4402948556259363451 4402948556259363451 1] 10325692
[1 734592446513182065 734592446513182065 2] 10359389
[1 775798024421069700 775798024421069700 1] 9093278
[1 1511323233739817806 1511323233739817806 1] 11645395
[1 734592446513182065 734592446513182065 1] 12964788
[1 2534080848504833637 2534080848504833637 3] 1061
[1 4325101186680591916 4325101186680591916 1] 15283474
[1 2362446847867864768 2362446847867864768 1] 14865398
[1 7413609510133063015 7413609510133063015 1] 13765176
[1 4539981729959298355 4539981729959298355 1] 15212959
[1 194901708358462687 194901708358462687 1] 15302279
[1 2362446847867864768 2362446847867864768 1] 544
[1 6427445919344566720 6427445919344566720 1] 16961231
[1 6481588027008507250 6481588027008507250 1] 16379791
[1 194901708358462687 194901708358462687 1] 1071
[1 8813438948783652661 8813438948783652661 1] 20727307
[1 2423815736635418286 2423815736635418286 1] 20140626
[1 65281072076987413 65281072076987413 1] 20762025
[1 1504946346371376639 1504946346371376639 2] 17475559
[1 5546712864438187884 5546712864438187884 2] 22025113
[1 5546712864438187884 5546712864438187884 1] 417
[1 3118897387058355560 3118897387058355560 2] 21217062
[1 3826047074646187463 3826047074646187463 1] 24106058
[1 2423815736635418286 2423815736635418286 1] 24236282
[1 9063614686281648555 9063614686281648555 1] 26304738
[1 7457640055946008668 7457640055946008668 1] 27097132
[1 6224901217148171972 6224901217148171972 1] 27430137
[1 2404287123253513670 2404287123253513670 1] 26612617
[1 7120628415427462898 7120628415427462898 1] 28323561
[1 6184224123268371659 6184224123268371659 5] 29003250
[1 7056397236067230492 7056397236067230492 3] 29673302
[1 4881638827078685502 4881638827078685502 2] 29237317
[1 65281072076987413 65281072076987413 1] 31832278
[1 5082294164254468326 5082294164254468326 1] 32470622
[1 2362446847867864768 2362446847867864768 2] 438
[1 4475106793237928676 4475106793237928676 1] 31468960
[1 3604631005327317358 3604631005327317358 1] 35003181
[1 3152585022778420104 3152585022778420104 3] 34165559
[1 8813438948783652661 8813438948783652661 1] 36168341
[1 2024667237626825566 2024667237626825566 1] 35971802
[1 5853151758892767402 5853151758892767402 2] 36915304
[1 1755710550109762647 1755710550109762647 1] 35859104
[1 543933806449348227 543933806449348227 3] 36078280
[1 6481617086072149703 6481617086072149703 1] 34939236
[1 8469120784247382523 8469120784247382523 2] 34375423
[1 1867263731343969693 1867263731343969693 1] 35026761
[1 6224901217148171972 6224901217148171972 1] 39345576
[1 8412094805934371413 8412094805934371413 1] 37298593
[1 3826047074646187463 3826047074646187463 1] 41727953
[1 3990301012644747093 3990301012644747093 1] 38387307
