**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 6488461302691448296 6488461302691448296 1] 1107638
[1 7681445200113414176 7681445200113414176 1] 1313554
[1 9057165912191784911 9057165912191784911 1] 2317068
[1 9057165912191784911 9057165912191784911 1] 1206
[1 1990676820339791773 1990676820339791773 1] 3180226
[1 6685923574978999215 6685923574978999215 1] 4136286
[1 9057165912191784911 9057165912191784911 1] 588
[1 1587860973498482729 1587860973498482729 1] 4534768
[1 6488461302691448296 6488461302691448296 1] 523
[1 7616638341155698441 7616638341155698441 2] 5655502
[1 6023283311097976846 6023283311097976846 3] 5525725
[1 9057165912191784911 9057165912191784911 1] 1008
[1 5946276162731559111 5946276162731559111 2] 5516852
[1 5245439083908774251 5245439083908774251 2] 5302906
[1 2148517718796434096 2148517718796434096 1] 5588551
[1 6957445936109150678 6957445936109150678 1] 4768531
[1 8397693939726633757 8397693939726633757 3] 4323803
[1 7583167364354317389 7583167364354317389 1] 4508342
[1 9057165912191784911 9057165912191784911 1] 542
[1 1214256030844900062 1214256030844900062 1] 4752762
[1 3750374287645824302 3750374287645824302 2] 3889006
[1 5161718391645202190 5161718391645202190 1] 4335539
[1 1410469310589474675 1410469310589474675 1] 4173274
[1 252049887289774605 252049887289774605 1] 4274780
[1 6023283311097976846 6023283311097976846 1] 527
[1 3094488955166861915 3094488955166861915 1] 6136300
[1 3094488955166861915 3094488955166861915 1] 460
[1 2744697425919251717 2744697425919251717 2] 6478397
[1 5897693816321261925 5897693816321261925 1] 7023550
[1 4427489698557970739 4427489698557970739 1] 7557071
[1 4950749919375495834 4950749919375495834 2] 9033042
[1 741339643387758460 741339643387758460 1] 9318242
[1 1613346174718908726 1613346174718908726 1] 8682740
[1 6439500474696603189 6439500474696603189 1] 8684697
[1 252049887289774605 252049887289774605 2] 670
[1 2744697425919251717 2744697425919251717 1] 4310
[1 4950749919375495834 4950749919375495834 1] 10060611
[1 8853005861790132521 8853005861790132521 1] 10558935
[1 4372686792761235256 4372686792761235256 1] 10487034
[1 3062903259356535742 3062903259356535742 1] 9975091
[1 8397693939726633757 8397693939726633757 1] 12474
[1 4275078077508723083 4275078077508723083 1] 10804077
[1 3548854057181795740 3548854057181795740 1] 11374847
[1 7616638341155698441 7616638341155698441 1] 576
[1 8003898064877407765 8003898064877407765 1] 12095739
[1 3864748567228467764 3864748567228467764 1] 11558442
[1 5402260543088376015 5402260543088376015 1] 11566775
[1 2422630752754597585 2422630752754597585 1] 12517578
[1 5778657392964895214 5778657392964895214 1] 11992067
[1 4531492923819664620 4531492923819664620 1] 11591468
[1 1786196876115952481 1786196876115952481 1] 11216117
[1 1245987228388785965 1245987228388785965 1] 12509922
[1 9057165912191784911 9057165912191784911 1] 603
[1 1205320352397806369 1205320352397806369 2] 10929471
[1 8853005861790132521 8853005861790132521 1] 628
[1 8776694636489796844 8776694636489796844 1] 11660097
[1 4796064343467574261 4796064343467574261 1] 12330466
