**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 100000
Priority enabled - lambda: 1.50

[1 7749363893356586169 7749363893356586169 2] 1211677
[1 1822089775280894195 1822089775280894195 1] 2321151
[1 4403210617944963238 4403210617944963238 3] 2237845
[1 8450407967963833808 8450407967963833808 1] 3183399
[1 150346236973131253 150346236973131253 1] 3675564
[1 3698059312795779809 3698059312795779809 1] 3611799
[1 4730966302951168844 4730966302951168844 1] 5129060
[1 4835695806979482836 4835695806979482836 1] 6656158
[1 4858364911245529076 4858364911245529076 1] 7041350
[1 8450407967963833808 8450407967963833808 2] 734
[1 3250854464569619465 3250854464569619465 2] 9005641
[1 4851450802694101754 4851450802694101754 2] 10914171
[1 3217969341489499266 3217969341489499266 1] 11014665
[1 2197744667374574532 2197744667374574532 1] 12560361
[1 4978410431728192639 4978410431728192639 1] 14372683
[1 4903203917271735144 4903203917271735144 2] 15904453
[1 6649611678475825109 6649611678475825109 1] 16410164
[1 6344401509648144738 6344401509648144738 2] 18279232
[1 3046822243766327021 3046822243766327021 1] 18887948
[1 8821862535204312300 8821862535204312300 1] 20813741
[1 8522117110820751872 8522117110820751872 2] 22478724
[1 4450190829065881268 4450190829065881268 1] 23637673
[1 8450407967963833808 8450407967963833808 1] 24703599
[1 8821862535204312300 8821862535204312300 1] 26388574
[1 2547815149972623845 2547815149972623845 2] 27422338
[1 951586254236631086 951586254236631086 3] 28844269
[1 8623889621384620406 8623889621384620406 1] 30191791
[1 2713150456512491041 2713150456512491041 1] 32313210
[1 6752878145220998165 6752878145220998165 1] 34088323
[1 687416080485209988 687416080485209988 1] 34824289
[1 2214184573454476602 2214184573454476602 3] 36659646
[1 5897962221956995512 5897962221956995512 1] 37633458
[1 721564148080595287 721564148080595287 2] 37769208
[1 5287931004520922900 5287931004520922900 8] 38068360
[1 3217969341489499266 3217969341489499266 1] 38109392
[1 8029313043586665474 8029313043586665474 1] 38693368
[1 1663640511426390422 1663640511426390422 2] 39425496
[1 3312070181901919651 3312070181901919651 1] 40597962
[1 919017376376659804 919017376376659804 4] 40876374
[1 5321619225005942614 5321619225005942614 1] 40972688
[1 951586254236631086 951586254236631086 2] 42361344
[1 9033685357592327863 9033685357592327863 1] 43500167
[1 4586400317966310758 4586400317966310758 1] 44541387
[1 5992489245535112493 5992489245535112493 1] 45614211
[1 2922583494542665610 2922583494542665610 1] 45997441
[1 2062866308282685264 2062866308282685264 1] 46244309
[1 5036946906818305099 5036946906818305099 1] 46145127
[1 8709797118651319570 8709797118651319570 1] 47603813
[1 3250854464569619465 3250854464569619465 1] 49716782
[1 6230166267992281283 6230166267992281283 1] 50377730
[1 1683779944783161779 1683779944783161779 1] 51274564
[1 6215967033411041611 6215967033411041611 1] 52946520
[1 5784510510427390044 5784510510427390044 1] 52886460
[1 9033685357592327863 9033685357592327863 1] 54269587
[1 808369788346465354 808369788346465354 1] 55186326
[1 1026336552757573535 1026336552757573535 1] 56789788
[1 2663504857693781241 2663504857693781241 1] 57496343
