**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 1982060
[1 734592446513182065 734592446513182065 2] 2940670
[1 144573006434803742 144573006434803742 1] 3223498
[1 2362446847867864768 2362446847867864768 1] 2815547
[1 734592446513182065 734592446513182065 2] 1123
[1 734592446513182065 734592446513182065 1] 499
[1 2793302479550237922 2793302479550237922 1] 3787492
[1 2362446847867864768 2362446847867864768 1] 477
[1 7579227685816234595 7579227685816234595 3] 5005712
[1 4402948556259363451 4402948556259363451 1] 5536828
[1 1511323233739817806 1511323233739817806 1] 5527274
[1 4325101186680591916 4325101186680591916 1] 4554753
[1 775798024421069700 775798024421069700 1] 4497069
[1 2362446847867864768 2362446847867864768 1] 625
[1 4539981729959298355 4539981729959298355 1] 4562277
[1 194901708358462687 194901708358462687 1] 4899623
[1 7413609510133063015 7413609510133063015 1] 5788852
[1 8813438948783652661 8813438948783652661 1] 6771630
[1 65281072076987413 65281072076987413 1] 7357337
[1 2534080848504833637 2534080848504833637 3] 2818
[1 2423815736635418286 2423815736635418286 1] 7899557
[1 6427445919344566720 6427445919344566720 1] 7798662
[1 65281072076987413 65281072076987413 1] 437
[1 6481588027008507250 6481588027008507250 1] 7219057
[1 3826047074646187463 3826047074646187463 1] 7808447
[1 2423815736635418286 2423815736635418286 1] 8588738
[1 5546712864438187884 5546712864438187884 2] 8725378
[1 8813438948783652661 8813438948783652661 1] 489
[1 1504946346371376639 1504946346371376639 2] 9576489
[1 3118897387058355560 3118897387058355560 2] 9623862
[1 2362446847867864768 2362446847867864768 1] 600
[1 9063614686281648555 9063614686281648555 1] 10858026
[1 7457640055946008668 7457640055946008668 1] 10810670
[1 3826047074646187463 3826047074646187463 1] 968
[1 6224901217148171972 6224901217148171972 1] 11523008
[1 194901708358462687 194901708358462687 1] 483
[1 7120628415427462898 7120628415427462898 1] 12937506
[1 2404287123253513670 2404287123253513670 1] 12809551
[1 6184224123268371659 6184224123268371659 5] 11905805
[1 5082294164254468326 5082294164254468326 1] 13099533
[1 7056397236067230492 7056397236067230492 3] 13171763
[1 4881638827078685502 4881638827078685502 2] 14383426
[1 5546712864438187884 5546712864438187884 1] 6657
[1 3604631005327317358 3604631005327317358 1] 15730488
[1 4475106793237928676 4475106793237928676 1] 16120651
[1 3152585022778420104 3152585022778420104 3] 16088498
[1 2024667237626825566 2024667237626825566 1] 16928207
[1 5853151758892767402 5853151758892767402 2] 16838224
[1 1755710550109762647 1755710550109762647 1] 17844595
[1 6224901217148171972 6224901217148171972 1] 18498654
[1 543933806449348227 543933806449348227 3] 19017492
[1 6481617086072149703 6481617086072149703 1] 19184291
[1 1867263731343969693 1867263731343969693 1] 20378557
[1 8469120784247382523 8469120784247382523 2] 20455011
[1 4568262719152854072 4568262719152854072 1] 20524290
[1 3990301012644747093 3990301012644747093 1] 21153066
[1 8412094805934371413 8412094805934371413 1] 21729454
[1 2362446847867864768 2362446847867864768 2] 619
