server, testtype, score
Cache, con, 13132013
Cache, con, 12450648
Cache, con, 12590674
Cache, delay, 50911603
Cache, delay, 51033925
Cache, delay, 51683224
Cache, total, 31155603
Cache, total, 35272465
Cache, total, 34002547
NonblockingNoSplit, con, 24480886
NonblockingNoSplit, con, 25893384
NonblockingNoSplit, con, 23944302
NonblockingNoSplit, delay, 65602293
NonblockingNoSplit, delay, 66931196
NonblockingNoSplit, delay, 64690403
NonblockingNoSplit, total, 104781310
NonblockingNoSplit, total, 103659717
NonblockingNoSplit, total, 101174343
NonblockingSplit, con, 16158255
NonblockingSplit, con, 15719662
NonblockingSplit, con, 14496076
NonblockingSplit, delay, 61294173
NonblockingSplit, delay, 62064577
NonblockingSplit, delay, 59385628
NonblockingSplit, total, 93898331
NonblockingSplit, total, 94558006
NonblockingSplit, total, 93409525
