**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2587182
[1 6488461302691448296 6488461302691448296 1] 4116048
[1 9057165912191784911 9057165912191784911 1] 634
[1 7681445200113414176 7681445200113414176 1] 5428978
[1 9057165912191784911 9057165912191784911 1] 527
[1 7616638341155698441 7616638341155698441 2] 3170660
[1 6685923574978999215 6685923574978999215 1] 4617302
[1 5946276162731559111 5946276162731559111 2] 2381569
[1 6488461302691448296 6488461302691448296 1] 1008
[1 1990676820339791773 1990676820339791773 1] 6087731
[1 5245439083908774251 5245439083908774251 2] 4800126
[1 9057165912191784911 9057165912191784911 1] 498
[1 6023283311097976846 6023283311097976846 3] 7287927
[1 1587860973498482729 1587860973498482729 1] 9016641
[1 2148517718796434096 2148517718796434096 1] 7128975
[1 9057165912191784911 9057165912191784911 1] 597
[1 6957445936109150678 6957445936109150678 1] 7459506
[1 8397693939726633757 8397693939726633757 3] 7193814
[1 3750374287645824302 3750374287645824302 2] 5497652
[1 6023283311097976846 6023283311097976846 1] 619
[1 7583167364354317389 7583167364354317389 1] 8682788
[1 2744697425919251717 2744697425919251717 2] 3836682
[1 1214256030844900062 1214256030844900062 1] 10291919
[1 1410469310589474675 1410469310589474675 1] 8360906
[1 252049887289774605 252049887289774605 1] 7906097
[1 4950749919375495834 4950749919375495834 2] 6908125
[1 5897693816321261925 5897693816321261925 1] 8117715
[1 741339643387758460 741339643387758460 1] 7040439
[1 5161718391645202190 5161718391645202190 1] 12594145
[1 3094488955166861915 3094488955166861915 1] 12253562
[1 1613346174718908726 1613346174718908726 1] 7972229
[1 4427489698557970739 4427489698557970739 1] 11811427
[1 6439500474696603189 6439500474696603189 1] 9339817
[1 252049887289774605 252049887289774605 2] 1150
[1 2744697425919251717 2744697425919251717 1] 632
[1 4372686792761235256 4372686792761235256 1] 9045730
[1 3094488955166861915 3094488955166861915 1] 11110443
[1 8397693939726633757 8397693939726633757 1] 616
[1 4950749919375495834 4950749919375495834 1] 12845145
[1 8853005861790132521 8853005861790132521 1] 11715300
[1 3548854057181795740 3548854057181795740 1] 10333473
[1 1205320352397806369 1205320352397806369 2] 5844299
[1 7616638341155698441 7616638341155698441 1] 1060
[1 3062903259356535742 3062903259356535742 1] 14474208
[1 4275078077508723083 4275078077508723083 1] 14384329
[1 8003898064877407765 8003898064877407765 1] 14191741
[1 2530807118341480172 2530807118341480172 2] 5636475
[1 1011699687068097613 1011699687068097613 2] 3438973
[1 9057165912191784911 9057165912191784911 1] 518
[1 5402260543088376015 5402260543088376015 1] 15659212
[1 7413522009544936641 7413522009544936641 2] 1454160
[1 8853005861790132521 8853005861790132521 1] 514
[1 6231033109406258875 6231033109406258875 3] 8129969
[1 3864748567228467764 3864748567228467764 1] 18789291
[1 2422630752754597585 2422630752754597585 1] 18003375
[1 5778657392964895214 5778657392964895214 1] 18310405
[1 3463916520425879317 3463916520425879317 2] 2900489
