**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 636846
[1 1608948501392221840 1608948501392221840 1] 1685556
[1 5177818208114085241 5177818208114085241 2] 5150236
[1 60471825801899659 60471825801899659 9] 927386
[1 37000534383455631 37000534383455631 12] 5436817
[1 7803753030518273401 7803753030518273401 3] 5875200
[1 8104451448818176865 8104451448818176865 9] 6332928
[1 8104451448818176865 8104451448818176865 3] 509
[1 7106295925757861572 7106295925757861572 1] 6650809
[1 8104451448818176865 8104451448818176865 5] 589
[1 3021584220979256730 3021584220979256730 4] 4989164
[1 5258959378889404534 5258959378889404534 3] 4619693
[1 4173032647297130033 4173032647297130033 6] 3680962
[1 2962813208079357693 2962813208079357693 4] 2664124
[1 5618834902846399515 5618834902846399515 4] 926565
[1 8094011088207712613 8094011088207712613 5] 4381221
[1 4958165866846552497 4958165866846552497 3] 5761669
[1 3493812276559608261 3493812276559608261 1] 10099370
[1 5618834902846399515 5618834902846399515 1] 8962371
[1 1322252853927517871 1322252853927517871 4] 2073101
[1 7245660931648353422 7245660931648353422 4] 4468348
[1 5618834902846399515 5618834902846399515 12] 545
[1 5412109951180343267 5412109951180343267 8] 2492317
[1 372354059906509972 372354059906509972 1] 11161414
[1 60471825801899659 60471825801899659 4] 696
[1 584020274336891132 584020274336891132 5] 6264471
[1 7803753030518273401 7803753030518273401 1] 620
[1 8104451448818176865 8104451448818176865 9] 505
[1 7341520517183750168 7341520517183750168 15] 6668734
[1 1797403150532236909 1797403150532236909 9] 3206214
[1 2313948965543090559 2313948965543090559 8] 6399074
[1 4867268416495133867 4867268416495133867 7] 6705166
[1 3400052239333568512 3400052239333568512 6] 2916473
[1 7341520517183750168 7341520517183750168 5] 10339123
[1 7728666063074132048 7728666063074132048 4] 11986018
[1 6894593078187142944 6894593078187142944 4] 4708121
[1 2721500822832558103 2721500822832558103 4] 4175682
[1 5177818208114085241 5177818208114085241 16] 501
[1 2802821781736258657 2802821781736258657 5] 5421299
[1 8608643741839602142 8608643741839602142 9] 4268905
[1 1026064423824749505 1026064423824749505 4] 6574957
[1 4941794663080118969 4941794663080118969 5] 2301708
[1 2905926692694372953 2905926692694372953 6] 5189494
[1 6130119897100878926 6130119897100878926 9] 2533228
[1 8094011088207712613 8094011088207712613 8] 630
[1 5447833490994371743 5447833490994371743 3] 15317184
[1 3830880201497503317 3830880201497503317 6] 3604202
[1 4694417007418070850 4694417007418070850 5] 1571414
[1 1352258951460981280 1352258951460981280 6] 4449204
