**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.17

[1 734592446513182065 734592446513182065 13] 13140919
[1 2534080848504833637 2534080848504833637 1] 14006048
[1 2362446847867864768 2362446847867864768 2] 16259257
[1 144573006434803742 144573006434803742 4] 17385100
[1 2534080848504833637 2534080848504833637 16] 7298
[1 1504946346371376639 1504946346371376639 11] 7626977
[1 2362446847867864768 2362446847867864768 1] 4837
[1 734592446513182065 734592446513182065 11] 23233731
[1 7579227685816234595 7579227685816234595 16] 26444854
[1 3118897387058355560 3118897387058355560 13] 14233977
[1 6184224123268371659 6184224123268371659 16] 12516855
[1 8469120784247382523 8469120784247382523 16] 3736720
[1 543933806449348227 543933806449348227 16] 9418475
[1 4881638827078685502 4881638827078685502 14] 17644662
[1 7056397236067230492 7056397236067230492 16] 18429276
[1 3152585022778420104 3152585022778420104 16] 16695703
[1 7192606909766198139 7192606909766198139 11] 5140022
[1 5546712864438187884 5546712864438187884 10] 37373971
[1 5853151758892767402 5853151758892767402 9] 26501078
[1 6488079815406579091 6488079815406579091 13] 18074807
[1 2362446847867864768 2362446847867864768 10] 5894
[1 6423505784789735895 6423505784789735895 16] 13783705
[1 6459227495295035902 6459227495295035902 15] 26030816
[1 7648070865145929565 7648070865145929565 13] 13480573
[1 1754341443584370596 1754341443584370596 9] 21781300
[1 6143266650014896614 6143266650014896614 12] 28149849
[1 4402948556259363451 4402948556259363451 8] 77425761
[1 194901708358462687 194901708358462687 8] 53547560
[1 5082294164254468326 5082294164254468326 8] 67229131
[1 8412094805934371413 8412094805934371413 7] 55344992
[1 2423815736635418286 2423815736635418286 7] 79056769
[1 5117259440023367980 5117259440023367980 7] 34107070
[1 7332313593179142680 7332313593179142680 7] 31867256
[1 973789200653990917 973789200653990917 7] 34059439
[1 6481617086072149703 6481617086072149703 6] 66572356
[1 2404287123253513670 2404287123253513670 6] 80392696
[1 4325101186680591916 4325101186680591916 6] 100964183
[1 5546712864438187884 5546712864438187884 6] 71190325
[1 6224901217148171972 6224901217148171972 6] 90847953
[1 2041583049155452133 2041583049155452133 6] 53327040
[1 1691493319748746388 1691493319748746388 6] 74832239
[1 734592446513182065 734592446513182065 5] 116210066
[1 4889044544488955645 4889044544488955645 6] 78044397
[1 65281072076987413 65281072076987413 5] 118750974
[1 9063614686281648555 9063614686281648555 5] 112934155
[1 1719904128257064834 1719904128257064834 5] 77471030
[1 6481588027008507250 6481588027008507250 4] 123829062
[1 1202761757499872340 1202761757499872340 5] 87544416
[1 7457640055946008668 7457640055946008668 5] 120556165
[1 2362446847867864768 2362446847867864768 4] 137302336
[1 4475106793237928676 4475106793237928676 4] 121861704
[1 2024667237626825566 2024667237626825566 4] 125066312
[1 3274168525665820313 3274168525665820313 4] 114920127
[1 7120628415427462898 7120628415427462898 4] 137526828
[1 8959350751557039550 8959350751557039550 4] 116658819
[1 188298230885325765 188298230885325765 4] 113895474
[1 1643096707707766227 1643096707707766227 4] 120378325
[1 2899810306460920575 2899810306460920575 4] 120893640
[1 4539981729959298355 4539981729959298355 3] 167639324
[1 8813438948783652661 8813438948783652661 3] 171913235
[1 1755710550109762647 1755710550109762647 3] 155336281
[1 3322115445419574041 3322115445419574041 3] 150572156
[1 2041583049155452133 2041583049155452133 3] 149669272
[1 2423815736635418286 2423815736635418286 3] 174846156
[1 6149652210555691411 6149652210555691411 3] 149323130
[1 299017200798257185 299017200798257185 3] 148703596
[1 6224901217148171972 6224901217148171972 3] 165176534
[1 2016187078435865310 2016187078435865310 3] 140335209
[1 3990301012644747093 3990301012644747093 3] 161785845
[1 4063616305869320469 4063616305869320469 3] 146079903
[1 6522882028041492777 6522882028041492777 3] 141948820
[1 437485833847434610 437485833847434610 3] 142373063
[1 4571494471588410399 4571494471588410399 3] 150903226
[1 194901708358462687 194901708358462687 2] 200934968
[1 6427445919344566720 6427445919344566720 2] 199441388
[1 1867263731343969693 1867263731343969693 2] 182089826
[1 3604631005327317358 3604631005327317358 2] 195047816
[1 65281072076987413 65281072076987413 2] 199999725
[1 5014386525507742238 5014386525507742238 2] 169119996
[1 6677788738934613478 6677788738934613478 2] 190095612
[1 188298230885325765 188298230885325765 2] 188435396
[1 775798024421069700 775798024421069700 1] 219572595
[1 2793302479550237922 2793302479550237922 1] 226953689
[1 7413609510133063015 7413609510133063015 1] 220686167
[1 7486420996130192751 7486420996130192751 2] 184880031
[1 1511323233739817806 1511323233739817806 1] 236207597
[1 2362446847867864768 2362446847867864768 1] 233082619
[1 3826047074646187463 3826047074646187463 1] 233865424
[1 4238356272867122178 4238356272867122178 1] 213413729
[1 8813438948783652661 8813438948783652661 1] 225629672
[1 2034601758941119156 2034601758941119156 1] 213767363
[1 4387800982861812278 4387800982861812278 1] 210605744
[1 3826047074646187463 3826047074646187463 1] 228575435
[1 830539103387696557 830539103387696557 1] 215051807
[1 4568262719152854072 4568262719152854072 1] 228900959
[1 4783208449973014378 4783208449973014378 1] 219498304
[1 9003525225793406809 9003525225793406809 1] 220166340
[1 1368790009816293228 1368790009816293228 1] 224747681
[1 1623711085914951513 1623711085914951513 1] 219070573
[1 4625117666449960784 4625117666449960784 1] 222242231

Prio stats: 20 10 15 11 6 8 5 3 2 2 3 1 4 1 1 8
Results: 100.00 340806280
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.17

[1 734592446513182065 734592446513182065 13] 12458741
[1 2534080848504833637 2534080848504833637 1] 13286813
[1 2362446847867864768 2362446847867864768 2] 15203184
[1 144573006434803742 144573006434803742 4] 16211387
[1 2534080848504833637 2534080848504833637 16] 3778
[1 1504946346371376639 1504946346371376639 11] 6036324
[1 734592446513182065 734592446513182065 11] 21442265
[1 2362446847867864768 2362446847867864768 1] 3932
[1 7579227685816234595 7579227685816234595 16] 24567881
[1 3118897387058355560 3118897387058355560 13] 12647323
[1 6184224123268371659 6184224123268371659 16] 11029825
[1 4881638827078685502 4881638827078685502 14] 10662932
[1 8469120784247382523 8469120784247382523 16] 2996156
[1 7056397236067230492 7056397236067230492 16] 15831755
[1 3152585022778420104 3152585022778420104 16] 13813721
[1 543933806449348227 543933806449348227 16] 10180549
[1 5546712864438187884 5546712864438187884 10] 31350847
[1 5853151758892767402 5853151758892767402 9] 23529438
[1 4402948556259363451 4402948556259363451 8] 47924605
[1 6488079815406579091 6488079815406579091 13] 17495860
[1 2362446847867864768 2362446847867864768 10] 6429
[1 7192606909766198139 7192606909766198139 11] 18029574
[1 6423505784789735895 6423505784789735895 16] 15412983
[1 6459227495295035902 6459227495295035902 15] 23837367
[1 7648070865145929565 7648070865145929565 13] 12744002
[1 6143266650014896614 6143266650014896614 12] 27157650
[1 1754341443584370596 1754341443584370596 9] 27628032
[1 194901708358462687 194901708358462687 8] 50145986
[1 8412094805934371413 8412094805934371413 7] 51125986
[1 5082294164254468326 5082294164254468326 8] 63553949
[1 5117259440023367980 5117259440023367980 7] 30650905
[1 7332313593179142680 7332313593179142680 7] 27970294
[1 973789200653990917 973789200653990917 7] 30174277
