**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 734592446513182065 734592446513182065 9] 12281423
[1 2534080848504833637 2534080848504833637 1] 13146311
[1 2362446847867864768 2362446847867864768 2] 14969023
[1 144573006434803742 144573006434803742 3] 16114771
[1 2534080848504833637 2534080848504833637 15] 5234
[1 1504946346371376639 1504946346371376639 8] 5923322
[1 734592446513182065 734592446513182065 8] 21247440
[1 2362446847867864768 2362446847867864768 1] 5885
[1 7579227685816234595 7579227685816234595 14] 24363209
[1 3118897387058355560 3118897387058355560 9] 12174949
[1 6184224123268371659 6184224123268371659 16] 10823820
[1 4881638827078685502 4881638827078685502 10] 10025024
[1 8469120784247382523 8469120784247382523 11] 2385010
[1 7056397236067230492 7056397236067230492 15] 15485374
[1 3152585022778420104 3152585022778420104 14] 13644351
[1 543933806449348227 543933806449348227 16] 10181699
[1 5546712864438187884 5546712864438187884 7] 30798844
[1 5853151758892767402 5853151758892767402 7] 23335150
[1 4402948556259363451 4402948556259363451 6] 47914762
[1 6488079815406579091 6488079815406579091 9] 17314231
[1 2362446847867864768 2362446847867864768 7] 7900
[1 7192606909766198139 7192606909766198139 8] 17845618
[1 6423505784789735895 6423505784789735895 12] 14433904
[1 6459227495295035902 6459227495295035902 10] 23501098
[1 7648070865145929565 7648070865145929565 10] 12606006
[1 6143266650014896614 6143266650014896614 9] 27331979
[1 194901708358462687 194901708358462687 6] 47519916
[1 5082294164254468326 5082294164254468326 6] 56510626
[1 1754341443584370596 1754341443584370596 6] 35553476
[1 8412094805934371413 8412094805934371413 5] 52125735
[1 2041583049155452133 2041583049155452133 5] 30555089
[1 2423815736635418286 2423815736635418286 5] 77829562
[1 5117259440023367980 5117259440023367980 5] 35395062
[1 7332313593179142680 7332313593179142680 5] 31967903
[1 973789200653990917 973789200653990917 5] 33851592
[1 6224901217148171972 6224901217148171972 5] 77191075
[1 734592446513182065 734592446513182065 4] 99287916
[1 9063614686281648555 9063614686281648555 4] 89873804
[1 4325101186680591916 4325101186680591916 4] 102940032
[1 7457640055946008668 7457640055946008668 4] 93401107
[1 6481617086072149703 6481617086072149703 4] 80407620
[1 2404287123253513670 2404287123253513670 4] 93018319
[1 5546712864438187884 5546712864438187884 4] 83523020
[1 1202761757499872340 1202761757499872340 4] 75176033
[1 1691493319748746388 1691493319748746388 4] 85371135
[1 1719904128257064834 1719904128257064834 4] 69219725
[1 4889044544488955645 4889044544488955645 4] 81907933
[1 6481588027008507250 6481588027008507250 3] 115928072
