**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4882885
[1 734592446513182065 734592446513182065 2] 4573561
[1 734592446513182065 734592446513182065 1] 493
[1 144573006434803742 144573006434803742 1] 5629536
[1 2362446847867864768 2362446847867864768 1] 5206620
[1 2362446847867864768 2362446847867864768 1] 500
[1 2793302479550237922 2793302479550237922 1] 7303048
[1 734592446513182065 734592446513182065 2] 4911353
[1 7579227685816234595 7579227685816234595 3] 6871220
[1 775798024421069700 775798024421069700 1] 3716049
[1 4402948556259363451 4402948556259363451 1] 7760683
[1 2362446847867864768 2362446847867864768 1] 1402
[1 1511323233739817806 1511323233739817806 1] 11190683
[1 194901708358462687 194901708358462687 1] 7174894
[1 4325101186680591916 4325101186680591916 1] 9729777
[1 4539981729959298355 4539981729959298355 1] 8497861
[1 1504946346371376639 1504946346371376639 2] 1788941
[1 7413609510133063015 7413609510133063015 1] 8501524
[1 2534080848504833637 2534080848504833637 3] 542
[1 5546712864438187884 5546712864438187884 2] 4746094
[1 3118897387058355560 3118897387058355560 2] 4000737
[1 8813438948783652661 8813438948783652661 1] 13450499
[1 8813438948783652661 8813438948783652661 1] 619
[1 65281072076987413 65281072076987413 1] 13317935
[1 6427445919344566720 6427445919344566720 1] 11805745
[1 2423815736635418286 2423815736635418286 1] 14260098
[1 4881638827078685502 4881638827078685502 2] 3142024
[1 6481588027008507250 6481588027008507250 1] 12781339
[1 2362446847867864768 2362446847867864768 1] 576
[1 6184224123268371659 6184224123268371659 5] 6109359
[1 7056397236067230492 7056397236067230492 3] 5629755
[1 3152585022778420104 3152585022778420104 3] 4135350
[1 194901708358462687 194901708358462687 1] 574
[1 5853151758892767402 5853151758892767402 2] 4443108
[1 543933806449348227 543933806449348227 3] 2961762
[1 3826047074646187463 3826047074646187463 1] 18129467
[1 8469120784247382523 8469120784247382523 2] 620325
[1 2423815736635418286 2423815736635418286 1] 19370562
[1 9063614686281648555 9063614686281648555 1] 18812674
[1 7457640055946008668 7457640055946008668 1] 19662545
[1 5546712864438187884 5546712864438187884 1] 466
[1 2404287123253513670 2404287123253513670 1] 18328203
[1 6224901217148171972 6224901217148171972 1] 20465071
[1 7120628415427462898 7120628415427462898 1] 21578436
[1 7192606909766198139 7192606909766198139 2] 2022748
[1 6488079815406579091 6488079815406579091 2] 6279715
[1 65281072076987413 65281072076987413 1] 23686936
[1 5082294164254468326 5082294164254468326 1] 23519778
[1 3604631005327317358 3604631005327317358 1] 23088092
[1 6459227495295035902 6459227495295035902 2] 5628718
[1 4475106793237928676 4475106793237928676 1] 24820937
[1 6423505784789735895 6423505784789735895 2] 5230315
[1 6143266650014896614 6143266650014896614 2] 6603380
[1 2024667237626825566 2024667237626825566 1] 26131837
[1 1755710550109762647 1755710550109762647 1] 24939176
[1 6481617086072149703 6481617086072149703 1] 22803494
[1 1867263731343969693 1867263731343969693 1] 22550167
