**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 9057165912191784911 9057165912191784911 1] 2654851
[1 6488461302691448296 6488461302691448296 1] 4130321
[1 9057165912191784911 9057165912191784911 1] 652
[1 7681445200113414176 7681445200113414176 1] 5442475
[1 9057165912191784911 9057165912191784911 1] 658
[1 7616638341155698441 7616638341155698441 2] 3288991
[1 6685923574978999215 6685923574978999215 1] 4658519
[1 1990676820339791773 1990676820339791773 1] 5966070
[1 6488461302691448296 6488461302691448296 1] 1052
[1 5946276162731559111 5946276162731559111 2] 2434566
[1 9057165912191784911 9057165912191784911 1] 635
[1 5245439083908774251 5245439083908774251 2] 4816688
[1 6023283311097976846 6023283311097976846 3] 7099105
[1 1587860973498482729 1587860973498482729 1] 8866086
[1 2148517718796434096 2148517718796434096 1] 6896567
[1 9057165912191784911 9057165912191784911 1] 436
[1 6957445936109150678 6957445936109150678 1] 6383261
[1 8397693939726633757 8397693939726633757 3] 7076338
[1 3750374287645824302 3750374287645824302 2] 5543613
[1 6023283311097976846 6023283311097976846 1] 596
[1 7583167364354317389 7583167364354317389 1] 8489839
[1 1214256030844900062 1214256030844900062 1] 8618342
[1 2744697425919251717 2744697425919251717 2] 4209917
[1 252049887289774605 252049887289774605 1] 6546381
[1 1410469310589474675 1410469310589474675 1] 8161282
[1 5897693816321261925 5897693816321261925 1] 7611287
[1 4950749919375495834 4950749919375495834 2] 6723906
[1 5161718391645202190 5161718391645202190 1] 12161585
[1 741339643387758460 741339643387758460 1] 6788157
[1 3094488955166861915 3094488955166861915 1] 10935131
[1 1613346174718908726 1613346174718908726 1] 7636780
[1 4427489698557970739 4427489698557970739 1] 11189932
[1 6439500474696603189 6439500474696603189 1] 8814268
[1 252049887289774605 252049887289774605 2] 1039
[1 2744697425919251717 2744697425919251717 1] 655
[1 4372686792761235256 4372686792761235256 1] 8441814
[1 3094488955166861915 3094488955166861915 1] 10902129
[1 4950749919375495834 4950749919375495834 1] 11715724
[1 8853005861790132521 8853005861790132521 1] 11049188
[1 8397693939726633757 8397693939726633757 1] 562
[1 3548854057181795740 3548854057181795740 1] 9680198
[1 1205320352397806369 1205320352397806369 2] 5054373
[1 4275078077508723083 4275078077508723083 1] 13133834
[1 7616638341155698441 7616638341155698441 1] 601
[1 3062903259356535742 3062903259356535742 1] 14083027
[1 8003898064877407765 8003898064877407765 1] 12908292
[1 2530807118341480172 2530807118341480172 2] 4701041
[1 5402260543088376015 5402260543088376015 1] 14659545
[1 1011699687068097613 1011699687068097613 2] 3748913
[1 9057165912191784911 9057165912191784911 1] 525
[1 7413522009544936641 7413522009544936641 2] 1249259
[1 6231033109406258875 6231033109406258875 3] 7132055
[1 8853005861790132521 8853005861790132521 1] 1054
[1 3864748567228467764 3864748567228467764 1] 16851794
[1 4531492923819664620 4531492923819664620 1] 16208100
[1 2422630752754597585 2422630752754597585 1] 17434465
[1 5778657392964895214 5778657392964895214 1] 17803622
